Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
3210,2014,BRYAN,CADDO,07I005,"2,506"," 45,015.35 "," 32,278.67 ", 0.18 , 0.22 , 0.37 ,156.3,2.3,0.0, 0.62 , 0.18 , 0.20 , 0.77 
3211,2014,BRYAN,BENNINGTON,07I040,"1,331"," 39,700.19 "," 128,694.77 ", 0.11 , 0.22 , 0.42 ,47.8,1.8,0.0, 0.61 , 0.25 , 0.14 , 0.80 
3212,2014,BRYAN,CALERA,07I048,"4,163"," 51,652.45 "," 43,422.23 ", 0.07 , 0.13 , 0.18 ,74.9,2.3,0.0, 0.70 , 0.14 , 0.16 , 0.67 
3213,2014,BRYAN,DURANT,07I072,"16,845"," 49,643.04 "," 33,383.18 ", 0.10 , 0.23 , 0.41 ,42.9,1.6,1.0, 0.59 , 0.18 , 0.22 , 0.65 
3214,2014,CADDO,HYDRO-EAKLY,08I011,"2,408"," 53,422.20 "," 42,954.91 ", 0.06 , 0.15 , 0.24 ,,0.0,0.0, 0.65 , 0.16 , 0.19 , 0.59 
3215,2014,CADDO,LOOKEBA SICKLES,08I012,858," 53,471.13 "," 27,426.97 ", 0.04 , 0.20 , 0.31 ,131.0,2.5,0.0, 0.69 , 0.14 , 0.17 , 0.71 
3216,2014,CADDO,ANADARKO,08I020,"8,874"," 46,370.81 "," 17,778.22 ", 0.15 , 0.28 , 0.35 ,60.3,1.2,0.0, 0.67 , 0.18 , 0.15 , 0.82 
3217,2014,CADDO,CARNEGIE,08I033,"2,669"," 44,738.90 "," 31,196.35 ", 0.10 , 0.25 , 0.32 ,185.7,1.3,0.0, 0.68 , 0.18 , 0.13 , 0.81 
3218,2014,CADDO,BOONE-APACHE,08I056,"3,155"," 54,684.42 "," 45,122.72 ", 0.13 , 0.13 , 0.28 ,147.8,1.0,0.0, 0.73 , 0.12 , 0.15 , 0.76 
3219,2014,CADDO,CYRIL,08I064,"1,746"," 44,323.44 "," 23,209.88 ", 0.08 , 0.11 , 0.24 ,172.0,2.5,0.0, 0.79 , 0.10 , 0.12 , 0.63 
3220,2014,CADDO,GRACEMONT,08I086,846," 53,966.06 "," 37,147.85 ", 0.05 , 0.17 , 0.23 ,,0.0,0.0, 0.72 , 0.13 , 0.15 , 0.75 
3221,2014,CADDO,CEMENT,08I160,"1,637"," 50,108.76 "," 38,022.86 ", 0.12 , 0.10 , 0.30 ,244.0,1.0,0.0, 0.70 , 0.21 , 0.09 , 0.72 
3222,2014,CADDO,HINTON,08I161,"5,075"," 56,767.39 "," 54,278.27 ", 0.05 , 0.21 , 0.36 ,,0.0,0.0, 0.71 , 0.20 , 0.09 , 0.47 
3223,2014,CADDO,FORT COBB-BROXTON,08I167,"1,972"," 51,575.72 "," 25,729.62 ", 0.09 , 0.24 , 0.34 ,169.5,1.0,0.0, 0.67 , 0.14 , 0.19 , 0.72 
3224,2014,CADDO,BINGER-ONEY,08I168,"2,226"," 50,066.20 "," 56,264.42 ", 0.08 , 0.16 , 0.17 ,133.0,1.0,0.0, 0.72 , 0.17 , 0.11 , 0.75 
3225,2014,CANADIAN,RIVERSIDE,09C029,"1,426"," 81,484.01 "," 213,398.43 ", 0.03 , 0.14 , 0.26 ,,0.0,0.0, 0.61 , 0.16 , 0.23 , 0.65 
3226,2014,CANADIAN,BANNER,09C031,"1,793"," 97,164.27 "," 242,833.76 ", 0.07 , 0.10 , 0.28 ,,0.0,0.0, 0.67 , 0.10 , 0.22 , 0.43 
3227,2014,CANADIAN,DARLINGTON,09C070,693," 77,717.65 "," 106,986.71 ", 0.01 , 0.04 , 0.04 ,243.0,1.0,0.0, 0.70 , 0.07 , 0.22 , 0.87 
3228,2014,CANADIAN,MAPLE,09C162,629," 74,478.02 "," 362,540.65 ", 0.07 , 0.11 , 0.19 ,,0.0,0.0, 0.63 , 0.17 , 0.20 , 0.29 
3229,2014,CANADIAN,PIEDMONT,09I022,"13,432"," 92,292.81 "," 40,082.00 ", 0.04 , 0.04 , 0.10 ,465.9,2.6,0.0, 0.55 , 0.06 , 0.39 , 0.22 
3230,2014,CANADIAN,YUKON,09I027,"37,996"," 75,526.92 "," 38,164.03 ", 0.05 , 0.06 , 0.25 ,279.0,1.9,0.0, 0.64 , 0.06 , 0.30 , 0.39 
3231,2014,CANADIAN,EL RENO,09I034,"16,063"," 56,232.42 "," 24,090.57 ", 0.08 , 0.14 , 0.37 ,124.8,1.8,1.0, 0.75 , 0.16 , 0.09 , 0.71 
3232,2014,CANADIAN,UNION CITY,09I057,"2,014"," 68,319.26 "," 50,332.95 ", 0.06 , 0.13 , 0.04 ,301.0,1.0,0.0, 0.72 , 0.13 , 0.15 , 0.58 
3233,2014,CANADIAN,MUSTANG,09I069,"47,666"," 78,773.46 "," 41,667.61 ", 0.05 , 0.05 , 0.25 ,226.7,2.0,0.0, 0.67 , 0.08 , 0.26 , 0.35 
3234,2014,CANADIAN,CALUMET,09I076,"1,088"," 69,144.50 "," 241,968.75 ", 0.08 , 0.12 , 0.31 ,,0.0,0.0, 0.70 , 0.14 , 0.16 , 0.66 
3235,2014,CARTER,ZANEIS,10C072,851," 58,031.01 "," 32,097.35 ", 0.12 , 0.16 , 0.15 ,,0.0,0.0, 0.66 , 0.13 , 0.21 , 0.80 
3236,2014,CARTER,ARDMORE,10I019,"18,633"," 50,491.97 "," 70,909.45 ", 0.08 , 0.23 , 0.48 ,45.4,1.9,7.0, 0.67 , 0.17 , 0.17 , 0.85 
3237,2014,CARTER,SPRINGER,10I021,"1,335"," 48,028.15 "," 164,167.47 ", 0.09 , 0.13 , 0.48 ,107.0,1.5,1.0, 0.74 , 0.16 , 0.10 , 0.78 
3238,2014,CARTER,PLAINVIEW,10I027,"7,074"," 79,455.62 "," 54,680.16 ", 0.06 , 0.10 , 0.25 ,137.5,1.8,1.0, 0.58 , 0.11 , 0.31 , 0.38 
3239,2014,CARTER,LONE GROVE,10I032,"6,466"," 53,183.57 "," 23,940.40 ", 0.06 , 0.16 , 0.19 ,123.2,2.3,0.0, 0.75 , 0.12 , 0.12 , 0.52 
3240,2014,CARTER,WILSON,10I043,"2,721"," 46,012.73 "," 22,602.78 ", 0.07 , 0.17 , 0.33 ,56.4,1.2,0.0, 0.73 , 0.16 , 0.11 , 0.78 
3241,2014,CARTER,HEALDTON,10I055,"3,822"," 47,514.86 "," 34,003.59 ", 0.05 , 0.11 , 0.47 ,136.0,1.8,0.0, 0.74 , 0.14 , 0.12 , 0.73 
3242,2014,CARTER,FOX,10I074,"1,446"," 45,550.59 "," 99,227.64 ", 0.05 , 0.11 , 0.13 ,82.5,1.8,0.0, 0.74 , 0.18 , 0.08 , 0.77 
3243,2014,CARTER,DICKSON,10I077,"5,639"," 63,792.55 "," 33,513.03 ", 0.06 , 0.08 , 0.23 ,89.4,1.3,1.0, 0.72 , 0.10 , 0.17 , 0.58 
3244,2014,CHEROKEE,LOWREY,11C010,910," 55,698.96 "," 30,915.50 ", 0.03 , 0.14 , 0.22 ,,0.0,0.0, 0.59 , 0.12 , 0.30 , 0.83 
3245,2014,CHEROKEE,NORWOOD,11C014,"2,130"," 60,958.75 "," 28,918.72 ", 0.05 , 0.09 , 0.23 ,,0.0,0.0, 0.72 , 0.18 , 0.11 , 0.93 
3246,2014,CHEROKEE,WOODALL,11C021,"1,624"," 52,870.68 "," 9,394.63 ", 0.12 , 0.14 , 0.23 ,245.5,2.0,0.0, 0.70 , 0.14 , 0.16 , 0.70 
3247,2014,CHEROKEE,SHADY GROVE,11C026,"1,337"," 42,673.55 "," 19,038.76 ", 0.06 , 0.25 , 0.32 ,,0.0,0.0, 0.63 , 0.21 , 0.16 , 0.82 
3248,2014,CHEROKEE,PEGGS,11C031,"1,648"," 45,998.95 "," 19,115.73 ", 0.12 , 0.23 , 0.11 ,254.0,2.0,0.0, 0.66 , 0.19 , 0.15 , 0.78 
3249,2014,CHEROKEE,GRAND VIEW,11C034,"4,401"," 41,193.89 "," 22,069.81 ", 0.12 , 0.28 , 0.48 ,,0.0,0.0, 0.56 , 0.14 , 0.29 , 0.88 
3250,2014,CHEROKEE,BRIGGS,11C044,"2,815"," 44,475.00 "," 17,916.29 ", 0.08 , 0.21 , 0.28 ,226.0,1.0,0.0, 0.61 , 0.17 , 0.23 , 0.93 
3251,2014,CHEROKEE,TENKILLER,11C066,"1,540"," 41,787.87 "," 16,278.92 ", 0.05 , 0.17 , 0.35 ,,0.0,0.0, 0.71 , 0.20 , 0.09 , 0.80 
3252,2014,CHEROKEE,KEYS,11I006,"4,203"," 64,939.11 "," 34,018.81 ", 0.05 , 0.15 , 0.31 ,87.8,2.5,0.0, 0.64 , 0.09 , 0.27 , 0.71 
3253,2014,CHEROKEE,HULBERT,11I016,"2,910"," 47,040.55 "," 19,729.92 ", 0.08 , 0.14 , 0.36 ,89.3,1.0,0.0, 0.68 , 0.15 , 0.17 , 0.82 
3254,2014,CHEROKEE,TAHLEQUAH,11I035,"21,050"," 43,700.03 "," 24,393.89 ", 0.08 , 0.30 , 0.49 ,92.7,3.6,0.0, 0.55 , 0.16 , 0.29 , 0.71 
3255,2014,CHOCTAW,GRANT,12C003,"1,365"," 40,310.75 "," 47,042.22 ", 0.08 , 0.27 , 0.39 ,,0.0,0.0, 0.63 , 0.25 , 0.12 , 1.02 
3256,2014,CHOCTAW,SWINK,12C021,507," 43,007.49 ", -   , 0.25 , 0.27 , 0.19 ,,0.0,0.0, 0.73 , 0.19 , 0.08 , 1.03 
3257,2014,CHOCTAW,BOSWELL,12I001,"1,897"," 42,330.85 "," 20,730.22 ", 0.10 , 0.22 , 0.38 ,186.5,1.5,0.0, 0.65 , 0.22 , 0.14 , 0.79 
3258,2014,CHOCTAW,FORT TOWSON,12I002,"2,047"," 39,303.11 "," 37,958.39 ", 0.14 , 0.22 , 0.37 ,74.2,1.5,0.0, 0.67 , 0.19 , 0.14 , 0.81 
3259,2014,CHOCTAW,SOPER,12I004,"1,450"," 43,817.56 "," 12,600.30 ", 0.06 , 0.17 , 0.18 ,387.0,1.0,0.0, 0.69 , 0.20 , 0.11 , 0.66 
3260,2014,CHOCTAW,HUGO,12I039,"7,553"," 43,355.64 "," 24,206.46 ", 0.12 , 0.32 , 0.44 ,77.8,1.4,0.0, 0.66 , 0.19 , 0.15 , 0.84 
3261,2014,CIMARRON,BOISE CITY,13I002,"1,597"," 55,719.92 "," 115,112.13 ", 0.02 , 0.21 , 0.48 ,28.6,2.1,0.0, 0.64 , 0.17 , 0.19 , 0.73 
3262,2014,CIMARRON,FELT,13I010,295," 53,434.78 "," 63,986.08 ", 0.02 , 0.17 , 0.24 ,,0.0,0.0, 0.54 , 0.24 , 0.23 , 0.54 
3263,2014,CIMARRON,KEYES,13I011,482," 49,820.91 "," 208,505.62 ", -   , 0.23 , -   ,64.0,2.0,0.0, 0.69 , 0.15 , 0.16 , 0.75 
3264,2014,CLEVELAND,ROBIN HILL,14C016,831," 92,671.70 "," 26,480.63 ", 0.04 , 0.02 , 0.10 ,,0.0,0.0, 0.66 , 0.11 , 0.23 , 0.33 
3265,2014,CLEVELAND,MOORE,14I002,"127,721"," 72,626.63 "," 41,624.36 ", 0.05 , 0.09 , 0.26 ,200.2,1.9,4.0, 0.65 , 0.09 , 0.26 , 0.44 
3266,2014,CLEVELAND,NORMAN,14I029,"110,837"," 69,394.96 "," 55,637.46 ", 0.06 , 0.18 , 0.32 ,258.0,2.3,6.0, 0.49 , 0.07 , 0.44 , 0.48 
3267,2014,CLEVELAND,NOBLE,14I040,"15,561"," 60,255.55 "," 24,617.93 ", 0.08 , 0.13 , 0.40 ,96.6,2.1,0.0, 0.70 , 0.13 , 0.17 , 0.62 
3268,2014,CLEVELAND,LEXINGTON,14I057,"8,008"," 52,518.92 "," 16,934.40 ", 0.08 , 0.14 , 0.21 ,125.7,1.7,0.0, 0.70 , 0.22 , 0.08 , 0.63 
3269,2014,CLEVELAND,LITTLE AXE,14I070,"5,751"," 59,234.96 "," 16,560.05 ", 0.07 , 0.08 , 0.26 ,247.2,1.8,0.0, 0.65 , 0.20 , 0.16 , 0.72 
3270,2014,COAL,COTTONWOOD,15C004,439," 67,227.06 "," 22,240.67 ", 0.09 , 0.15 , 0.12 ,,0.0,0.0, 0.70 , 0.18 , 0.13 , 0.67 
3271,2014,COAL,COALGATE,15I001,"4,362"," 45,485.58 "," 104,491.08 ", 0.09 , 0.22 , 0.47 ,79.3,1.6,0.0, 0.69 , 0.19 , 0.13 , 0.77 
3272,2014,COAL,TUPELO,15I002,"1,093"," 53,364.95 "," 47,485.75 ", 0.07 , 0.23 , 0.34 ,,0.0,0.0, 0.62 , 0.21 , 0.17 , 0.76 
3273,2014,COMANCHE,FLOWER MOUND,16C048,"1,060"," 66,025.06 "," 34,515.87 ", 0.07 , 0.06 , 0.35 ,,0.0,0.0, 0.61 , 0.04 , 0.35 , 0.33 
3274,2014,COMANCHE,BISHOP,16C049,"2,759"," 68,983.09 "," 27,641.46 ", 0.11 , 0.16 , 0.15 ,,0.0,0.0, 0.71 , 0.12 , 0.17 , 0.64 
3275,2014,COMANCHE,CACHE,16I001,"8,219"," 85,252.34 "," 63,664.42 ", 0.09 , 0.19 , 0.31 ,105.4,1.7,0.0, 0.68 , 0.05 , 0.27 , 0.45 
3276,2014,COMANCHE,INDIAHOMA,16I002,"1,283"," 56,743.35 "," 24,536.85 ", 0.10 , 0.20 , 0.56 ,214.0,1.0,0.0, 0.72 , 0.11 , 0.16 , 0.82 
3277,2014,COMANCHE,STERLING,16I003,"1,791"," 60,057.46 "," 23,478.11 ", 0.06 , 0.18 , 0.40 ,43.0,1.3,0.0, 0.70 , 0.11 , 0.19 , 0.53 
3278,2014,COMANCHE,GERONIMO,16I004,"4,246"," 52,106.30 "," 46,439.55 ", 0.10 , 0.10 , 0.20 ,181.0,1.0,0.0, 0.72 , 0.21 , 0.07 , 0.67 
3279,2014,COMANCHE,LAWTON,16I008,"93,077"," 54,385.21 "," 28,861.86 ", 0.10 , 0.19 , 0.48 ,45.1,1.7,10.0, 0.69 , 0.12 , 0.19 , 0.64 
3280,2014,COMANCHE,FLETCHER,16I009,"2,495"," 62,164.05 "," 30,216.06 ", 0.11 , 0.14 , 0.25 ,478.0,1.0,0.0, 0.69 , 0.11 , 0.20 , 0.61 
3281,2014,COMANCHE,ELGIN,16I016,"7,925"," 76,354.31 "," 31,098.17 ", 0.07 , 0.07 , 0.15 ,192.2,2.5,0.0, 0.66 , 0.05 , 0.29 , 0.36 
3282,2014,COMANCHE,CHATTANOOGA,16I132,"1,175"," 62,127.53 "," 40,382.39 ", 0.03 , 0.13 , 0.14 ,227.0,1.0,0.0, 0.71 , 0.09 , 0.20 , 0.45 
3283,2014,COTTON,WALTERS,17I001,"3,533"," 55,444.83 "," 24,268.08 ", 0.06 , 0.13 , 0.28 ,61.1,1.3,0.0, 0.72 , 0.12 , 0.16 , 0.59 
3284,2014,COTTON,TEMPLE,17I101,"1,344"," 49,694.34 "," 50,681.49 ", 0.12 , 0.23 , 0.58 ,165.0,3.0,0.0, 0.73 , 0.18 , 0.10 , 0.75 
3285,2014,COTTON,BIG PASTURE,17I333,"1,127"," 58,046.15 "," 41,494.34 ", 0.10 , 0.11 , 0.38 ,,0.0,0.0, 0.66 , 0.17 , 0.17 , 0.50 
3286,2014,CRAIG,WHITE OAK,18C001,932," 52,767.61 "," 109,246.98 ", 0.07 , 0.14 , 0.27 ,,0.0,0.0, 0.73 , 0.12 , 0.15 , 0.82 
3287,2014,CRAIG,KETCHUM,18I006,"3,969"," 49,920.07 "," 85,180.93 ", 0.09 , 0.24 , 0.38 ,631.0,5.0,0.0, 0.67 , 0.18 , 0.15 , 0.69 
3288,2014,CRAIG,WELCH,18I017,"2,107"," 56,435.82 "," 40,712.38 ", 0.04 , 0.13 , 0.25 ,109.7,1.3,0.0, 0.77 , 0.12 , 0.11 , 0.53 
3289,2014,CRAIG,BLUEJACKET,18I020,"1,433"," 54,536.42 "," 39,129.78 ", 0.04 , 0.10 , 0.19 ,34.0,2.2,0.0, 0.72 , 0.15 , 0.13 , 0.70 
3290,2014,CRAIG,VINITA,18I065,"9,250"," 48,120.57 "," 27,616.40 ", 0.06 , 0.21 , 0.36 ,87.2,3.5,0.0, 0.69 , 0.19 , 0.13 , 0.70 
3291,2014,CREEK,LONE STAR,19C008,"4,441"," 54,873.38 "," 7,454.14 ", 0.08 , 0.21 , 0.28 ,223.5,1.8,0.0, 0.75 , 0.12 , 0.14 , 0.53 
3292,2014,CREEK,GYPSY,19C012,713," 47,626.09 "," 38,477.24 ", 0.16 , 0.12 , 0.26 ,,0.0,0.0, 0.74 , 0.13 , 0.13 , 0.90 
3293,2014,CREEK,PRETTY WATER,19C034,"1,675"," 69,835.20 "," 33,632.44 ", 0.07 , 0.06 , 0.26 ,,0.0,0.0, 0.75 , 0.16 , 0.10 , 0.56 
3294,2014,CREEK,ALLEN-BOWDEN,19C035,"2,737"," 64,146.37 "," 48,016.40 ", 0.09 , 0.05 , 0.21 ,96.0,1.8,0.0, 0.70 , 0.18 , 0.12 , 0.82 
3295,2014,CREEK,BRISTOW,19I002,"8,586"," 46,642.81 "," 23,663.27 ", 0.09 , 0.22 , 0.32 ,85.8,2.6,0.0, 0.71 , 0.15 , 0.13 , 0.74 
3296,2014,CREEK,MANNFORD,19I003,"7,661"," 59,539.18 "," 24,095.47 ", 0.06 , 0.12 , 0.29 ,312.4,1.4,0.0, 0.73 , 0.14 , 0.13 , 0.66 
3297,2014,CREEK,MOUNDS,19I005,"3,689"," 61,683.70 "," 26,139.41 ", 0.06 , 0.12 , 0.38 ,118.6,2.2,0.0, 0.69 , 0.13 , 0.18 , 0.69 
3298,2014,CREEK,OLIVE,19I017,"2,273"," 52,954.52 "," 26,198.86 ", 0.07 , 0.12 , 0.20 ,187.5,3.0,0.0, 0.76 , 0.13 , 0.11 , 0.70 
3299,2014,CREEK,KIEFER,19I018,"2,955"," 62,524.81 "," 43,797.97 ", 0.07 , 0.12 , 0.20 ,220.0,1.0,0.0, 0.68 , 0.15 , 0.17 , 0.50 
3300,2014,CREEK,OILTON,19I020,"1,750"," 47,162.76 "," 19,374.04 ", 0.13 , 0.20 , 0.31 ,256.0,1.0,0.0, 0.71 , 0.20 , 0.10 , 0.90 
3301,2014,CREEK,DEPEW,19I021,"1,985"," 58,671.43 "," 67,873.42 ", 0.10 , 0.10 , 0.23 ,194.0,2.0,0.0, 0.73 , 0.15 , 0.12 , 0.64 
3302,2014,CREEK,KELLYVILLE,19I031,"6,034"," 57,088.06 "," 28,595.79 ", 0.08 , 0.14 , 0.27 ,188.5,1.0,0.0, 0.75 , 0.18 , 0.07 , 0.70 
3303,2014,CREEK,SAPULPA,19I033,"21,871"," 60,659.08 "," 39,995.29 ", 0.10 , 0.15 , 0.38 ,108.3,1.9,3.0, 0.66 , 0.15 , 0.20 , 0.66 
3304,2014,CREEK,DRUMRIGHT,19I039,"3,512"," 48,815.35 "," 30,286.44 ", 0.10 , 0.18 , 0.38 ,100.8,1.7,0.0, 0.68 , 0.17 , 0.15 , 0.79 
3305,2014,CUSTER,ARAPAHO-BUTLER,20I005,"1,859"," 63,155.51 "," 69,164.69 ", 0.01 , 0.07 , 0.17 ,391.0,3.0,0.0, 0.76 , 0.10 , 0.14 , 0.40 
3306,2014,CUSTER,THOMAS-FAY-CUSTER,20I007,"2,772"," 56,897.81 "," 91,733.53 ", 0.02 , 0.17 , 0.16 ,118.3,2.3,0.0, 0.64 , 0.13 , 0.23 , 0.52 
3307,2014,CUSTER,WEATHERFORD,20I026,"13,581"," 59,218.63 "," 44,082.86 ", 0.04 , 0.22 , 0.31 ,86.4,1.5,0.0, 0.53 , 0.08 , 0.39 , 0.49 
3308,2014,CUSTER,CLINTON,20I099,"10,216"," 63,479.53 "," 32,508.80 ", 0.04 , 0.18 , 0.41 ,58.7,2.5,0.0, 0.56 , 0.23 , 0.21 , 0.86 
