,Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetterGrade
81,2013,MAJOR,ALINE-CLEO,ALINE-CLEO HS,44I004,44I004705,96.0,A
82,2014,MAJOR,ALINE-CLEO,ALINE-CLEO HS,44I004,44I004705,73.0,C
83,2015,MAJOR,ALINE-CLEO,ALINE-CLEO HS,44I004,44I004705,63.0,D
84,2016,MAJOR,ALINE-CLEO,ALINE-CLEO HS,44I004,44I004705,70.0,C-
85,2013,PONTOTOC,ALLEN,ALLEN ES,62I001,62I001105,67.0,D+
86,2014,PONTOTOC,ALLEN,ALLEN ES,62I001,62I001105,68.0,D+
87,2015,PONTOTOC,ALLEN,ALLEN ES,62I001,62I001105,62.0,D-
88,2016,PONTOTOC,ALLEN,ALLEN ES,62I001,62I001105,62.0,D-
89,2013,PONTOTOC,ALLEN,ALLEN HS,62I001,62I001705,95.0,A
90,2014,PONTOTOC,ALLEN,ALLEN HS,62I001,62I001705,96.0,A
91,2015,PONTOTOC,ALLEN,ALLEN HS,62I001,62I001705,91.0,A-
92,2016,PONTOTOC,ALLEN,ALLEN HS,62I001,62I001705,76.0,C
93,2013,CREEK,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19C035,19C035105,68.0,D+
94,2014,CREEK,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19C035,19C035105,62.0,D-
95,2015,CREEK,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19C035,19C035105,61.0,D-
96,2016,CREEK,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19C035,19C035105,68.0,D+
97,2013,JACKSON,ALTUS,ALTUS HS,33I018,33I018705,82.0,B-
98,2014,JACKSON,ALTUS,ALTUS HS,33I018,33I018705,74.0,C
99,2015,JACKSON,ALTUS,ALTUS HS,33I018,33I018705,77.0,C+
100,2016,JACKSON,ALTUS,ALTUS HS,33I018,33I018705,70.0,C-
101,2013,JACKSON,ALTUS,ALTUS INTERMEDIATE SCHOOL,33I018,33I018145,76.0,C
102,2014,JACKSON,ALTUS,ALTUS INTERMEDIATE SCHOOL,33I018,33I018145,77.0,C+
103,2015,JACKSON,ALTUS,ALTUS INTERMEDIATE SCHOOL,33I018,33I018145,74.0,C
104,2016,JACKSON,ALTUS,ALTUS INTERMEDIATE SCHOOL,33I018,33I018145,78.0,C+
105,2013,JACKSON,ALTUS,ALTUS JHS,33I018,33I018625,87.0,B+
106,2014,JACKSON,ALTUS,ALTUS JHS,33I018,33I018625,86.0,B
107,2015,JACKSON,ALTUS,ALTUS JHS,33I018,33I018625,74.0,C
108,2016,JACKSON,ALTUS,ALTUS JHS,33I018,33I018625,76.0,C
109,2013,JACKSON,ALTUS,RIVERS ES,33I018,33I018105,104.0,A+
110,2014,JACKSON,ALTUS,RIVERS ES,33I018,33I018105,103.0,A+
111,2015,JACKSON,ALTUS,RIVERS ES,33I018,33I018105,108.0,A+
112,2016,JACKSON,ALTUS,RIVERS ES,33I018,33I018105,106.0,A+
113,2013,JACKSON,ALTUS,ROOSEVELT ES,33I018,33I018120,82.0,B-
114,2014,JACKSON,ALTUS,ROOSEVELT ES,33I018,33I018120,76.0,C
115,2015,JACKSON,ALTUS,ROOSEVELT ES,33I018,33I018120,81.0,B-
116,2016,JACKSON,ALTUS,ROOSEVELT ES,33I018,33I018120,71.0,C-
117,2013,JACKSON,ALTUS,SUNSET ES,33I018,33I018125,92.0,A-
118,2014,JACKSON,ALTUS,SUNSET ES,33I018,33I018125,87.0,B+
119,2015,JACKSON,ALTUS,SUNSET ES,33I018,33I018125,94.0,A
120,2016,JACKSON,ALTUS,SUNSET ES,33I018,33I018125,80.0,B-
121,2013,JACKSON,ALTUS,WASHINGTON ES,33I018,33I018130,70.0,C-
122,2014,JACKSON,ALTUS,WASHINGTON ES,33I018,33I018130,72.0,C-
123,2015,JACKSON,ALTUS,WASHINGTON ES,33I018,33I018130,82.0,B-
124,2016,JACKSON,ALTUS,WASHINGTON ES,33I018,33I018130,69.0,D+
125,2013,JACKSON,ALTUS,WILL ROGERS ES,33I018,33I018135,77.0,C+
126,2014,JACKSON,ALTUS,WILL ROGERS ES,33I018,33I018135,89.0,B+
127,2015,JACKSON,ALTUS,WILL ROGERS ES,33I018,33I018135,88.0,B+
128,2016,JACKSON,ALTUS,WILL ROGERS ES,33I018,33I018135,85.0,B
129,2013,WOODS,ALVA,ALVA HS,76I001,76I001705,91.0,A-
130,2014,WOODS,ALVA,ALVA HS,76I001,76I001705,84.0,B
131,2015,WOODS,ALVA,ALVA HS,76I001,76I001705,90.0,A-
132,2016,WOODS,ALVA,ALVA HS,76I001,76I001705,75.0,C
133,2013,WOODS,ALVA,ALVA MS,76I001,76I001505,68.0,D+
134,2014,WOODS,ALVA,ALVA MS,76I001,76I001505,79.0,C+
135,2015,WOODS,ALVA,ALVA MS,76I001,76I001505,75.0,C
136,2016,WOODS,ALVA,ALVA MS,76I001,76I001505,75.0,C
137,2013,WOODS,ALVA,LINCOLN ES,76I001,76I001105,71.0,C-
138,2014,WOODS,ALVA,LINCOLN ES,76I001,76I001105,80.0,B-
139,2015,WOODS,ALVA,LINCOLN ES,76I001,76I001105,79.0,C+
140,2016,WOODS,ALVA,LINCOLN ES,76I001,76I001105,77.0,C+
141,2013,WOODS,ALVA,LONGFELLOW ES,76I001,76I001110,85.0,B
142,2014,WOODS,ALVA,LONGFELLOW ES,76I001,76I001110,91.0,A-
143,2015,WOODS,ALVA,LONGFELLOW ES,76I001,76I001110,92.0,A-
144,2016,WOODS,ALVA,LONGFELLOW ES,76I001,76I001110,93.0,A
145,2013,WOODS,ALVA,WASHINGTON ES,76I001,76I001115,85.0,B
