,Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetterGrade
1083,2014,CHEROKEE,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,11T001,11T001971,56.0,F
1084,2015,CHEROKEE,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,11T001,11T001971,57.0,F
1085,2016,CHEROKEE,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,11T001,11T001971,65.0,D
1086,2013,ROGER MILLS,CHEYENNE,CHEYENNE ES,65I007,65I007105,81.0,B-
1087,2014,ROGER MILLS,CHEYENNE,CHEYENNE ES,65I007,65I007105,89.0,B+
1088,2015,ROGER MILLS,CHEYENNE,CHEYENNE ES,65I007,65I007105,83.0,B
1089,2016,ROGER MILLS,CHEYENNE,CHEYENNE ES,65I007,65I007105,91.0,A-
1090,2013,ROGER MILLS,CHEYENNE,CHEYENNE HS,65I007,65I007705,95.0,A
1091,2014,ROGER MILLS,CHEYENNE,CHEYENNE HS,65I007,65I007705,98.0,A+
1092,2015,ROGER MILLS,CHEYENNE,CHEYENNE HS,65I007,65I007705,92.0,A-
1093,2016,ROGER MILLS,CHEYENNE,CHEYENNE HS,65I007,65I007705,87.0,B+
1094,2013,GRADY,CHICKASHA,BILL WALLACE EC CTR,26I001,26I001120,72.0,C-
1095,2014,GRADY,CHICKASHA,BILL WALLACE EC CTR,26I001,26I001120,62.0,D-
1096,2015,GRADY,CHICKASHA,BILL WALLACE EC CTR,26I001,26I001120,76.0,C
1097,2016,GRADY,CHICKASHA,BILL WALLACE EC CTR,26I001,26I001120,72.0,C-
1098,2013,GRADY,CHICKASHA,CHICKASHA HS,26I001,26I001705,93.0,A
1099,2014,GRADY,CHICKASHA,CHICKASHA HS,26I001,26I001705,90.0,A-
1100,2015,GRADY,CHICKASHA,CHICKASHA HS,26I001,26I001705,71.0,C-
1101,2016,GRADY,CHICKASHA,CHICKASHA HS,26I001,26I001705,66.0,D
1102,2013,GRADY,CHICKASHA,CHICKASHA MS,26I001,26I001510,77.0,C+
1103,2014,GRADY,CHICKASHA,CHICKASHA MS,26I001,26I001510,68.0,D+
1104,2015,GRADY,CHICKASHA,CHICKASHA MS,26I001,26I001510,65.0,D
1105,2016,GRADY,CHICKASHA,CHICKASHA MS,26I001,26I001510,71.0,C-
1106,2013,GRADY,CHICKASHA,GRAND AVENUE ES,26I001,26I001105,82.0,B-
1107,2014,GRADY,CHICKASHA,GRAND AVENUE ES,26I001,26I001105,72.0,C-
1108,2015,GRADY,CHICKASHA,GRAND AVENUE ES,26I001,26I001105,76.0,C
1109,2016,GRADY,CHICKASHA,GRAND AVENUE ES,26I001,26I001105,72.0,C-
1110,2013,GRADY,CHICKASHA,LINCOLN ES,26I001,26I001115,79.0,C+
1111,2014,GRADY,CHICKASHA,LINCOLN ES,26I001,26I001115,78.0,C+
1112,2015,GRADY,CHICKASHA,LINCOLN ES,26I001,26I001115,74.0,C
1113,2016,GRADY,CHICKASHA,LINCOLN ES,26I001,26I001115,66.0,D
1114,2013,GARFIELD,CHISHOLM,CHISHOLM ES,24I042,24I042105,93.0,A
1115,2014,GARFIELD,CHISHOLM,CHISHOLM ES,24I042,24I042105,92.0,A-
1116,2015,GARFIELD,CHISHOLM,CHISHOLM ES,24I042,24I042105,82.0,B-
1117,2016,GARFIELD,CHISHOLM,CHISHOLM ES,24I042,24I042105,86.0,B
1118,2013,GARFIELD,CHISHOLM,CHISHOLM HS,24I042,24I042705,103.0,A+
1119,2014,GARFIELD,CHISHOLM,CHISHOLM HS,24I042,24I042705,99.0,A+
1120,2015,GARFIELD,CHISHOLM,CHISHOLM HS,24I042,24I042705,101.0,A+
1121,2016,GARFIELD,CHISHOLM,CHISHOLM HS,24I042,24I042705,93.0,A
1122,2013,GARFIELD,CHISHOLM,CHISHOLM MS,24I042,24I042505,96.0,A
1123,2014,GARFIELD,CHISHOLM,CHISHOLM MS,24I042,24I042505,89.0,B+
1124,2015,GARFIELD,CHISHOLM,CHISHOLM MS,24I042,24I042505,92.0,A-
1125,2016,GARFIELD,CHISHOLM,CHISHOLM MS,24I042,24I042505,90.0,A-
1126,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW ES,55I004,55I004105,86.0,B
1127,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW ES,55I004,55I004105,72.0,C-
1128,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW ES,55I004,55I004105,80.0,B-
1129,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW ES,55I004,55I004105,88.0,B+
1130,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW HS,55I004,55I004705,93.0,A
1131,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW HS,55I004,55I004705,94.0,A
1132,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW HS,55I004,55I004705,94.0,A
1133,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW HS,55I004,55I004705,92.0,A-
1134,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW MS,55I004,55I004520,80.0,B-
1135,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW MS,55I004,55I004520,83.0,B
1136,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW MS,55I004,55I004520,72.0,C-
1137,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW MS,55I004,55I004520,73.0,C
1138,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,55I004,55I004103,84.0,B
1139,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,55I004,55I004103,80.0,B-
1140,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,55I004,55I004103,78.0,C+
1141,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,55I004,55I004103,76.0,C
1142,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,55I004,55I004125,84.0,B
1143,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,55I004,55I004125,80.0,B-
1144,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,55I004,55I004125,78.0,C+
1145,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,55I004,55I004125,76.0,C
1146,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,L. W. WESTFALL ES,55I004,55I004126,95.0,A
1147,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,L. W. WESTFALL ES,55I004,55I004126,96.0,A
1148,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,L.W.WESTFALL ES,55I004,55I004126,91.0,A-
1149,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,L.W.WESTFALL ES,55I004,55I004126,91.0,A-
1150,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK ES,55I004,55I004115,73.0,C
1151,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK ES,55I004,55I004115,71.0,C-
1152,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK ES,55I004,55I004115,77.0,C+
1153,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK ES,55I004,55I004115,78.0,C+
1154,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,55I004,55I004120,73.0,C
1155,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,55I004,55I004120,71.0,C-
1156,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,55I004,55I004120,77.0,C+
1157,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,55I004,55I004120,78.0,C+
1158,2013,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK MS,55I004,55I004515,86.0,B
1159,2014,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK MS,55I004,55I004515,89.0,B+
1160,2015,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK MS,55I004,55I004515,85.0,B
1161,2016,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK MS,55I004,55I004515,87.0,B+
1162,2014,OKLAHOMA,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,5.50E+15,55E014984,73.0,C
1163,2014,OKLAHOMA,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,5.50E+15,55E014985,68.0,D+
1164,2014,OKLAHOMA,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,5.50E+15,55E014986,58.0,F
1165,2013,MAYES,CHOUTEAU-MAZIE,CHOUTEAU ES,46I032,46I032105,63.0,D
1166,2014,MAYES,CHOUTEAU-MAZIE,CHOUTEAU ES,46I032,46I032105,57.0,F
1167,2015,MAYES,CHOUTEAU-MAZIE,CHOUTEAU ES,46I032,46I032105,73.0,C
1168,2016,MAYES,CHOUTEAU-MAZIE,CHOUTEAU ES,46I032,46I032105,74.0,C
1169,2013,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,46I032,46I032115,53.0,F
1170,2014,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,46I032,46I032115,57.0,F
1171,2015,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,46I032,46I032115,73.0,C
1172,2016,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,46I032,46I032115,74.0,C
1173,2013,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE HS,46I032,46I032705,76.0,C
1174,2014,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE HS,46I032,46I032705,75.0,C
1175,2015,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE HS,46I032,46I032705,82.0,B-
1176,2016,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE HS,46I032,46I032705,75.0,C
1177,2013,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,46I032,46I032505,56.0,F
1178,2014,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,46I032,46I032505,76.0,C
1179,2015,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,46I032,46I032505,77.0,C+
1180,2016,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,46I032,46I032505,66.0,D
1181,2013,MAYES,CHOUTEAU-MAZIE,MAZIE ES,46I032,46I032110,77.0,C+
1182,2014,MAYES,CHOUTEAU-MAZIE,MAZIE ES,46I032,46I032110,80.0,B-
1183,2015,MAYES,CHOUTEAU-MAZIE,MAZIE ES,46I032,46I032110,64.0,D
1184,2016,MAYES,CHOUTEAU-MAZIE,MAZIE ES,46I032,46I032110,75.0,C
1185,2013,MAJOR,CIMARRON,CIMARRON ES,44I092,44I092105,78.0,C+
1186,2014,MAJOR,CIMARRON,CIMARRON ES,44I092,44I092105,69.0,D+
1187,2015,MAJOR,CIMARRON,CIMARRON ES,44I092,44I092105,61.0,D-
1188,2016,MAJOR,CIMARRON,CIMARRON ES,44I092,44I092105,70.0,C-
1189,2013,MAJOR,CIMARRON,CIMARRON HS,44I092,44I092705,94.0,A
1190,2014,MAJOR,CIMARRON,CIMARRON HS,44I092,44I092705,76.0,C
1191,2015,MAJOR,CIMARRON,CIMARRON HS,44I092,44I092705,83.0,B
1192,2016,MAJOR,CIMARRON,CIMARRON HS,44I092,44I092705,83.0,B
1193,2013,ROGERS,CLAREMORE,CATALAYAH ES,66I001,66I001135,80.0,B-
1194,2014,ROGERS,CLAREMORE,CATALAYAH ES,66I001,66I001135,86.0,B
1195,2015,ROGERS,CLAREMORE,CATALAYAH ES,66I001,66I001135,79.0,C+
1196,2016,ROGERS,CLAREMORE,CATALAYAH ES,66I001,66I001135,81.0,B-
1197,2013,ROGERS,CLAREMORE,CLAREMONT ES,66I001,66I001105,76.0,C
1198,2014,ROGERS,CLAREMORE,CLAREMONT ES,66I001,66I001105,79.0,C+
1199,2015,ROGERS,CLAREMORE,CLAREMONT ES,66I001,66I001105,72.0,C-
1200,2016,ROGERS,CLAREMORE,CLAREMONT ES,66I001,66I001105,76.0,C
1201,2013,ROGERS,CLAREMORE,CLAREMORE HS,66I001,66I001705,92.0,A-
1202,2014,ROGERS,CLAREMORE,CLAREMORE HS,66I001,66I001705,88.0,B+
1203,2015,ROGERS,CLAREMORE,CLAREMORE HS,66I001,66I001705,86.0,B
1204,2016,ROGERS,CLAREMORE,CLAREMORE HS,66I001,66I001705,84.0,B
1205,2013,ROGERS,CLAREMORE,ROOSA ES,66I001,66I001110,95.0,A
1206,2014,ROGERS,CLAREMORE,ROOSA ES,66I001,66I001110,95.0,A
1207,2015,ROGERS,CLAREMORE,ROOSA ES,66I001,66I001110,92.0,A-
1208,2016,ROGERS,CLAREMORE,ROOSA ES,66I001,66I001110,93.0,A
1209,2013,ROGERS,CLAREMORE,WESTSIDE ES,66I001,66I001115,93.0,A
1210,2014,ROGERS,CLAREMORE,WESTSIDE ES,66I001,66I001115,90.0,A-
1211,2015,ROGERS,CLAREMORE,WESTSIDE ES,66I001,66I001115,84.0,B
1212,2016,ROGERS,CLAREMORE,WESTSIDE ES,66I001,66I001115,79.0,C+
1213,2013,ROGERS,CLAREMORE,WILL ROGERS JHS,66I001,66I001610,83.0,B
1214,2014,ROGERS,CLAREMORE,WILL ROGERS JHS,66I001,66I001610,83.0,B
1215,2015,ROGERS,CLAREMORE,WILL ROGERS JHS,66I001,66I001610,83.0,B
1216,2016,ROGERS,CLAREMORE,WILL ROGERS JHS,66I001,66I001610,81.0,B-
1217,2013,PUSHMATAHA,CLAYTON,CLAYTON HS,64I010,64I010705,74.0,C
1218,2014,PUSHMATAHA,CLAYTON,CLAYTON HS,64I010,64I010705,65.0,D
1219,2015,PUSHMATAHA,CLAYTON,CLAYTON HS,64I010,64I010705,68.0,D+
1220,2016,PUSHMATAHA,CLAYTON,CLAYTON HS,64I010,64I010705,62.0,D-
1221,2013,PUSHMATAHA,CLAYTON,CRAIN ES,64I010,64I010105,73.0,C
1222,2014,PUSHMATAHA,CLAYTON,CRAIN ES,64I010,64I010105,73.0,C
1223,2015,PUSHMATAHA,CLAYTON,CRAIN ES,64I010,64I010105,84.0,B
1224,2016,PUSHMATAHA,CLAYTON,CRAIN ES,64I010,64I010105,78.0,C+
1225,2013,DELAWARE,CLEORA,CLEORA PUBLIC SCHOOL,21C006,21C006105,91.0,A-
1226,2014,DELAWARE,CLEORA,CLEORA PUBLIC SCHOOL,21C006,21C006105,80.0,B-
1227,2015,DELAWARE,CLEORA,CLEORA PUBLIC SCHOOL,21C006,21C006105,91.0,A-
1228,2016,DELAWARE,CLEORA,CLEORA PUBLIC SCHOOL,21C006,21C006105,77.0,C+
1229,2013,PAWNEE,CLEVELAND,CLEVELAND HS,59I006,59I006705,84.0,B
1230,2014,PAWNEE,CLEVELAND,CLEVELAND HS,59I006,59I006705,78.0,C+
1231,2015,PAWNEE,CLEVELAND,CLEVELAND HS,59I006,59I006705,89.0,B+
1232,2016,PAWNEE,CLEVELAND,CLEVELAND HS,59I006,59I006705,74.0,C
1233,2013,PAWNEE,CLEVELAND,CLEVELAND INTERMEDIATE ES,59I006,59I006115,67.0,D+
1234,2014,PAWNEE,CLEVELAND,CLEVELAND INTERMEDIATE ES,59I006,59I006115,71.0,C-
1235,2015,PAWNEE,CLEVELAND,CLEVELAND INTERMEDIATE ES,59I006,59I006115,74.0,C
1236,2016,PAWNEE,CLEVELAND,CLEVELAND INTERMEDIATE ES,59I006,59I006115,62.0,D-
1237,2013,PAWNEE,CLEVELAND,CLEVELAND MS,59I006,59I006505,72.0,C-
1238,2014,PAWNEE,CLEVELAND,CLEVELAND MS,59I006,59I006505,70.0,C-
1239,2015,PAWNEE,CLEVELAND,CLEVELAND MS,59I006,59I006505,61.0,D-
1240,2016,PAWNEE,CLEVELAND,CLEVELAND MS,59I006,59I006505,60.0,D-
1241,2013,PAWNEE,CLEVELAND,CLEVELAND PRIMARY ES,59I006,59I006105,67.0,D+
1242,2014,PAWNEE,CLEVELAND,CLEVELAND PRIMARY ES,59I006,59I006105,71.0,C-
1243,2015,PAWNEE,CLEVELAND,CLEVELAND PRIMARY ES,59I006,59I006105,74.0,C
1244,2016,PAWNEE,CLEVELAND,CLEVELAND PRIMARY ES,59I006,59I006105,72.0,C-
1245,2013,CUSTER,CLINTON,CLINTON HS,20I099,20I099705,82.0,B-
1246,2014,CUSTER,CLINTON,CLINTON HS,20I099,20I099705,69.0,D+
1247,2015,CUSTER,CLINTON,CLINTON HS,20I099,20I099705,74.0,C
1248,2016,CUSTER,CLINTON,CLINTON HS,20I099,20I099705,57.0,F
1249,2013,CUSTER,CLINTON,CLINTON MS,20I099,20I099505,79.0,C+
1250,2014,CUSTER,CLINTON,CLINTON MS,20I099,20I099505,85.0,B
1251,2015,CUSTER,CLINTON,CLINTON MS,20I099,20I099505,73.0,C
1252,2016,CUSTER,CLINTON,CLINTON MS,20I099,20I099505,70.0,C-
1253,2013,CUSTER,CLINTON,NANCE ES,20I099,20I099110,73.0,C
1254,2014,CUSTER,CLINTON,NANCE ES,20I099,20I099110,73.0,C
1255,2015,CUSTER,CLINTON,NANCE ES,20I099,20I099110,70.0,C-
1256,2016,CUSTER,CLINTON,NANCE ES,20I099,20I099110,67.0,D+
1257,2013,CUSTER,CLINTON,SOUTHWEST ES,20I099,20I099115,73.0,C
1258,2014,CUSTER,CLINTON,SOUTHWEST ES,20I099,20I099115,73.0,C
1259,2015,CUSTER,CLINTON,SOUTHWEST ES,20I099,20I099115,70.0,C-
1260,2016,CUSTER,CLINTON,SOUTHWEST ES,20I099,20I099115,67.0,D+
1261,2013,CUSTER,CLINTON,WASHINGTON ES,20I099,20I099120,69.0,D+
1262,2014,CUSTER,CLINTON,WASHINGTON ES,20I099,20I099120,78.0,C+
1263,2015,CUSTER,CLINTON,WASHINGTON ES,20I099,20I099120,73.0,C
1264,2016,CUSTER,CLINTON,WASHINGTON ES,20I099,20I099120,77.0,C+
1265,2013,COAL,COALGATE,COALGATE HS,15I001,15I001705,85.0,B
1266,2014,COAL,COALGATE,COALGATE HS,15I001,15I001705,89.0,B+
1267,2015,COAL,COALGATE,COALGATE HS,15I001,15I001705,86.0,B
1268,2016,COAL,COALGATE,COALGATE HS,15I001,15I001705,82.0,B-
1269,2013,COAL,COALGATE,EMERSON ES,15I001,15I001105,70.0,C-
1270,2014,COAL,COALGATE,EMERSON ES,15I001,15I001105,66.0,D
1271,2015,COAL,COALGATE,EMERSON ES,15I001,15I001105,73.0,C
1272,2016,COAL,COALGATE,EMERSON ES,15I001,15I001105,85.0,B
1273,2013,COAL,COALGATE,WALLACE BYRD MS,15I001,15I001505,77.0,C+
1274,2014,COAL,COALGATE,WALLACE BYRD MS,15I001,15I001505,75.0,C
1275,2015,COAL,COALGATE,WALLACE BYRD MS,15I001,15I001505,70.0,C-
1276,2016,COAL,COALGATE,WALLACE BYRD MS,15I001,15I001505,71.0,C-
1277,2013,BRYAN,COLBERT,COLBERT HS,07I004,07I004715,82.0,B-
1278,2014,BRYAN,COLBERT,COLBERT HS,7I004,07I004715,87.0,B+
1279,2015,BRYAN,COLBERT,COLBERT HS,07I004,07I004715,82.0,B-
1280,2016,BRYAN,COLBERT,COLBERT HS,07I004,07I004715,82.0,B-
1281,2013,BRYAN,COLBERT,COLBERT MS,07I004,07I004505,73.0,C
1282,2014,BRYAN,COLBERT,COLBERT MS,7I004,07I004505,66.0,D
1283,2015,BRYAN,COLBERT,COLBERT MS,07I004,07I004505,84.0,B
1284,2016,BRYAN,COLBERT,COLBERT MS,07I004,07I004505,78.0,C+
1285,2013,BRYAN,COLBERT,WARD ES EAST,07I004,07I004105,68.0,D+
1286,2014,BRYAN,COLBERT,WARD ES EAST,7I004,07I004105,61.0,D-
1287,2015,BRYAN,COLBERT,WARD ES EAST,07I004,07I004105,70.0,C-
1288,2016,BRYAN,COLBERT,WARD ES EAST,07I004,07I004105,83.0,B
1289,2013,BRYAN,COLBERT,WARD ES WEST,07I004,07I004110,76.0,C
1290,2014,BRYAN,COLBERT,WARD ES WEST,7I004,07I004110,91.0,A-
1291,2015,BRYAN,COLBERT,WARD ES WEST,07I004,07I004110,90.0,A-
1292,2016,BRYAN,COLBERT,WARD ES WEST,07I004,07I004110,91.0,A-
1293,2013,DELAWARE,COLCORD,COLCORD ES,21I004,21I004105,76.0,C
1294,2014,DELAWARE,COLCORD,COLCORD ES,21I004,21I004105,64.0,D
1295,2015,DELAWARE,COLCORD,COLCORD ES,21I004,21I004105,50.0,F
1296,2016,DELAWARE,COLCORD,COLCORD ES,21I004,21I004105,54.0,F
1297,2013,DELAWARE,COLCORD,COLCORD HS,21I004,21I004715,76.0,C
1298,2014,DELAWARE,COLCORD,COLCORD HS,21I004,21I004715,65.0,D
1299,2015,DELAWARE,COLCORD,COLCORD HS,21I004,21I004715,71.0,C-
1300,2016,DELAWARE,COLCORD,COLCORD HS,21I004,21I004715,70.0,C-
1301,2013,JOHNSTON,COLEMAN,COLEMAN ES,35I035,35I035105,86.0,B
1302,2014,JOHNSTON,COLEMAN,COLEMAN ES,35I035,35I035105,72.0,C-
1303,2015,JOHNSTON,COLEMAN,COLEMAN ES,35I035,35I035105,67.0,D+
1304,2016,JOHNSTON,COLEMAN,COLEMAN ES,35I035,35I035105,87.0,B+
1305,2013,JOHNSTON,COLEMAN,COLEMAN HS,35I035,35I035705,93.0,A
1306,2014,JOHNSTON,COLEMAN,COLEMAN HS,35I035,35I035705,86.0,B
1307,2015,JOHNSTON,COLEMAN,COLEMAN HS,35I035,35I035705,90.0,A-
1308,2016,JOHNSTON,COLEMAN,COLEMAN HS,35I035,35I035705,77.0,C+
1309,2016,TULSA,COLLINSVILLE,COLLINSVILLE 6TH GRADE CENTER,72I006,72I006135,79.0,C+
1310,2013,TULSA,COLLINSVILLE,COLLINSVILLE EC CTR,72I006,72I006105,81.0,B-
1311,2014,TULSA,COLLINSVILLE,COLLINSVILLE EC CTR,72I006,72I006105,85.0,B
1312,2015,TULSA,COLLINSVILLE,COLLINSVILLE EC CTR,72I006,72I006105,81.0,B-
1313,2016,TULSA,COLLINSVILLE,COLLINSVILLE EC CTR,72I006,72I006105,81.0,B-
1314,2013,TULSA,COLLINSVILLE,COLLINSVILLE HS,72I006,72I006705,95.0,A
1315,2014,TULSA,COLLINSVILLE,COLLINSVILLE HS,72I006,72I006705,92.0,A-
1316,2015,TULSA,COLLINSVILLE,COLLINSVILLE HS,72I006,72I006705,96.0,A
1317,2016,TULSA,COLLINSVILLE,COLLINSVILLE HS,72I006,72I006705,86.0,B
1318,2013,TULSA,COLLINSVILLE,COLLINSVILLE MS,72I006,72I006500,80.0,B-
1319,2014,TULSA,COLLINSVILLE,COLLINSVILLE MS,72I006,72I006500,83.0,B
1320,2015,TULSA,COLLINSVILLE,COLLINSVILLE MS,72I006,72I006500,81.0,B-
1321,2016,TULSA,COLLINSVILLE,COLLINSVILLE MS,72I006,72I006500,86.0,B
1322,2016,TULSA,COLLINSVILLE,COLLINSVILLE UPPER ES,72I006,72I006130,80.0,B-
1323,2013,TULSA,COLLINSVILLE,HERALD ES,72I006,72I006120,81.0,B-
1324,2014,TULSA,COLLINSVILLE,HERALD ES,72I006,72I006120,85.0,B
1325,2015,TULSA,COLLINSVILLE,HERALD ES,72I006,72I006120,81.0,B-
1326,2016,TULSA,COLLINSVILLE,HERALD ES,72I006,72I006125,81.0,B-
1327,2013,TULSA,COLLINSVILLE,WILSON ES,72I006,72I006115,81.0,B-
1328,2014,TULSA,COLLINSVILLE,WILSON ES,72I006,72I006115,85.0,B
1329,2015,TULSA,COLLINSVILLE,WILSON ES,72I006,72I006115,81.0,B-
1330,2013,STEPHENS,COMANCHE,COMANCHE ES,69I002,69I002105,63.0,D
1331,2014,STEPHENS,COMANCHE,COMANCHE ES,69I002,69I002105,62.0,D-
1332,2015,STEPHENS,COMANCHE,COMANCHE ES,69I002,69I002105,74.0,C
1333,2016,STEPHENS,COMANCHE,COMANCHE ES,69I002,69I002105,81.0,B-
1334,2013,STEPHENS,COMANCHE,COMANCHE HS,69I002,69I002705,90.0,A-
1335,2014,STEPHENS,COMANCHE,COMANCHE HS,69I002,69I002705,74.0,C
1336,2015,STEPHENS,COMANCHE,COMANCHE HS,69I002,69I002705,87.0,B+
1337,2016,STEPHENS,COMANCHE,COMANCHE HS,69I002,69I002705,76.0,C
1338,2013,STEPHENS,COMANCHE,COMANCHE MS,69I002,69I002510,78.0,C+
1339,2014,STEPHENS,COMANCHE,COMANCHE MS,69I002,69I002510,75.0,C
1340,2015,STEPHENS,COMANCHE,COMANCHE MS,69I002,69I002510,70.0,C-
1341,2016,STEPHENS,COMANCHE,COMANCHE MS,69I002,69I002510,70.0,C-
1342,2013,OTTAWA,COMMERCE,ALEXANDER ES,58I018,58I018105,73.0,C
1343,2014,OTTAWA,COMMERCE,ALEXANDER ES,58I018,58I018105,69.0,D+
1344,2015,OTTAWA,COMMERCE,ALEXANDER ES,58I018,58I018105,74.0,C
1345,2016,OTTAWA,COMMERCE,ALEXANDER ES,58I018,58I018105,72.0,C-
1346,2013,OTTAWA,COMMERCE,COMMERCE HS,58I018,58I018705,76.0,C
1347,2014,OTTAWA,COMMERCE,COMMERCE HS,58I018,58I018705,81.0,B-
1348,2015,OTTAWA,COMMERCE,COMMERCE HS,58I018,58I018705,62.0,D-
1349,2016,OTTAWA,COMMERCE,COMMERCE HS,58I018,58I018705,59.0,F
1350,2013,OTTAWA,COMMERCE,COMMERCE MS,58I018,58I018505,76.0,C
1351,2014,OTTAWA,COMMERCE,COMMERCE MS,58I018,58I018505,65.0,D
1352,2015,OTTAWA,COMMERCE,COMMERCE MS,58I018,58I018505,68.0,D+
1353,2016,OTTAWA,COMMERCE,COMMERCE MS,58I018,58I018505,63.0,D
1354,2013,WASHINGTON,COPAN,COPAN ES,74I004,74I004105,67.0,D+
1355,2014,WASHINGTON,COPAN,COPAN ES,74I004,74I004105,68.0,D+
1356,2015,WASHINGTON,COPAN,COPAN ES,74I004,74I004105,67.0,D+
1357,2016,WASHINGTON,COPAN,COPAN ES,74I004,74I004105,58.0,F
1358,2013,WASHINGTON,COPAN,COPAN HS,74I004,74I004720,95.0,A
1359,2014,WASHINGTON,COPAN,COPAN HS,74I004,74I004720,82.0,B-
1360,2015,WASHINGTON,COPAN,COPAN HS,74I004,74I004720,70.0,C-
1361,2016,WASHINGTON,COPAN,COPAN HS,74I004,74I004720,75.0,C
1362,2014,WASHINGTON,COPAN,COPAN VIRTUAL,74I004,74i004999,69.0,D+
1363,2013,WASHITA,CORDELL,CORDELL ES,75I078,75I078105,82.0,B-
1364,2014,WASHITA,CORDELL,CORDELL ES,75I078,75I078105,94.0,A
1365,2015,WASHITA,CORDELL,CORDELL ES,75I078,75I078105,93.0,A
1366,2016,WASHITA,CORDELL,CORDELL ES,75I078,75I078105,94.0,A
1367,2013,WASHITA,CORDELL,CORDELL HS,75I078,75I078705,104.0,A+
1368,2014,WASHITA,CORDELL,CORDELL HS,75I078,75I078705,100.0,A+
1369,2015,WASHITA,CORDELL,CORDELL HS,75I078,75I078705,102.0,A+
