Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
3175,2014,ADAIR,PEAVINE,01C019,1320,45150.19531,22521.1908,0.02,0.27,0.25,,0,0,0.663322185,0.183946488,0.152731327,0.9315
3176,2014,ADAIR,MARYETTA,01C022,1178,41557.73196,4991.744,0.03,0.3,0.44,,0,0,0.693793103,0.146206897,0.16,0.7741
3177,2014,ADAIR,ROCKY MOUNTAIN,01C024,605,41980.3653,6655.4891,0.02,0.16,0.24,,0,0,0.698734177,0.217721519,0.083544304,0.877
3178,2014,ADAIR,ZION,01C028,1007,47023.90805,10541.5219,0.08,0.22,0.17,,0,0,0.742307692,0.085897436,0.171794872,0.8044
3179,2014,ADAIR,DAHLONEGAH,01C029,897,34492.5,10964.9227,0.07,0.32,0.36,,0,0,0.59043659,0.351351351,0.058212058,0.9037
3180,2014,ADAIR,GREASY,01C032,937,42477.66667,16295.1173,0.03,0.2,0.1,,0,0,0.664965986,0.244897959,0.090136054,0.9804
3181,2014,ADAIR,WATTS,01I004,1705,42870.38123,23271.8282,0.14,0.24,0.44,125,1.666666667,0,0.726799653,0.202081526,0.07111882,0.8107
3182,2014,ADAIR,WESTVILLE,01I011,6152,43749.15641,21219.0183,0.1,0.23,0.33,232.2,1,0,0.584939148,0.26698783,0.148073022,0.7898
3183,2014,ADAIR,STILWELL,01I025,7135,35343.00039,21321.2764,0.08,0.32,0.42,234.6666667,2.5,0,0.647839012,0.239652413,0.112508575,0.8132
3184,2014,ADAIR,CAVE SPRINGS,01I030,756,48771.17438,11071.2257,0.11,0.25,0.23,,0,0,0.707224335,0.161596958,0.131178707,0.9126
3185,2014,ALFALFA,BURLINGTON,02I001,570,77966.82692,269279.6021,0.03,0.19,0.2,,0,0,0.667553191,0.090425532,0.242021277,0.44
3186,2014,ALFALFA,CHEROKEE,02I046,1878,61271.13772,94656.3933,0.06,0.12,0.23,368,3,0,0.616262482,0.095577746,0.288159772,0.4837
3187,2014,ALFALFA,TIMBERLAKE,02I093,2921,51705.12821,137145.0847,0.07,0.13,0.27,274,9,0,0.680101824,0.165888842,0.154009334,0.5511
3188,2014,ATOKA,HARMONY,03C021,1750,48656.09023,26861.8365,0.18,0.2,0.32,117,1,0,0.573604061,0.220304569,0.206091371,0.7692
3189,2014,ATOKA,LANE,03C022,2781,53350,22114.459,0.06,0.22,0.26,,0,0,0.746724891,0.172246482,0.081028627,0.7576
3190,2014,ATOKA,STRINGTOWN,03I007,747,56850.29412,26219.9681,0.08,0.1,0.04,233,1,0,0.551903114,0.179930796,0.26816609,0.6996
3191,2014,ATOKA,ATOKA,03I015,4044,41397.53639,34342.6872,0.11,0.34,0.64,105.25,1.25,0,0.655172414,0.204622963,0.140204623,0.7067
3192,2014,ATOKA,TUSHKA,03I019,1641,53268.37209,30724.8965,0.12,0.15,0.35,,0,0,0.744339623,0.122641509,0.133018868,0.6592
3193,2014,ATOKA,CANEY,03I026,1588,49051.91693,37285.7997,0.06,0.13,0.23,128.5,1,0,0.746858169,0.107719928,0.145421903,0.6809
3194,2014,BEAVER,BEAVER,04I022,1794,68555.46559,75030.012,0.01,0.09,0.32,74.2,1.2,0,0.660977502,0.181536074,0.157486424,0.5526
3195,2014,BEAVER,BALKO,04I075,881,78447.21311,241181.8265, -   ,0.04,0.21,,0,0,0.675044883,0.086175943,0.238779174,0.3487
3196,2014,BEAVER,FORGAN,04I123,853,64411.97183,205484.5202,0.08,0.18,0.18,,0,0,0.640973631,0.168356998,0.190669371,0.4737
3197,2014,BEAVER,TURPIN,04I128,2033,66715.94406,90766.8577,0.08,0.12,0.09,84.8,11.4,0,0.658389767,0.185854026,0.155756208,0.5802
3198,2014,BECKHAM,MERRITT,05I002,2474,110200.924,67217.6392,0.02,0.12,0.27,185,1.5,0,0.686483455,0.108244532,0.205272013,0.5946
3199,2014,BECKHAM,ELK CITY,05I006,12228,64128.84703,45990.0039,0.04,0.15,0.45,119.8,1.65,2,0.661375661,0.171376952,0.167247387,0.5054
3200,2014,BECKHAM,SAYRE,05I031,6417,59001.74387,111985.7487,0.02,0.14,0.34,71.18181818,3.909090909,0,0.631922557,0.226924809,0.141152634,0.5326
3201,2014,BECKHAM,ERICK,05I051,1279,46846.0084,37877.2176,0.01,0.27,0.14,262,3,0,0.717661692,0.161691542,0.120646766,0.4809
3202,2014,BLAINE,OKEENE,06I009,1599,56228.09798,63014.2315,0.02,0.05,0.2,323,1,0,0.707052441,0.116636528,0.176311031,0.5635
3203,2014,BLAINE,WATONGA,06I042,4776,54556.96452,46591.8957,0.02,0.21,0.53,56.14285714,2.642857143,0,0.656124363,0.205306888,0.138568748,0.7455
3204,2014,BLAINE,GEARY,06I080,1909,58543.9951,98215.808,0.07,0.24,0.46,418,1,0,0.697980685,0.130816506,0.171202809,0.8373
3205,2014,BLAINE,CANTON,06I105,1920,56893.04556,88346.8182,0.09,0.09,0.29,193.5,4.5,0,0.673701299,0.162337662,0.163961039,0.6305
3206,2014,BRYAN,SILO,07I001,7125,62277.21139,52658.6562,0.04,0.11,0.34,144.8333333,1.5,0,0.608678103,0.121695257,0.26962664,0.7629
3207,2014,BRYAN,ROCK CREEK,07I002,3301,50740.84709,41683.749,0.03,0.14,0.08,120.5,1.5,0,0.67345243,0.150810137,0.175737432,0.7427
3208,2014,BRYAN,ACHILLE,07I003,2663,53922.34848,79151.5871,0.09,0.11,0.24,100.6666667,1,0,0.696677385,0.158092176,0.145230439,0.7517
3209,2014,BRYAN,COLBERT,07I004,5213,46995.0541,21576.8161,0.12,0.21,0.39,149.8333333,1.166666667,0,0.652123995,0.208094145,0.13978186,0.7608
3210,2014,BRYAN,CADDO,07I005,2506,45015.35181,32278.6682,0.18,0.22,0.37,156.3333333,2.333333333,0,0.620949074,0.182291667,0.196759259,0.774
3211,2014,BRYAN,BENNINGTON,07I040,1331,39700.19194,128694.7749,0.11,0.22,0.42,47.83333333,1.833333333,0,0.610055866,0.248044693,0.141899441,0.8049
3212,2014,BRYAN,CALERA,07I048,4163,51652.45494,43422.227,0.07,0.13,0.18,74.88888889,2.333333333,0,0.702683862,0.141512722,0.155803416,0.6691
3213,2014,BRYAN,DURANT,07I072,16845,49643.03993,33383.1767,0.1,0.23,0.41,42.87951807,1.578313253,1,0.590751216,0.184975687,0.224273097,0.6477
3214,2014,CADDO,HYDRO-EAKLY,08I011,2408,53422.19804,42954.9085,0.06,0.15,0.24,,0,0,0.652973636,0.161250766,0.185775598,0.5866
3215,2014,CADDO,LOOKEBA SICKLES,08I012,858,53471.13095,27426.965,0.04,0.2,0.31,131,2.5,0,0.691455696,0.139240506,0.169303797,0.7137
3216,2014,CADDO,ANADARKO,08I020,8874,46370.81156,17778.2174,0.15,0.28,0.35,60.28125,1.1875,0,0.6715396,0.176535899,0.1519245,0.8175
3217,2014,CADDO,CARNEGIE,08I033,2669,44738.90411,31196.3469,0.1,0.25,0.32,185.6666667,1.333333333,0,0.683789954,0.183219178,0.132990868,0.8061
3218,2014,CADDO,BOONE-APACHE,08I056,3155,54684.42478,45122.7188,0.13,0.13,0.28,147.75,1,0,0.731075697,0.117031873,0.15189243,0.7614
3219,2014,CADDO,CYRIL,08I064,1746,44323.44214,23209.8792,0.08,0.11,0.24,172,2.5,0,0.788888889,0.095726496,0.115384615,0.6279
3220,2014,CADDO,GRACEMONT,08I086,846,53966.06061,37147.8504,0.05,0.17,0.23,,0,0,0.721088435,0.129251701,0.149659864,0.7516
3221,2014,CADDO,CEMENT,08I160,1637,50108.75796,38022.862,0.12,0.1,0.3,244,1,0,0.700091996,0.20975161,0.090156394,0.7172
3222,2014,CADDO,HINTON,08I161,5075,56767.38609,54278.2735,0.05,0.21,0.36,,0,0,0.712055507,0.199190517,0.088753975,0.4704
3223,2014,CADDO,FORT COBB-BROXTON,08I167,1972,51575.72414,25729.6232,0.09,0.24,0.34,169.5,1,0,0.665882353,0.140392157,0.19372549,0.7198
3224,2014,CADDO,BINGER-ONEY,08I168,2226,50066.19552,56264.4195,0.08,0.16,0.17,133,1,0,0.720496894,0.167701863,0.111801242,0.7519
3225,2014,CANADIAN,RIVERSIDE,09C029,1426,81484.00771,213398.4307,0.03,0.14,0.26,,0,0,0.611404435,0.160506864,0.228088701,0.645
