RecordNumber,Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ELA_ExamCount,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCount,Math_GrowthIndex,Math_LetterGrade,OverallExamCount,OverallGrowthIndex,OverallLetterGrade
2134,2014,16,I008,180,16I008180,Lawton,"Sheridan Road ES",20,45,"F    ",20,80,"B    ",40,63,"D    "
343,2015,16,I008,180,16I008180,LAWTON,"SHERIDAN ROAD ES",21,67,"D    ",21,71,"C    ",42,69,"D    "
2135,2014,16,I008,183,16I008183,Lawton,"Sullivan Village ES",12,75,"C    ",13,85,"B    ",25,80,"B    "
344,2015,16,I008,183,16I008183,LAWTON,"SULLIVAN VILLAGE ES",17,65,"D    ",17,29,"F    ",34,47,"F    "
3929,2016,16,I008,183,16I008183,LAWTON,"SULLIVAN VILLAGE ES",28,61,"D    ",28,61,"D    ",56,61,"D    "
2136,2014,16,I008,185,16I008185,Lawton,"Swinney ES",10,60,"D    ",11,45,"F    ",21,52,"F    "
345,2015,16,I008,185,16I008185,LAWTON,"SWINNEY ES",13,38,"F    ",13,46,"F    ",26,42,"F    "
2144,2014,16,I008,540,16I008540,Lawton,"Tomlinson MS",133,58,"F    ",133,56,"F    ",266,57,"F    "
353,2015,16,I008,540,16I008540,LAWTON,"TOMLINSON MS",141,57,"F    ",140,59,"F    ",281,58,"F    "
3936,2016,16,I008,540,16I008540,LAWTON,"TOMLINSON MS",150,45,"F    ",150,58,"F    ",300,51,"F    "
2137,2014,16,I008,195,16I008195,Lawton,"Washington ES",NULL,NULL,NULL,NULL,NULL,NULL,18,33,"F    "
346,2015,16,I008,195,16I008195,LAWTON,"WASHINGTON ES",,,,,,,18,67,"D    "
3930,2016,16,I008,195,16I008195,LAWTON,"WASHINGTON ES",13,54,"F    ",13,38,"F    ",26,46,"F    "
2139,2014,16,I008,205,16I008205,Lawton,"Whittier ES",14,71,"C    ",14,71,"C    ",28,71,"C    "
348,2015,16,I008,205,16I008205,LAWTON,"WHITTIER ES",16,63,"D    ",16,63,"D    ",32,63,"D    "
3932,2016,16,I008,205,16I008205,LAWTON,"WHITTIER ES",22,55,"F    ",22,23,"F    ",44,39,"F    "
2140,2014,16,I008,215,16I008215,Lawton,"Wilson ES",12,33,"F    ",13,46,"F    ",25,40,"F    "
349,2015,16,I008,215,16I008215,LAWTON,"WILSON ES",16,25,"F    ",16,44,"F    ",32,34,"F    "
2141,2014,16,I008,220,16I008220,Lawton,"Woodland Hills ES",28,43,"F    ",28,57,"F    ",56,50,"F    "
350,2015,16,I008,220,16I008220,LAWTON,"WOODLAND HILLS ES",25,64,"D    ",25,60,"D    ",50,62,"D    "
