Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetteGrade
2014,Major,Aline-Cleo,"Aline-Cleo HS",44I004,44I004705,73,C
2015,MAJOR,ALINE-CLEO,"ALINE-CLEO HS",44I004,44I004705,63,D
2016,MAJOR,ALINE-CLEO,"ALINE-CLEO HS",44I004,44I004705,70,C-
2013,Pontotoc,Allen,"Allen ES",62I001,62I001105,67,D+
2014,Pontotoc,Allen,"Allen ES",62I001,62I001105,68,D+
2015,PONTOTOC,ALLEN,"ALLEN ES",62I001,62I001105,62,D-
2016,PONTOTOC,ALLEN,"ALLEN ES",62I001,62I001105,62,D-
2013,Pontotoc,Allen,"Allen HS",62I001,62I001705,95,A
2014,Pontotoc,Allen,"Allen HS",62I001,62I001705,96,A
2015,PONTOTOC,ALLEN,"ALLEN HS",62I001,62I001705,91,A-
2016,PONTOTOC,ALLEN,"ALLEN HS",62I001,62I001705,76,C
2013,Creek,Allen-Bowden,"Allen-Bowden Public School",19C035,19C035105,68,D+
2014,Creek,Allen-Bowden,"Allen-Bowden Public School",19C035,19C035105,62,D-
2015,CREEK,ALLEN-BOWDEN,"ALLEN-BOWDEN PUBLIC SCHOOL",19C035,19C035105,61,D-
2016,CREEK,ALLEN-BOWDEN,"ALLEN-BOWDEN PUBLIC SCHOOL",19C035,19C035105,68,D+
2013,Jackson,Altus,"Altus HS",33I018,33I018705,82,B-
2014,Jackson,Altus,"Altus HS",33I018,33I018705,74,C
2015,JACKSON,ALTUS,"ALTUS HS",33I018,33I018705,77,C+
2016,JACKSON,ALTUS,"ALTUS HS",33I018,33I018705,70,C-
2013,Jackson,Altus,"Altus Intermediate School",33I018,33I018145,76,C
2014,Jackson,Altus,"Altus Intermediate School",33I018,33I018145,77,C+
2015,JACKSON,ALTUS,"ALTUS INTERMEDIATE SCHOOL",33I018,33I018145,74,C
2016,JACKSON,ALTUS,"ALTUS INTERMEDIATE SCHOOL",33I018,33I018145,78,C+
2013,Jackson,Altus,"Altus JHS",33I018,33I018625,87,B+
2014,Jackson,Altus,"Altus JHS",33I018,33I018625,86,B
2015,JACKSON,ALTUS,"ALTUS JHS",33I018,33I018625,74,C
2016,JACKSON,ALTUS,"ALTUS JHS",33I018,33I018625,76,C
2013,Jackson,Altus,"Rivers ES",33I018,33I018105,104,A+
2014,Jackson,Altus,"Rivers ES",33I018,33I018105,103,A+
2015,JACKSON,ALTUS,"RIVERS ES",33I018,33I018105,108,A+
2016,JACKSON,ALTUS,"RIVERS ES",33I018,33I018105,106,A+
2013,Jackson,Altus,"Roosevelt ES",33I018,33I018120,82,B-
2014,Jackson,Altus,"Roosevelt ES",33I018,33I018120,76,C
2015,JACKSON,ALTUS,"ROOSEVELT ES",33I018,33I018120,81,B-
2016,JACKSON,ALTUS,"ROOSEVELT ES",33I018,33I018120,71,C-
2013,Jackson,Altus,"Sunset ES",33I018,33I018125,92,A-
2014,Jackson,Altus,"Sunset ES",33I018,33I018125,87,B+
2015,JACKSON,ALTUS,"SUNSET ES",33I018,33I018125,94,A
2016,JACKSON,ALTUS,"SUNSET ES",33I018,33I018125,80,B-
2013,Jackson,Altus,"Washington ES",33I018,33I018130,70,C-
2014,Jackson,Altus,"Washington ES",33I018,33I018130,72,C-
2015,JACKSON,ALTUS,"WASHINGTON ES",33I018,33I018130,82,B-
2016,JACKSON,ALTUS,"WASHINGTON ES",33I018,33I018130,69,D+
2013,Jackson,Altus,"Will Rogers ES",33I018,33I018135,77,C+
2014,Jackson,Altus,"Will Rogers ES",33I018,33I018135,89,B+
2015,JACKSON,ALTUS,"WILL ROGERS ES",33I018,33I018135,88,B+
2016,JACKSON,ALTUS,"WILL ROGERS ES",33I018,33I018135,85,B
2013,Woods,Alva,"Alva HS",76I001,76I001705,91,A-
2014,Woods,Alva,"Alva HS",76I001,76I001705,84,B
2015,WOODS,ALVA,"ALVA HS",76I001,76I001705,90,A-
2016,WOODS,ALVA,"ALVA HS",76I001,76I001705,75,C
2013,Woods,Alva,"Alva MS",76I001,76I001505,68,D+
2014,Woods,Alva,"Alva MS",76I001,76I001505,79,C+
2015,WOODS,ALVA,"ALVA MS",76I001,76I001505,75,C
2016,WOODS,ALVA,"ALVA MS",76I001,76I001505,75,C
2013,Woods,Alva,"Lincoln ES",76I001,76I001105,71,C-
2014,Woods,Alva,"Lincoln ES",76I001,76I001105,80,B-
2015,WOODS,ALVA,"LINCOLN ES",76I001,76I001105,79,C+
2016,WOODS,ALVA,"LINCOLN ES",76I001,76I001105,77,C+
2013,Woods,Alva,"Longfellow ES",76I001,76I001110,85,B
2014,Woods,Alva,"Longfellow ES",76I001,76I001110,91,A-
2015,WOODS,ALVA,"LONGFELLOW ES",76I001,76I001110,92,A-
2016,WOODS,ALVA,"LONGFELLOW ES",76I001,76I001110,93,A
2013,Woods,Alva,"Washington ES",76I001,76I001115,85,B
2014,Woods,Alva,"Washington ES",76I001,76I001115,91,A-
2015,WOODS,ALVA,"WASHINGTON ES",76I001,76I001115,92,A-
2016,WOODS,ALVA,"WASHINGTON ES",76I001,76I001115,93,A
2013,Grady,Amber-Pocasset,"Amber-Pocasset ES",26I128,26I128105,94,A
2014,Grady,Amber-Pocasset,"Amber-Pocasset ES",26I128,26I128105,90,A-
2015,GRADY,AMBER-POCASSET,"AMBER-POCASSET ES",26I128,26I128105,87,B+
2016,GRADY,AMBER-POCASSET,"AMBER-POCASSET ES",26I128,26I128105,94,A
2013,Grady,Amber-Pocasset,"Amber-Pocasset HS",26I128,26I128715,96,A
2014,Grady,Amber-Pocasset,"Amber-Pocasset HS",26I128,26I128715,98,A+
2015,GRADY,AMBER-POCASSET,"AMBER-POCASSET HS",26I128,26I128715,101,A+
2016,GRADY,AMBER-POCASSET,"AMBER-POCASSET HS",26I128,26I128715,98,A+
2013,Grady,Amber-Pocasset,"Amber-Pocasset JHS",26I128,26I128615,88,B+
2014,Grady,Amber-Pocasset,"Amber-Pocasset JHS",26I128,26I128615,90,A-
2015,GRADY,AMBER-POCASSET,"AMBER-POCASSET JHS",26I128,26I128615,86,B
2016,GRADY,AMBER-POCASSET,"AMBER-POCASSET JHS",26I128,26I128615,82,B-
2013,Caddo,Anadarko,"Anadarko East ES",08I020,08I020105,63,D
2014,Caddo,Anadarko,"Anadarko East ES",8I020,08I020105,65,D
2015,CADDO,ANADARKO,"ANADARKO EAST ES",08I020,08I020105,68,D+
2016,CADDO,ANADARKO,"ANADARKO EAST ES",08I020,08I020105,62,D-
2013,Caddo,Anadarko,"Anadarko HS",08I020,08I020705,78,C+
2014,Caddo,Anadarko,"Anadarko HS",8I020,08I020705,82,B-
2015,CADDO,ANADARKO,"ANADARKO HS",08I020,08I020705,82,B-
2016,CADDO,ANADARKO,"ANADARKO HS",08I020,08I020705,78,C+
2013,Caddo,Anadarko,"Anadarko MS",08I020,08I020510,63,D
2014,Caddo,Anadarko,"Anadarko MS",8I020,08I020510,75,C
2015,CADDO,ANADARKO,"ANADARKO MS",08I020,08I020510,72,C-
2016,CADDO,ANADARKO,"ANADARKO MS",08I020,08I020510,76,C
2013,Caddo,Anadarko,"Mission ES",08I020,08I020120,59,F
2014,Caddo,Anadarko,"Mission ES",8I020,08I020120,65,D
2015,CADDO,ANADARKO,"MISSION ES",08I020,08I020120,68,D+
2016,CADDO,ANADARKO,"MISSION ES",08I020,08I020120,62,D-
2013,Caddo,Anadarko,"Sunset ES",08I020,08I020115,63,D
2014,Caddo,Anadarko,"Sunset ES",8I020,08I020115,65,D
2015,CADDO,ANADARKO,"SUNSET ES",08I020,08I020115,68,D+
2016,CADDO,ANADARKO,"SUNSET ES",08I020,08I020115,62,D-
2013,Osage,Anderson,"Anderson Public School",57C052,57C052105,83,B
2014,Osage,Anderson,"Anderson Public School",57C052,57C052105,73,C
2015,OSAGE,ANDERSON,"ANDERSON PUBLIC SCHOOL",57C052,57C052105,81,B-
2016,OSAGE,ANDERSON,"ANDERSON PUBLIC SCHOOL",57C052,57C052105,72,C-
2013,Pushmataha,Antlers,"Antlers HS",64I013,64I013705,89,B+
2014,Pushmataha,Antlers,"Antlers HS",64I013,64I013705,85,B
2015,PUSHMATAHA,ANTLERS,"ANTLERS HS",64I013,64I013705,74,C
2016,PUSHMATAHA,ANTLERS,"ANTLERS HS",64I013,64I013705,77,C+
2013,Pushmataha,Antlers,"Brantly ES",64I013,64I013105,78,C+
2014,Pushmataha,Antlers,"Brantly ES",64I013,64I013105,74,C
2015,PUSHMATAHA,ANTLERS,"BRANTLY ES",64I013,64I013105,84,B
2016,PUSHMATAHA,ANTLERS,"BRANTLY ES",64I013,64I013105,82,B-
2013,Pushmataha,Antlers,"Obuch MS",64I013,64I013510,83,B
2014,Pushmataha,Antlers,"Obuch MS",64I013,64I013510,80,B-
2015,PUSHMATAHA,ANTLERS,"OBUCH MS",64I013,64I013510,62,D-
2016,PUSHMATAHA,ANTLERS,"OBUCH MS",64I013,64I013510,62,D-
2013,Custer,Arapaho-Butler,"Arapaho-Butler ES",20I005,20I005105,96,A
2014,Custer,Arapaho-Butler,"Arapaho-Butler ES",20I005,20I005105,90,A-
2015,CUSTER,ARAPAHO-BUTLER,"ARAPAHO-BUTLER ES",20I005,20I005105,86,B
2016,CUSTER,ARAPAHO-BUTLER,"ARAPAHO-BUTLER ES",20I005,20I005105,89,B+
