Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
3693,2015,ADAIR,PEAVINE,01C019,1324,47879.41176,25749.7312,0.01459854,0.258308157,0.292035398,0.161870504,0.673860911,0.164268585,,0,0,0.9023
3694,2015,ADAIR,MARYETTA,01C022,1160,47462.90727,5111.4317,0.03,0.268798617,0.462184874,0.186556927,0.673525377,0.139917695,689,4,0,0.775
3695,2015,ADAIR,ROCKY MOUNTAIN,01C024,562,48796.33028,7218.8154,0.036144578,0.176156584,0.255813953,0.105691057,0.723577236,0.170731707,,0,0,0.8508
3696,2015,ADAIR,ZION,01C028,916,50859.00783,9702.2207,0.049261084,0.234716157,0.161290323,0.206171108,0.670406732,0.12342216,,0,0,0.8052
3697,2015,ADAIR,DAHLONEGAH,01C029,750,35680.53097,11352.1733,0.068627451,0.282814614,0.23943662,0.06175772,0.629453682,0.308788599,,0,0,0.8898
3698,2015,ADAIR,GREASY,01C032,885,41251.3245,17811.2292,0.045454545,0.246327684,0.173333333,0.103806228,0.629757785,0.266435986,,0,0,0.8969
3699,2015,ADAIR,WATTS,01I004,1663,45111.82796,27711.47,0.104776579,0.230537115,0.362573099,0.068505338,0.709074733,0.222419929,341,1,0,0.8065
3700,2015,ADAIR,WESTVILLE,01I011,6154,45205.69827,21682.7537,0.102085143,0.242479947,0.294890511,0.131009921,0.621724752,0.247265327,191.3333333,2.5,0,0.7683
3701,2015,ADAIR,STILWELL,01I025,7436,36671.82628,21373.0464,0.088465145,0.329677862,0.397336293,0.115284974,0.669689119,0.215025907,84.9375,2.875,0,0.8043
3702,2015,ADAIR,CAVE SPRINGS,01I030,762,53657.75194,11024.3304,0.102990033,0.237583893,0.196969697,0.169625247,0.639053254,0.191321499,61.66666667,3.666666667,0,0.9135
3703,2015,ALFALFA,BURLINGTON,02I001,585,116078.8288,274206.1315,0.038910506,0.136206897,0.236363636,0.262254902,0.649509804,0.088235294,,0,0,0.3784
