RecordNumber,County,District,School,lat,lon
419,CREEK,DRUMRIGHT,DRUMRIGHT HS,35.9844158,-96.6107169
420,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,35.5773954,-98.9597621
421,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,35.5773954,-98.9597621
422,CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS ES,35.7443745,-98.7478638
423,CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS-FAY-CUSTER UNIFIED JHS,35.7443745,-98.7478638
424,CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,THOMAS-FAY-CUSTER UNIFIED HS,35.7443745,-98.7478638
425,CUSTER,WEATHERFORD,WEATHERFORD EAST ES,35.5304986,-98.6991735
426,CUSTER,WEATHERFORD,WEATHERFORD WEST ES,35.5331992,-98.7170537
427,CUSTER,WEATHERFORD,BURCHAM ES,35.5414343,-98.6864482
428,CUSTER,WEATHERFORD,WEATHERFORD MS,35.530168,-98.7083956
429,CUSTER,WEATHERFORD,WEATHERFORD HS,35.5415831,-98.6917219
430,CUSTER,CLINTON,NANCE ES,35.5066234,-98.9801747
431,CUSTER,CLINTON,SOUTHWEST ES,35.5066234,-98.9801747
432,CUSTER,CLINTON,WASHINGTON ES,35.5066234,-98.9801747
433,CUSTER,CLINTON,CLINTON MS,35.5066234,-98.9801747
434,CUSTER,CLINTON,CLINTON HS,35.5066234,-98.9801747
435,DELAWARE,CLEORA,CLEORA PUBLIC SCHOOL,36.5904394,-94.9653484
436,DELAWARE,LEACH,LEACH PUBLIC SCHOOL,36.2002323,-94.9403295
437,DELAWARE,KENWOOD,KENWOOD PUBLIC SCHOOL,36.3129605,-95.1544737
438,DELAWARE,MOSELEY,MOSELEY PUBLIC SCHOOL,36.1892045,-94.6289777
439,DELAWARE,JAY,JAY ES,36.4195525,-94.7992102
440,DELAWARE,JAY,JAY UPPER ES,36.4195525,-94.7992102
441,DELAWARE,JAY,JAY MS,36.4195525,-94.7992102
442,DELAWARE,JAY,JAY HS,36.4195525,-94.7992102
443,DELAWARE,GROVE,GROVE UPPER ES,36.585382,-94.75476
444,DELAWARE,GROVE,GROVE LOWER ES,36.585382,-94.75476
445,DELAWARE,GROVE,GROVE MS,36.585382,-94.75476
446,DELAWARE,GROVE,GROVE HS,36.585382,-94.75476
447,DELAWARE,KANSAS,KANSAS ES,36.2080703,-94.7994644
448,DELAWARE,KANSAS,KANSAS MS,36.2088339,-94.8036312
449,DELAWARE,KANSAS,KANSAS HS,36.2126058,-94.8043341
450,DELAWARE,COLCORD,COLCORD ES,36.2634962,-94.6915356
451,DELAWARE,COLCORD,COLCORD HS,36.2634962,-94.6915356
452,DELAWARE,OAKS-MISSION,OAKS-MISSION ES,36.1658303,-94.8552965
453,DELAWARE,OAKS-MISSION,OAKS-MISSION HS,36.1658303,-94.8552965
454,DEWEY,VICI,VICI ES,36.1510026,-99.2982201
455,DEWEY,VICI,VICI HS,36.1510026,-99.2982201
456,DEWEY,SEILING,SEILING ES,36.147821,-98.923767
457,DEWEY,SEILING,SEILING JR-SR HS (JR),36.147821,-98.923767
458,DEWEY,SEILING,SEILING JR-SR HS (SR),36.147821,-98.923767
459,DEWEY,TALOGA,TALOGA ES,36.0392123,-98.9641616
460,DEWEY,TALOGA,TALOGA HS,36.0392123,-98.9641616
461,ELLIS,FARGO,FARGO ES,36.374384,-99.6230902
462,ELLIS,FARGO,FARGO HS,36.374384,-99.6230902
463,ELLIS,ARNETT,ARNETT ES,36.1345032,-99.7714791
464,ELLIS,ARNETT,ARNETT HS,36.1345032,-99.7714791
465,ELLIS,SHATTUCK,SHATTUCK ES,36.2716323,-99.8818027
466,ELLIS,SHATTUCK,SHATTUCK HS,36.2716323,-99.8818027
467,GARFIELD,WAUKOMIS,WAUKOMIS ES,36.2804207,-97.8941917
468,GARFIELD,WAUKOMIS,WAUKOMIS HS,36.2804207,-97.8941917
469,GARFIELD,KREMLIN-HILLSDALE,KREMLIN-HILLSDALE ES,36.544461,-97.8298499
470,GARFIELD,KREMLIN-HILLSDALE,KREMLIN-HILLSDALE HS,36.5434724,-97.8298601
471,GARFIELD,CHISHOLM,CHISHOLM ES,36.4370853,-97.8670438
472,GARFIELD,CHISHOLM,CHISHOLM MS,36.4641062,-97.9294052
473,GARFIELD,CHISHOLM,CHISHOLM HS,36.4643812,-97.9282145
474,GARFIELD,GARBER,GARBER ES,36.4396049,-97.5822319
475,GARFIELD,GARBER,GARBER HS,36.4396049,-97.5822319
476,GARFIELD,PIONEER-PLEASANT VALE,PIONEER-PLEASANT VALE ES,36.4198522,-97.7913402
477,GARFIELD,PIONEER-PLEASANT VALE,PIONEER-PLEASANT VALE JHS,36.27597,-97.784626
478,GARFIELD,PIONEER-PLEASANT VALE,PIONEER-PLEASANT VALE HS,36.27597,-97.784626
479,GARFIELD,ENID,ADAMS ES,36.3983072,-97.8461874
480,GARFIELD,ENID,CARVER EARLY CHILDHOOD CTR,36.3883529,-97.8709271
481,GARFIELD,ENID,COOLIDGE ES,36.4071183,-97.8556806
482,GARFIELD,ENID,EISENHOWER ES,36.346373,-97.8976689
483,GARFIELD,ENID,GARFIELD ES,36.4005492,-97.8689289
484,GARFIELD,ENID,GLENWOOD ES,36.404447,-97.927091
485,GARFIELD,ENID,HAYES ES,36.3809677,-97.9043946
486,GARFIELD,ENID,HOOVER ES,36.396209,-97.9129022
487,GARFIELD,ENID,MCKINLEY ES,36.396199,-97.899675
488,GARFIELD,ENID,MONROE ES,36.4191999,-97.883149
489,GARFIELD,ENID,PRAIRIE VIEW ES,36.4212465,-97.9367782
490,GARFIELD,ENID,TAFT ES,36.3849906,-97.8938041
491,GARFIELD,ENID,EMERSON MS,36.400296,-97.887198
492,GARFIELD,ENID,LONGFELLOW MS,36.3973998,-97.8644225
493,GARFIELD,ENID,DEWITT WALLER MS,36.3989811,-97.9113099
494,GARFIELD,ENID,ENID HS,36.3880534,-97.8858604
495,GARFIELD,DRUMMOND,DRUMMOND ES,36.300378,-98.0362836
496,GARFIELD,DRUMMOND,DRUMMOND HS,36.300378,-98.0362836
497,GARFIELD,COVINGTON-DOUGLAS,COVINGTON-DOUGLAS ES,36.3058658,-97.5822294
498,GARFIELD,COVINGTON-DOUGLAS,COVINGTON-DOUGLAS HS,36.3058658,-97.5822294
499,GARVIN,WHITEBEAD,WHITEBEAD PUBLIC SCHOOL,34.8191459,-97.3006519
500,GARVIN,STRATFORD,STRATFORD ES,34.7957803,-96.961815
501,GARVIN,STRATFORD,STRATFORD MS,34.7957803,-96.961815
502,GARVIN,STRATFORD,STRATFORD HS,34.7957803,-96.961815
503,GARVIN,PAOLI,PAOLI ES,34.8262411,-97.2596481
504,GARVIN,PAOLI,PAOLI HS,34.8262411,-97.2596481
505,GARVIN,MAYSVILLE,MAYSVILLE ES,34.8216994,-97.4084067
506,GARVIN,MAYSVILLE,MAYSVILLE HS,34.8216994,-97.4084067
507,GARVIN,LINDSAY,LINDSAY ES,34.8337204,-97.6123481
508,GARVIN,LINDSAY,LINDSAY MS,34.8337243,-97.6138367
509,GARVIN,LINDSAY,LINDSAY HS,34.8347438,-97.612353
510,GARVIN,PAULS VALLEY,JEFFERSON EARLY LRNING CTR,34.7399319,-97.2203068
511,GARVIN,PAULS VALLEY,JACKSON ES,34.7399319,-97.2203068
512,GARVIN,PAULS VALLEY,LEE ES,34.7399319,-97.2203068
513,GARVIN,PAULS VALLEY,PAULS VALLEY JHS,34.7399319,-97.2203068
514,GARVIN,PAULS VALLEY,PAULS VALLEY HS,34.7399319,-97.2203068
515,GARVIN,WYNNEWOOD,CENTRAL ES,34.6414558,-97.1675573
516,GARVIN,WYNNEWOOD,WYNNEWOOD MS,34.6424826,-97.1625186
517,GARVIN,WYNNEWOOD,WYNNEWOOD HS,34.6441464,-97.1631171
518,GARVIN,ELMORE CITY-PERNELL,ELMORE CITY-PERNELL ES,34.6234636,-97.3937402
519,GARVIN,ELMORE CITY-PERNELL,ELMORE CITY JHS,34.6234636,-97.3937402
520,GARVIN,ELMORE CITY-PERNELL,SENIOR HS,34.6234636,-97.3937402
521,GRADY,FRIEND,FRIEND PUBLIC SCHOOL,35.0585688,-97.8804756
522,GRADY,MIDDLEBERG,MIDDLEBERG PUBLIC SCHOOL,35.1065534,-97.7361762
523,GRADY,PIONEER,PIONEER PUBLIC SCHOOL,34.9859146,-98.0209645
524,GRADY,CHICKASHA,GRAND AVENUE ES,35.029563,-97.936709
525,GRADY,CHICKASHA,LINCOLN ES,35.044978,-97.9328074
526,GRADY,CHICKASHA,BILL WALLACE EC CTR,35.0273073,-97.9525606
527,GRADY,CHICKASHA,CHICKASHA MS,35.0403386,-97.9448572
528,GRADY,CHICKASHA,CHICKASHA HS,35.0514174,-97.9577539
529,GRADY,MINCO,MINCO ES,35.312699,-97.9455225
530,GRADY,MINCO,MINCO MS,35.312699,-97.9455225
531,GRADY,MINCO,MINCO HS,35.312699,-97.9455225
532,GRADY,NINNEKAH,NINNEKAH ES,34.9477574,-97.9213424
533,GRADY,NINNEKAH,NINNEKAH MS,34.9477574,-97.9213424
534,GRADY,NINNEKAH,SENIOR HS,34.9477574,-97.9213424
535,GRADY,ALEX,ALEX ES,34.9173405,-97.7786091
536,GRADY,ALEX,ALEX HS,34.9173405,-97.7786091
537,GRADY,RUSH SPRINGS,RUSH SPRINGS ES,34.7829569,-97.9571318
538,GRADY,RUSH SPRINGS,RUSH SPRINGS MS,34.7829569,-97.9571318
539,GRADY,RUSH SPRINGS,RUSH SPRINGS HS,34.7829569,-97.9571318
540,GRADY,BRIDGE CREEK,BRIDGE CREEK EARLY CHILDHOOD,35.2357317,-97.7227234
541,GRADY,BRIDGE CREEK,BRIDGE CREEK EARLY CHILDHOOD,35.2357317,-97.7227234
542,GRADY,BRIDGE CREEK,BRIDGE CREEK IES,35.2357317,-97.7227234
543,GRADY,BRIDGE CREEK,BRIDGE CREEK MS,35.2357317,-97.7227234
544,GRADY,BRIDGE CREEK,BRIDGE CREEK HS,35.2357317,-97.7227234
545,GRADY,TUTTLE,TUTTLE ES,35.2913421,-97.8068107
546,GRADY,TUTTLE,TUTTLE INTERMEDIATE ES,35.2913421,-97.8068107
547,GRADY,TUTTLE,TUTTLE EARLY CHILDHOOD CENTER,35.2913421,-97.8068107
548,GRADY,TUTTLE,TUTTLE EARLY CHILDHOOD CENTER,35.2913421,-97.8068107
549,GRADY,TUTTLE,TUTTLE MS,35.2913421,-97.8068107
550,GRADY,TUTTLE,TUTTLE HS,35.2913421,-97.8068107
551,GRADY,VERDEN,VERDEN ES,35.0859902,-98.0884105
552,GRADY,VERDEN,VERDEN HS,35.0859902,-98.0884105
553,GRADY,AMBER-POCASSET,AMBER-POCASSET ES,35.160454,-97.875309
554,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,35.160454,-97.875309
555,GRADY,AMBER-POCASSET,AMBER-POCASSET HS,35.160454,-97.875309
556,GRANT,MEDFORD,MEDFORD ES,36.8095968,-97.7352023
557,GRANT,MEDFORD,MEDFORD HS,36.8095968,-97.7352023
558,GRANT,POND CREEK-HUNTER,POND CREEK-HUNTER ES,36.668704,-97.797116
559,GRANT,POND CREEK-HUNTER,POND CREEK-HUNTER MS,36.668704,-97.797116
560,GRANT,POND CREEK-HUNTER,POND CREEK-HUNTER HS,36.668704,-97.797116
561,GRANT,DEER CREEK-LAMONT,DEER CREEK-LAMONT ES,36.8096355,-97.5195683
562,GRANT,DEER CREEK-LAMONT,DEER CREEK-LAMONT HS,36.690913,-97.5566223
563,GREER,MANGUM,EDISON ES,34.8821775,-99.5077001
564,GREER,MANGUM,MANGUM MS,34.878068,-99.5065162
565,GREER,MANGUM,MANGUM HS,34.8769204,-99.5066266
566,GREER,GRANITE,GRANITE ES,34.961517,-99.3817382
567,GREER,GRANITE,GRANITE HS,34.961517,-99.3817382
568,HARMON,HOLLIS,HOLLIS ES,34.6825316,-99.9200918
569,HARMON,HOLLIS,HOLLIS MS,34.6825316,-99.9200918
570,HARMON,HOLLIS,HOLLIS HS,34.6825316,-99.9200918
571,HARPER,LAVERNE,LAVERNE ES,36.7099011,-99.8953087
572,HARPER,LAVERNE,LAVERNE HS,36.7099011,-99.8953087
573,HARPER,BUFFALO,BUFFALO ES,36.8337492,-99.6288876
574,HARPER,BUFFALO,BUFFALO HS,36.8337492,-99.6288876
575,HASKELL,WHITEFIELD,WHITEFIELD PUBLIC SCHOOL,35.2536635,-95.2367569
576,HASKELL,KINTA,KINTA ES,35.1177748,-95.2382916
577,HASKELL,KINTA,KINTA HS,35.1177748,-95.2382916
578,HASKELL,STIGLER,STIGLER ES,35.2585696,-95.1271027
579,HASKELL,STIGLER,STIGLER MS,35.2585696,-95.1271027
580,HASKELL,STIGLER,STIGLER HS,35.2585696,-95.1271027
581,HASKELL,MCCURTAIN,MCCURTAIN ES,35.1498196,-94.9707891
582,HASKELL,MCCURTAIN,MCCURTAIN HS,35.1498196,-94.9707891
583,HASKELL,KEOTA,KEOTA ES,35.2571176,-94.9212658
584,HASKELL,KEOTA,KEOTA HS,35.2571176,-94.9212658
585,HUGHES,MOSS,MOSS ES,35.0705541,-96.2312703
586,HUGHES,MOSS,MOSS HS,35.0705541,-96.2312703
587,HUGHES,WETUMKA,WETUMKA ES,35.2339582,-96.2370554
588,HUGHES,WETUMKA,WETUMKA HS,35.2339582,-96.2370554
589,HUGHES,HOLDENVILLE,ETHEL REED ES,35.0849933,-96.3832238
590,HUGHES,HOLDENVILLE,THOMAS IES,35.0849933,-96.3832238
591,HUGHES,HOLDENVILLE,HOLDENVILLE HS,35.0849933,-96.3832238
592,HUGHES,CALVIN,CALVIN ES,34.9661553,-96.2461868
593,HUGHES,CALVIN,CALVIN HS,34.9661553,-96.2461868
594,HUGHES,STUART,STUART ES,34.8974667,-96.0992184
595,HUGHES,STUART,STUART HS,34.8974667,-96.0992184
596,JACKSON,NAVAJO,NAVAJO ES,34.706004,-99.2291982
597,JACKSON,NAVAJO,NAVAJO JHS,34.706004,-99.2291982
598,JACKSON,NAVAJO,NAVAJO HS,34.706004,-99.2291982
599,JACKSON,DUKE,DUKE ES,34.6637369,-99.5687388
600,JACKSON,DUKE,DUKE HS,34.6637369,-99.5687388
601,JACKSON,ALTUS,RIVERS ES,34.6614324,-99.2982427
602,JACKSON,ALTUS,ALTUS INTERMEDIATE SCHOOL,34.6496164,-99.3248166
603,JACKSON,ALTUS,ALTUS EARLY CHILDHOOD CENTER,34.6484254,-99.3235619
604,JACKSON,ALTUS,ALTUS PRIMARY SCHOOL,34.626045,-99.3217867
605,JACKSON,ALTUS,ALTUS ES,34.658247,-99.3406493
606,JACKSON,ALTUS,ALTUS JHS,34.6236851,-99.3162254
607,JACKSON,ALTUS,ALTUS HS,34.6410858,-99.319369
608,JACKSON,OLUSTEE-ELDORADO,OLUSTEE-ELDORADO ES,34.5193245,-99.4339343
609,JACKSON,OLUSTEE-ELDORADO,OLUSTEE-ELDORADO HS,34.5193245,-99.4339343
610,JACKSON,BLAIR,BLAIR ES,34.7807695,-99.3347137
611,JACKSON,BLAIR,BLAIR HS,34.7807695,-99.3347137
612,JEFFERSON,TERRAL,TERRAL PUBLIC SCHOOL,33.8964468,-97.9373029
613,JEFFERSON,RYAN,RYAN ES,34.0247863,-97.9505432
614,JEFFERSON,RYAN,RYAN HS,34.0247863,-97.9505432
615,JEFFERSON,RINGLING,RINGLING ES,34.1796028,-97.5944944
616,JEFFERSON,RINGLING,RINGLING JHS,34.1796028,-97.5944944
617,JEFFERSON,RINGLING,RINGLING HS,34.1796028,-97.5944944
618,JEFFERSON,WAURIKA,WAURIKA ES,34.1691772,-97.986249
619,JEFFERSON,WAURIKA,WAURIKA MS,34.1736966,-97.9934377
620,JEFFERSON,WAURIKA,WAURIKA HS,34.1736966,-97.9934377
621,JOHNSTON,MANNSVILLE,MANNSVILLE PUBLIC SCHOOL,34.1864788,-96.882264
622,JOHNSTON,RAVIA,RAVIA PUBLIC SCHOOL,34.2416957,-96.7526013
623,JOHNSTON,MILL CREEK,MILL CREEK ES,34.4042586,-96.8263981
624,JOHNSTON,MILL CREEK,MILL CREEK HS,34.4042586,-96.8263981
625,JOHNSTON,TISHOMINGO,TISHOMINGO ES,34.2282777,-96.6606887
626,JOHNSTON,TISHOMINGO,TISHOMINGO MS,34.2282777,-96.6606887
627,JOHNSTON,TISHOMINGO,TISHOMINGO HS,34.2282777,-96.6606887
628,JOHNSTON,MILBURN,MILBURN ES,34.2440717,-96.5481384
629,JOHNSTON,MILBURN,MILBURN HS,34.2440717,-96.5481384
630,JOHNSTON,COLEMAN,COLEMAN ES,34.2729984,-96.4258804
631,JOHNSTON,COLEMAN,COLEMAN HS,34.2729984,-96.4258804
632,JOHNSTON,WAPANUCKA,WAPANUCKA ES,34.3711691,-96.4245116
633,JOHNSTON,WAPANUCKA,WAPANUCKA HS,34.3711691,-96.4245116
634,KAY,PECKHAM,PECKHAM PUBLIC SCHOOL,36.884223,-97.176762
635,KAY,KILDARE,KILDARE PUBLIC SCHOOL,36.806827,-97.049969
636,KAY,BLACKWELL,BLACKWELL ES,36.795411,-97.30858
637,KAY,BLACKWELL,BLACKWELL MS,36.7934395,-97.2846182
638,KAY,BLACKWELL,BLACKWELL HS,36.7892246,-97.2816451
639,KAY,PONCA CITY,WASHINGTON PRE KG CENTER,36.7223279,-97.0751638
640,KAY,PONCA CITY,WASHINGTON PRE KG CENTER,36.7223279,-97.0751638
641,KAY,PONCA CITY,LIBERTY ES,36.7185325,-97.0891869
642,KAY,PONCA CITY,LINCOLN ES,36.7045967,-97.1024624
643,KAY,PONCA CITY,UNION ES,36.734582,-97.083412
644,KAY,PONCA CITY,ROOSEVELT ES,36.7100869,-97.0736265
645,KAY,PONCA CITY,E. M. TROUT ES,36.739838,-97.05556
646,KAY,PONCA CITY,WOODLANDS ES,36.7210279,-97.057804
647,KAY,PONCA CITY,GARFIELD ES,36.6982086,-97.0749254
648,KAY,PONCA CITY,PONCA CITY WEST MS,36.7052182,-97.1001935
649,KAY,PONCA CITY,PONCA CITY EAST MS,36.7030072,-97.077103
650,KAY,PONCA CITY,PONCA CITY HS,36.7155077,-97.0769046
651,KAY,TONKAWA,TONKAWA ES,36.6838746,-97.3015547
652,KAY,TONKAWA,TONKAWA MS,36.6817815,-97.3048952
653,KAY,TONKAWA,TONKAWA HS,36.6817815,-97.3048952
654,KAY,NEWKIRK,NEWKIRK ES,36.8822549,-97.0533717
655,KAY,NEWKIRK,NEWKIRK MS,36.8822549,-97.0533717
656,KAY,NEWKIRK,NEWKIRK HS,36.8822549,-97.0533717
657,KINGFISHER,DOVER,DOVER ES,35.9819066,-97.911441
658,KINGFISHER,DOVER,DOVER ES,35.9819066,-97.911441
659,KINGFISHER,DOVER,DOVER HS,35.9819066,-97.911441
660,KINGFISHER,LOMEGA,LOMEGA ES,35.9736295,-98.1162769
661,KINGFISHER,LOMEGA,LOMEGA HS,35.9077762,-98.1925497
662,KINGFISHER,KINGFISHER,GILMOUR ES,35.8448442,-97.9387342
663,KINGFISHER,KINGFISHER,HERITAGE ELEMENTARY,35.8552812,-97.9389759
664,KINGFISHER,KINGFISHER,KINGFISHER MS,35.8552462,-97.940559
665,KINGFISHER,KINGFISHER,KINGFISHER HS,35.8446279,-97.9424314
666,KINGFISHER,HENNESSEY,HENNESSEY LOWER ES,36.1096972,-97.890931
667,KINGFISHER,HENNESSEY,HENNESSEY UPPER ES,36.1095931,-97.8909374
668,KINGFISHER,HENNESSEY,HENNESSEY HS,36.1095288,-97.8909736
669,KINGFISHER,CASHION,CASHION ES,35.8011126,-97.676384
670,KINGFISHER,CASHION,CASHION MS,35.8011126,-97.676384
671,KINGFISHER,CASHION,CASHION MS,35.8011126,-97.676384
672,KINGFISHER,CASHION,CASHION HS,35.8011126,-97.676384
673,KINGFISHER,OKARCHE,OKARCHE ES,35.7254278,-97.974926
674,KINGFISHER,OKARCHE,OKARCHE JHS,35.7254278,-97.974926
675,KINGFISHER,OKARCHE,OKARCHE HS,35.7254278,-97.974926
676,KIOWA,HOBART,HOBART ES,35.0260649,-99.0934081
677,KIOWA,HOBART,HOBART MS,35.0260649,-99.0934081
678,KIOWA,HOBART,HOBART HS,35.0260649,-99.0934081
679,KIOWA,LONE WOLF,LONE WOLF ES,34.9895013,-99.2495245
680,KIOWA,LONE WOLF,LONE WOLF HS,34.9893519,-99.2491794
681,KIOWA,MOUNTAIN VIEW-GOTEBO,MOUNTAIN VIEW-GOTEBO ES,35.0973092,-98.7435065
682,KIOWA,MOUNTAIN VIEW-GOTEBO,MOUNTAIN VIEW-GOTEBO HS,35.0973092,-98.7435065
683,KIOWA,SNYDER,SNYDER ES,34.6590725,-98.9528932
684,KIOWA,SNYDER,JOHN D MOELLER ES,34.6590725,-98.9528932
685,KIOWA,SNYDER,SNYDER HS,34.6590725,-98.9528932
686,LATIMER,WILBURTON,WILBURTON ES,34.9258061,-95.3240566
687,LATIMER,WILBURTON,WILBURTON MS,34.9258061,-95.3240566
688,LATIMER,WILBURTON,WILBURTON HS,34.9258061,-95.3240566
689,LATIMER,RED OAK,RED OAK ES,34.952216,-95.0788533
690,LATIMER,RED OAK,RED OAK HS,34.952216,-95.0788533
691,LATIMER,BUFFALO VALLEY,BUFFALO VALLEY ES,34.7312876,-95.2064961
692,LATIMER,BUFFALO VALLEY,BUFFALO VALLEY HS,34.7312876,-95.2064961
693,LATIMER,PANOLA,PANOLA ES,34.9319341,-95.2132354
694,LATIMER,PANOLA,PANOLA HS,34.9319341,-95.2132354
695,LE FLORE,SHADY POINT,SHADY POINT PUBLIC SCHOOL,35.1302305,-94.6597363
696,LE FLORE,MONROE,MONROE PUBLIC SCHOOL,34.9923748,-94.5152763
697,LE FLORE,HODGEN,HODGEN PUBLIC SCHOOL,34.839506,-94.633318
698,LE FLORE,FANSHAWE,FANSHAWE PUBLIC SCHOOL,34.9514479,-94.9100687
699,LE FLORE,SPIRO,SPIRO ES,35.2401216,-94.6288053
700,LE FLORE,SPIRO,SPIRO MS,35.2401216,-94.6288053
701,LE FLORE,SPIRO,SPIRO HS,35.2401216,-94.6288053
702,LE FLORE,HEAVENER,HEAVENER ES,34.8902621,-94.6017288
703,LE FLORE,HEAVENER,HEAVENER HS,34.8902621,-94.6017288
704,LE FLORE,POCOLA,POCOLA ES,35.259801,-94.4655867
705,LE FLORE,POCOLA,POCOLA MS,35.2603102,-94.4751845
706,LE FLORE,POCOLA,POCOLA HS,35.2603102,-94.4751845
707,LE FLORE,LE FLORE,LEFLORE ES,34.8972577,-94.9830986
708,LE FLORE,LE FLORE,LEFLORE HS,34.8972577,-94.9830986
709,LE FLORE,CAMERON,CAMERON ES,35.1356149,-94.5387201
710,LE FLORE,CAMERON,CAMERON HS,35.1356149,-94.5387201
711,LE FLORE,PANAMA,PANAMA ES,35.176167,-94.6740429
712,LE FLORE,PANAMA,PANAMA MS,35.176167,-94.6740429
713,LE FLORE,PANAMA,PANAMA HS,35.176167,-94.6740429
714,LE FLORE,BOKOSHE,BOKOSHE ES,35.1900971,-94.791894
715,LE FLORE,BOKOSHE,BOKOSHE JHS,35.1900971,-94.791894
716,LE FLORE,BOKOSHE,BOKOSHE HS,35.1900971,-94.791894
717,LE FLORE,POTEAU,POTEAU UPPER ES,35.0628494,-94.6246674
718,LE FLORE,POTEAU,POTEAU PRIMARY ES,35.0628494,-94.6246674
719,LE FLORE,POTEAU,PANSY KIDD MS,35.0628494,-94.6246674
720,LE FLORE,POTEAU,POTEAU HS,35.0628494,-94.6246674
721,LE FLORE,WISTER,WISTER ES,34.9704981,-94.7241533
722,LE FLORE,WISTER,WISTER HS,34.9704981,-94.7241533
723,LE FLORE,TALIHINA,TALIHINA ES,34.7513109,-95.0472963
724,LE FLORE,TALIHINA,TALIHINA JHS,34.7513109,-95.0472963
725,LE FLORE,TALIHINA,TALIHINA HS,34.7513109,-95.0472963
726,LE FLORE,WHITESBORO,WHITESBORO ES,34.6926014,-94.885232
727,LE FLORE,WHITESBORO,WHITESBORO HS,34.6926014,-94.885232
728,LE FLORE,HOWE,HOWE ES,34.950129,-94.63825
729,LE FLORE,HOWE,HOWE HS,34.950129,-94.63825
730,LE FLORE,ARKOMA,SINGLETON ES,35.3534458,-94.4355878
731,LE FLORE,ARKOMA,ARKOMA JHS,35.3534458,-94.4355878
732,LE FLORE,ARKOMA,ARKOMA HS,35.3534458,-94.4355878
733,LINCOLN,WHITE ROCK,WHITE ROCK PUBLIC SCHOOL,35.4492212,-97.053798
734,LINCOLN,CHANDLER,EAST SIDE ES,35.7015183,-96.9016026
735,LINCOLN,CHANDLER,PARK ROAD ES,35.7015183,-96.9016026
736,LINCOLN,CHANDLER,CHANDLER JHS,35.7015183,-96.9016026
737,LINCOLN,CHANDLER,CHANDLER HS,35.7015183,-96.9016026
738,LINCOLN,DAVENPORT,DAVENPORT ES,35.7084643,-96.7665636
739,LINCOLN,DAVENPORT,DAVENPORT HS,35.7084643,-96.7665636
740,LINCOLN,WELLSTON,WELLSTON ES,35.6942561,-97.0654129
741,LINCOLN,WELLSTON,WELLSTON ES,35.6942561,-97.0654129
742,LINCOLN,WELLSTON,WELLSTON MS,35.6942561,-97.0654129
743,LINCOLN,WELLSTON,WELLSTON HS,35.6942561,-97.0654129
744,LINCOLN,STROUD,PARKVIEW ES,35.7539889,-96.6558788
745,LINCOLN,STROUD,STROUD MS,35.7539889,-96.6558788
746,LINCOLN,STROUD,STROUD HS,35.7539889,-96.6558788
747,LINCOLN,MEEKER,MEEKER ES,35.4992118,-96.9018387
748,LINCOLN,MEEKER,MEEKER MS,35.5032238,-96.8925283
749,LINCOLN,MEEKER,MEEKER HS,35.5032238,-96.8925283
750,LINCOLN,PRAGUE,PRAGUE ES,35.4899514,-96.6962149
751,LINCOLN,PRAGUE,PRAGUE MS,35.4899514,-96.6962149
752,LINCOLN,PRAGUE,PRAGUE HS,35.4899514,-96.6962149
753,LINCOLN,CARNEY,CARNEY ES,35.8096665,-97.0164034
754,LINCOLN,CARNEY,CARNEY HS,35.8096665,-97.0164034
755,LINCOLN,AGRA,AGRA ES,35.8950858,-96.8731613
756,LINCOLN,AGRA,AGRA JHS,35.8950858,-96.8731613
757,LINCOLN,AGRA,AGRA HS,35.8950858,-96.8731613
758,LINCOLN,AGRA,AGRA HS,35.8950858,-96.8731613
759,LOGAN,GUTHRIE,FOGARTY ES,35.8868697,-97.4237287
760,LOGAN,GUTHRIE,COTTERAL ES,35.8794021,-97.4493917
761,LOGAN,GUTHRIE,GUTHRIE UPPER ES,35.8925648,-97.4174619
762,LOGAN,GUTHRIE,CENTRAL ES,35.8798712,-97.42187
763,LOGAN,GUTHRIE,GUTHRIE JHS,35.877668,-97.4170967
764,LOGAN,GUTHRIE,GUTHRIE HS,35.892627,-97.424019
765,LOGAN,CRESCENT,CRESCENT ES,35.9531688,-97.5957765
766,LOGAN,CRESCENT,CRESCENT MS,35.9531688,-97.5957765
767,LOGAN,CRESCENT,CRESCENT HS,35.9531688,-97.5957765
768,LOGAN,MULHALL-ORLANDO,MULHALL-ORLANDO ES,36.0640599,-97.4061618
769,LOGAN,MULHALL-ORLANDO,MULHALL-ORLANDO HS,36.148402,-97.377956
770,LOGAN,COYLE,COYLE ES,35.956784,-97.2340793
771,LOGAN,COYLE,COYLE HS,35.956784,-97.2340793
772,LOVE,GREENVILLE,GREENVILLE PUBLIC SCHOOL,34.0062207,-97.1255695
773,LOVE,THACKERVILLE,THACKERVILLE ES,33.7919053,-97.1438572
774,LOVE,THACKERVILLE,THACKERVILLE MS,33.7919053,-97.1438572
775,LOVE,THACKERVILLE,THACKERVILLE HS,33.7919053,-97.1438572
