08I056105,APACHE ELEMENTARY,43141.6795
08I056505,APACHE MIDDLE SCHOOL,48393.849
08I056705,APACHE HIGH SCHOOL,41425.5717
08I064105,CYRIL ELEMENTARY,44301.3871
08I064610,JR HIGH SCHOOL,44937.8089
08I064715,CYRIL HIGH SCHOOL,39882.1056
08I086105,GRACEMONT ELEMENTARY,41857.6667
08I086705,GRACEMONT HIGH SCHOOL,43123.8857
08I160105,CEMENT ELEMENTARY,45309.1494
08I160715,CEMENT HIGH SCHOOL,42268.1212
08I161105,HINTON ELEMENTARY,41731.2084
08I161610,HINTON MIDDLE SCHOOL,45246.1508
08I161705,HINTON HIGH SCHOOL,48167.9294
08I167105,FORT COBB-BROXTON LOWER ELEMENTARY,46669.6102
08I167505,FORT COBB-BROXTON MIDDLE SCHOOL,46564.3478
08I167705,FORT COBB-BROXTON HIGH SCHOOL,49033.0813
08I168105,BINGER-ONEY ELEMENTARY,42866.5776
08I168705,BINGER-ONEY HIGH SCHOOL,42519.4721
09C029105,RIVERSIDE ELEMENTARY,43281.75
09C031105,BANNER ELEMENTARY,45634.2007
09C070105,DARLINGTON ELEMENTARY,44732.9229
09C162105,MAPLE ELEMENTARY,50002.2872
09I022105,PIEDMONT ELEMENTARY,43283.3971
09I022110,PIEDMONT PRIMARY ELEMENTARY,44369.8182
09I022115,STONE RIDGE ELEMENTARY,41898.3077
09I022120,NORTHWOOD ELEMENTARY,42668.4167
09I022125,PIEDMONT INTERMEDIATE ELEMENTARY,42473.2496
09I022510,PIEDMONT MIDDLE SCHOOL,42081.6214
09I022705,PIEDMONT HIGH SCHOOL,42904.3785
09I027105,CENTRAL ELEMENTARY,45697.5056
09I027110,MYERS ELEMENTARY,42589.3343
09I027115,SHEDECK ELEMENTARY,44486.1461
09I027120,RANCHWOOD ELEMENTARY,46073.05
09I027125,SURREY HILLS ELEMENTARY,44776.5809
09I027130,PARKLAND ELEMENTARY,47094.442
09I027135,SKYVIEW ELEMENTARY,46043.7516
09I027140,INDEPENDENCE ELEMENTARY,45683.7138
09I027145,LAKEVIEW ELEMENTARY,46763.8501
09I027520,YUKON MIDDLE SCHOOL,46893.1141
09I027705,YUKON HIGH SCHOOL,47549.9314
09I034110,HILLCREST ELEMENTARY,42455.3684
09I034120,LINCOLN ELEMENTARY,42704.3979
09I034130,WEBSTER ELEMENTARY,44847.8314
