RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
11846,2014,58I026105,58I026,"AFTON ELEMENTARY",41986.00,31507.00,0.10,0.27,0.50,0.820,0.12,0.69,0.18
13609,2015,58I026105,58I026,"AFTON ELEMENTARY",44156.64,31023.36,0.09,0.26,0.40,0.909,0.12,0.71,0.17
15368,2016,58I026105,58I026,"AFTON ELEMENTARY",47367.38,33812.00,0.07,0.26,0.34,0.850,0.13,0.70,0.17
11847,2014,58I026705,58I026,"AFTON HIGH SCHOOL",41986.00,31507.00,0.10,0.27,0.50,0.670,0.12,0.69,0.18
13610,2015,58I026705,58I026,"AFTON HIGH SCHOOL",44156.64,31023.36,0.09,0.26,0.40,0.671,0.12,0.71,0.17
15369,2016,58I026705,58I026,"AFTON HIGH SCHOOL",47367.38,33812.00,0.07,0.26,0.34,0.714,0.13,0.70,0.17
11368,2014,41I134105,41I134,"AGRA ELEMENTARY",65865.00,14454.00,0.07,0.17,0.21,0.910,0.12,0.70,0.18
13137,2015,41I134105,41I134,"AGRA ELEMENTARY",71860.53,16479.11,0.07,0.18,0.26,0.893,0.12,0.71,0.16
14897,2016,41I134105,41I134,"AGRA ELEMENTARY",75720.85,22471.39,0.06,0.17,0.21,0.895,0.10,0.73,0.16
11369,2014,41I134705,41I134,"AGRA HIGH SCHOOL",65865.00,14454.00,0.07,0.17,0.21,0.710,0.12,0.70,0.18
13138,2015,41I134705,41I134,"AGRA HIGH SCHOOL",71860.53,16479.11,0.07,0.18,0.26,0.757,0.12,0.71,0.16
14898,2016,41I134705,41I134,"AGRA HIGH SCHOOL",75720.85,22471.39,0.06,0.17,0.21,0.755,0.10,0.73,0.16
11978,2014,64C002105,64C002,"ALBION ELEMENTARY",40553.00,32907.00,0.07,0.20,0.31,0.950,0.06,0.76,0.18
13740,2015,64C002105,64C002,"ALBION ELEMENTARY",47053.00,33705.94,0.06,0.12,0.33,0.897,0.10,0.80,0.11
15497,2016,64C002105,64C002,"ALBION ELEMENTARY",46870.44,35853.34,0.10,0.13,0.31,0.945,0.11,0.78,0.12
10903,2014,14I029501,14I029,"ALCOTT MIDDLE SCHOOL",69395.00,55637.00,0.06,0.18,0.32,0.480,0.44,0.49,0.07
12672,2015,14I029501,14I029,"ALCOTT MIDDLE SCHOOL",70620.91,56850.76,0.06,0.18,0.32,0.539,0.44,0.50,0.07
14436,2016,14I029501,14I029,"ALCOTT MIDDLE SCHOOL",71495.25,60163.65,0.05,0.18,0.32,0.496,0.42,0.51,0.07
11154,2014,26I056105,26I056,"ALEX ELEMENTARY",55048.00,78468.00,0.04,0.20,0.36,0.790,0.11,0.71,0.18
12923,2015,26I056105,26I056,"ALEX ELEMENTARY",56637.56,190339.27,0.04,0.19,0.21,0.803,0.11,0.70,0.18
14682,2016,26I056105,26I056,"ALEX ELEMENTARY",61468.19,281649.03,0.04,0.15,0.14,0.806,0.14,0.72,0.13
11155,2014,26I056715,26I056,"ALEX HIGH SCHOOL",55048.00,78468.00,0.04,0.20,0.36,0.690,0.11,0.71,0.18
12924,2015,26I056715,26I056,"ALEX HIGH SCHOOL",56637.56,190339.27,0.04,0.19,0.21,0.733,0.11,0.70,0.18
