RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2010,01C001105,01C001,SKELLY  ELEMENTARY,80,8.428,40919.7912,0.1127,8.9273,1,0.189,0.2,0,,,,,,
,2010,01C019105,01C019,PEAVINE  ELEMENTARY,190,10.5,38794.9524,0.1905,17.5714,1,1,2.5,1,,,,,,
,2010,01C022105,01C022,MARYETTA ELEMENTARY,654,45.132,44220.3093,0.1329,11.7524,2,0.975,4.725,2,,,,,,
,2010,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,181,12.105,42625.6919,0.0354,13.0044,1.251,0,3.355,0.286,,,,,,
,2010,01C028105,01C028,ZION ELEMENTARY,340,24.5,40427.4694,0.1939,11.4898,2,0.5,5,1,,,,,,
,2010,01C029105,01C029,DAHLONEGAH ELEMENTARY,132,13.427,38024.5773,0.223,9.5884,1,0,1.556,0,,,,,,
,2010,01C032105,01C032,GREASY ELEMENTARY,67,11.25,35905.3333,0.3556,13.6667,0,0,0.6,0,,,,,,
,2010,01C033105,01C033,BELL ELEMENTARY,97,9.118,38911.7131,0.2169,9.9441,0,0,2.827,0,,,,,,
,2010,01I004105,01I004,WATTS ELEMENTARY,261,15.785,40025.2772,0,11.0317,1.19,0.5,0.5,1,,,,,,
,2010,01I004705,01I004,WATTS HIGH SCHOOL,130,9.11,40271.5697,0.2195,9.4026,1,0.5,0.5,1,8,5,6,5,2,1
,2010,01I011105,01I011,WESTVILLE ELEMENTARY,631,35.743,41932.5742,0.1585,13.4168,3,2,0.334,2,,,,,,
,2010,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,276,17.706,41928.1599,0.1197,11.7008,1.5,1.5,0.333,1,,,,,,
,2010,01I011705,01I011,WESTVILLE HIGH SCHOOL,238,20.049,42811.013,0.1888,12.1631,0.5,0.5,0.333,1,11,11,12,10,12,2
,2010,01I025105,01I025,STILWELL ELEMENTARY,500,32.629,43967.5442,0.2452,15.7397,2.333,1,3,2,,,,,,
,2010,01I025505,01I025,STILWELL MIDDLE SCHOOL,290,18.286,45269.3864,0.3359,16.0154,3,1,1.429,1,,,,,,
,2010,01I025705,01I025,STILWELL HIGH SCHOOL,592,35.714,43500.84,0.252,12.9959,6,3,1,1.857,9,12,9,10.5,9.5,3
,2010,01I030105,01I030,CAVE SPRINGS ELEMENTARY,82,8.001,42322.7097,0.0536,9.2155,0.5,0.393,1.917,1.071,,,,,,
,2010,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,108,7.022,41115.2093,0.1424,14.8714,0.5,0.523,2.428,0.929,11,9,7,10,3,3
,2010,02I001105,02I001,BURLINGTON ELEMENTARY,103,10.146,44502.8583,0.5983,16.6994,0.25,0.286,0.214,0.429,,,,,,
,2010,02I001705,02I001,BURLINGTON HIGH SCHOOL,50,6.178,42795.8886,0.4972,12.4472,0.25,0.285,0.501,0.428,5,4,4,3,6,2
,2010,02I046105,02I046,CHEROKEE ELEMENTARY,181,10.8,46089.2593,0.291,17.3761,1.5,0.428,1,0,,,,,,
,2010,02I046705,02I046,CHEROKEE HIGH SCHOOL,80,6.499,42617.7874,0.4505,19.2971,0.5,0.428,1.443,1,6,4,5,4.5,2,0
,2010,02I093105,02I093,TIMBERLAKE ELEMENTARY,171,12,42261.25,0.0714,16.7498,1,0,0.5,0.572,,,,,,
,2010,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,63,8.286,41476.9491,0.2517,15.4866,0,0.286,0.5,0.714,5,4,5,7,1,1
,2010,03C021105,03C021,HARMONY ELEMENTARY,238,16.115,43561.5265,0.3413,13.5244,1,0.167,3.065,0,,,,,,
,2010,03C022105,03C022,LANE ELEMENTARY,219,12.391,42150.3511,0.3228,12.5898,2,0.05,0.663,0,,,,,,
,2010,03C023105,03C023,FARRIS ELEMENTARY,88,6.817,37157.5473,0.3458,9.0408,0.5,0,0,0,,,,,,
,2010,03I007105,03I007,STRINGTOWN ELEMENTARY,130,8.325,43031.4715,0.4074,14.3957,0.463,0.233,0.286,0.5,,,,,,
,2010,03I007705,03I007,STRINGTOWN HIGH SCHOOL,244,4.689,45919.1725,0.3045,12.4525,0.131,0.267,0.286,0.5,6.5,5,4.5,6,1.5,2.5
,2010,03I015120,03I015,ATOKA ELEMENTARY,424,28.5,40221.0877,0.1404,8.6491,2,0.5,3,1.5,,,,,,
,2010,03I015505,03I015,McCALL MIDDLE SCHOOL,155,14.5,43795.8621,0.2414,14.8614,1,0.5,1,1,,,,,,
,2010,03I015705,03I015,ATOKA HIGH SCHOOL,381,26,43086.5385,0.25,13.0003,2,1,1,2,8,6,7,4,14,4
,2010,03I019105,03I019,TUSHKA ELEMENTARY,271,18.168,40148.668,0,9.8257,1,0.333,1.173,1,,,,,,
,2010,03I019705,03I019,TUSHKA HIGH SCHOOL,171,10.833,43021.3237,0.2155,12.5396,1,0.5,0.327,1,6,4,7,6,2,2
,2010,03I026105,03I026,CANEY ELEMENTARY,166,13.322,42717.5349,0.425,9.7008,0,0.25,0.25,1,,,,,,
,2010,03I026705,03I026,CANEY HIGH SCHOOL,85,5.989,44963.266,0.7222,12.8399,0,0.25,0.25,0.826,6,6,3,4,1,2
,2010,04I022105,04I022,BEAVER ELEMENTARY,280,19.141,41710.4122,0.1717,15.3593,0.429,0.5,0.643,1,,,,,,
,2010,04I022705,04I022,BEAVER HIGH SCHOOL,105,13.716,46158.7927,0.1458,18.4464,0.571,0.5,1.072,0.857,8,5,8,7,6,4
,2010,04I075105,04I075,BALKO ELEMENTARY,101,9.625,43307.013,0.0779,8.9221,0,0.25,0.25,0.5,,,,,,
,2010,04I075705,04I075,BALKO HIGH SCHOOL,34,5.875,45079.3191,0.1277,8.3617,0,0.25,0.25,0.5,4,2,4,4,5,1
