RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
4226,2016,ATOKA,ATOKA,03I015,4415,44213.76,31489.97,0.12,0.32,0.48,62.3,2.0,0.00,0.14,0.66,0.20,0.726
3709,2015,ATOKA,ATOKA,03I015,4153,43916.23,30627.22,0.14,0.33,0.55,0.1,0.7,0.19,67.21,1.43,0.00,0.754
3711,2015,ATOKA,CANEY,03I026,1577,49269.36,38675.97,0.07,0.21,0.30,0.1,0.7,0.14,246.00,1.00,0.00,0.809
3193,2014,ATOKA,CANEY,03I026,1588,49051.92,37285.80,0.06,0.13,0.23,128.5,1.0,0.00,0.75,0.11,0.15,0.681
4228,2016,ATOKA,CANEY,03I026,1461,44737.16,40665.74,0.09,0.21,0.31,126.5,1.0,0.00,0.14,0.70,0.16,0.830
4223,2016,ATOKA,HARMONY,03C021,1727,60017.23,36411.50,0.05,0.17,0.21,0.0,0.0,0.00,0.21,0.59,0.20,0.855
3706,2015,ATOKA,HARMONY,03C021,1794,57844.11,35151.48,0.07,0.17,0.17,0.2,0.6,0.19,0.00,0.00,0.00,0.791
3188,2014,ATOKA,HARMONY,03C021,1750,48656.09,26861.84,0.18,0.20,0.32,117.0,1.0,0.00,0.57,0.22,0.21,0.769
3189,2014,ATOKA,LANE,03C022,2781,53350.00,22114.46,0.06,0.22,0.26,0.0,0.0,0.00,0.75,0.17,0.08,0.758
4224,2016,ATOKA,LANE,03C022,2696,59699.86,27823.23,0.09,0.17,0.33,0.0,0.0,0.00,0.08,0.73,0.19,0.747
3707,2015,ATOKA,LANE,03C022,2676,56708.77,23806.34,0.08,0.21,0.39,0.1,0.7,0.20,283.00,1.00,0.00,0.707
3708,2015,ATOKA,STRINGTOWN,03I007,831,53420.22,24734.75,0.09,0.11,0.23,0.2,0.6,0.20,126.00,1.50,0.00,0.655
3190,2014,ATOKA,STRINGTOWN,03I007,747,56850.29,26219.97,0.08,0.10,0.04,233.0,1.0,0.00,0.55,0.18,0.27,0.700
4225,2016,ATOKA,STRINGTOWN,03I007,823,52268.03,25881.49,0.07,0.10,0.32,84.7,1.7,0.00,0.17,0.62,0.21,0.803
4227,2016,ATOKA,TUSHKA,03I019,1367,51927.92,32244.86,0.09,0.17,0.35,215.0,1.0,0.00,0.20,0.68,0.12,0.612
3710,2015,ATOKA,TUSHKA,03I019,1484,48701.64,30340.56,0.13,0.17,0.34,0.1,0.7,0.13,227.50,1.00,0.00,0.640
3192,2014,ATOKA,TUSHKA,03I019,1641,53268.37,30724.90,0.12,0.15,0.35,0.0,0.0,0.00,0.74,0.12,0.13,0.659
3195,2014,BEAVER,BALKO,04I075,881,78447.21,241181.83,0.00,0.04,0.21,0.0,0.0,0.00,0.68,0.09,0.24,0.349
4230,2016,BEAVER,BALKO,04I075,908,74504.75,434601.17,0.00,0.04,0.18,0.0,0.0,0.00,0.25,0.63,0.11,0.414
