RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2014,01C019105,01C019,PEAVINE  ELEMENTARY,146,11.833,40776.9796,0.1268,14.7526,1,0.194,0.3,1.4,,,,,,
,2014,01C022105,01C022,MARYETTA ELEMENTARY,717,49.884,44068.2183,0.1822,13.6906,1.9,0.1,4.54,3.27,,,,,,
,2014,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,187,12,42119.5833,0.0833,16.25,1,0,2.529,0.714,,,,,,
,2014,01C028105,01C028,ZION ELEMENTARY,317,23.25,41803.0538,0.1183,12.4409,2,0,3.25,1.4,,,,,,
,2014,01C029105,01C029,DAHLONEGAH ELEMENTARY,135,12.7,40271.8898,0.2126,8.5984,1,0.2,1.9,0.2,,,,,,
,2014,01C032105,01C032,GREASY ELEMENTARY,102,7.814,39428.9736,0.4959,22.8596,0.272,0,0.375,1.75,,,,,,
,2014,01I004105,01I004,WATTS ELEMENTARY,262,14.001,43059.71,0.1837,12.4392,1,0.5,0.5,0,,,,,,
,2014,01I004705,01I004,WATTS HIGH SCHOOL,113,8.142,42024.564,0.3158,9.5084,0.714,0.5,0.357,1,6,6,6,2.5,3,4
,2014,01I011105,01I011,WESTVILLE ELEMENTARY,641,36.5,41282.6027,0.2192,10.612,3.672,0.167,1.333,2,,,,,,
,2014,01I011205,01I011,WESTVILLE SKELLY ELEMENTARY,29,3.556,42787.964,0.25,11.25,0,0,0,1,,,,,,
,2014,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,157,10.654,43195.795,0.3358,12.0712,0,0.833,2.761,1,,,,,,
,2014,01I011705,01I011,WESTVILLE HIGH SCHOOL,334,25.043,41082.8575,0.165,10.3764,1,1.143,1.334,1,11,10,11,10.5,8,2
,2014,01I025105,01I025,STILWELL ELEMENTARY,451,30.388,42871.9231,0.1784,14.3794,2.286,0.5,1.5,1,,,,,,
,2014,01I025505,01I025,STILWELL MIDDLE SCHOOL,301,20.242,42604.9797,0.309,15.6395,3.714,1,0.5,1,,,,,,
,2014,01I025705,01I025,STILWELL HIGH SCHOOL,656,37.433,42734.8062,0.1568,11.5756,5,2,1.071,2.425,10,12,9,6.5,8,3
,2014,01I030105,01I030,CAVE SPRINGS ELEMENTARY,86,5.18,44052.7027,0.2838,18.9517,0,0,1.17,0,,,,,,
,2014,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,97,6.21,44738.4863,0.1981,10.3926,0,0,1.84,0.3,7.5,5,4,3,0,0
,2014,02I001105,02I001,BURLINGTON ELEMENTARY,114,10.354,47100.2511,0.286,12.1519,0,0.5,0.787,0.428,,,,,,
,2014,02I001705,02I001,BURLINGTON HIGH SCHOOL,36,5.713,46981.0957,0.3501,18.3529,0.509,0.5,0.643,0.429,4,4,4,3,4,1
,2014,02I046105,02I046,CHEROKEE ELEMENTARY,196,14.105,42610.7054,0.2432,15.8486,1,0,0.903,1.5,,,,,,
,2014,02I046510,02I046,CHEROKEE MIDDLE SCHOOL,66,4.252,43648.6359,0.067,11.555,1,0,1.046,0.571,,,,,,
,2014,02I046705,02I046,CHEROKEE HIGH SCHOOL,106,8.337,46911.1191,0.3598,10.8833,0.999,0,1.478,1,6,4,6,3,3,0
,2014,02I093105,02I093,TIMBERLAKE ELEMENTARY,197,16.303,41410.2312,0.1651,18.3832,1.077,0.143,0,0.019,,,,,,
,2014,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,77,9.035,45455.0083,0.364,16.065,0.923,0.857,1,1,5,5,8,7,1,0
,2014,03C021105,03C021,HARMONY ELEMENTARY,234,13.874,44575.8253,0.2836,14.4325,0.5,0.066,3.86,0.2,,,,,,
,2014,03C022105,03C022,LANE ELEMENTARY,297,17.143,39905.3258,0.0667,9.1584,2,0.143,0.857,2,,,,,,
,2014,03I007105,03I007,STRINGTOWN ELEMENTARY,135,9.165,42067.2122,0.5817,11.7434,0.834,0.166,0.166,0.666,,,,,,
,2014,03I007705,03I007,STRINGTOWN HIGH SCHOOL,98,5.262,47213.0369,0.5886,11.2052,0.165,0.333,0.166,0,3,0,1.5,2.5,0,0
,2014,03I015120,03I015,ATOKA ELEMENTARY,397,28,41557.25,0.2321,9.8214,3,0,0.95,1.5,,,,,,
,2014,03I015505,03I015,McCALL MIDDLE SCHOOL,181,12.267,43109.8068,0.3617,12.5642,2,0,0.5,1,,,,,,
,2014,03I015705,03I015,ATOKA HIGH SCHOOL,264,19.96,42408.5671,0.2473,11.48,2,1,1,2,10,7,8,10,13,4
,2014,03I019105,03I019,TUSHKA ELEMENTARY,277,15.981,42745.1974,0.0626,12.4457,1,0.333,2.8,1,,,,,,
,2014,03I019705,03I019,TUSHKA HIGH SCHOOL,169,10.966,44541.5831,0.3163,15.6889,1,0.333,0.366,1,7,4,6,6,1,3
,2014,03I026105,03I026,CANEY ELEMENTARY,176,12.285,39986.0806,0.2558,8.07,0.5,0.286,0.286,0.4,,,,,,
,2014,03I026705,03I026,CANEY HIGH SCHOOL,81,5.978,44867.5142,0.4505,11.2297,0.5,0.428,0.308,0.828,5,3,3,4,0,0
,2014,04I022105,04I022,BEAVER ELEMENTARY,278,13.358,42504.2671,0.2192,15.8668,1.285,0.5,0.5,1,,,,,,
,2014,04I022705,04I022,BEAVER HIGH SCHOOL,93,10.142,47050.9761,0.1127,23.1976,0,0.5,0.5,0.929,7,5,6,5.5,2,3
,2014,04I075105,04I075,BALKO ELEMENTARY,109,10.25,43604.2927,0.1341,11.3902,0.5,0.125,0.25,0.5,,,,,,
,2014,04I075705,04I075,BALKO HIGH SCHOOL,43,5.25,47663.0476,0.2381,8.7381,0.5,0.125,0.25,0.5,4,4,4,3,1,0
,2014,04I123105,04I123,FORGAN ELEMENTARY,112,10.533,40609.418,0.1085,9.2049,0.5,0.5,0.5,0.429,,,,,,
,2014,04I123705,04I123,FORGAN HIGH SCHOOL,40,6.571,42006.0874,0.3044,12.2832,0.5,0.5,0.5,0.571,4,3,4,3,6,3
,2014,04I128105,04I128,TURPIN ELEMENTARY,323,23.26,41825.6234,0.3001,12.958,1.14,0.5,1.5,1,,,,,,
,2014,04I128705,04I128,TURPIN HIGH SCHOOL,101,10.28,42177.4319,0.0992,10.8537,0.86,0.5,0.5,1,8,6,6,6,12,0
,2014,05I002105,05I002,MERRITT ELEMENTARY,589,25.75,40709.3592,0.1311,10.432,2,0.25,2.75,0.5,,,,,,
,2014,05I002705,05I002,MERRITT HIGH SCHOOL,151,10.875,44350.1609,0.1264,14.2759,1,0.75,0.5,1,5,6,8,3,3,2
,2014,05I006105,05I006,FAIRVIEW ELEMENTARY,413,20.739,40061.2373,0.1929,5.8886,3,1,0,1,,,,,,
,2014,05I006110,05I006,PIONEER ELEMENTARY,410,17.286,41366.3658,0.1736,10.5131,1,1,0.978,1.143,,,,,,
,2014,05I006115,05I006,GRANDVIEW 5TH/6TH GRADE CTR,311,18.858,44003.2877,0.1894,16.7197,2,1,1,1,,,,,,
,2014,05I006120,05I006,NORTHEAST ELEMENTARY,386,19.938,41770.6891,0.1,10.0636,2,1,1,1,,,,,,
,2014,05I006610,05I006,8TH & 9TH GRADE CTR,492,27.141,42942.1171,0.0737,11.3958,4.211,2,3.288,4,,,,,,
,2014,05I006705,05I006,ELK CITY HIGH SCHOOL,384,24.129,45220.523,0.3693,14.2183,2.48,1.614,2.838,3.457,8.5,9,11,7,16,2
,2014,05I031105,05I031,SAYRE ELEMENTARY,431,22.276,42788.4719,0.2245,13.9714,1.816,0.763,0,1,,,,,,
,2014,05I031505,05I031,SAYRE MIDDLE SCHOOL,167,10.247,44944.2764,0.3616,16.4727,0.125,0.437,0.578,1,,,,,,
,2014,05I031705,05I031,SAYRE HIGH SCHOOL,185,12.301,44015.2833,0.357,9.348,1.25,0.563,1.224,1,8,4,8,4,4,2
,2014,05I051105,05I051,ERICK ELEMENTARY,192,13.041,40951.5375,0.1643,8.2502,1.429,0.429,0.5,0.285,,,,,,
,2014,05I051715,05I051,ERICK HIGH SCHOOL,70,7.573,50185.3955,0.4149,15.5244,0.429,0.285,0.5,0.773,9,4,3,4,7,1
,2014,06I009105,06I009,OKEENE ELEMENTARY,186,10.625,43611.4824,0.3765,17.4118,1,0.6,1.125,1,,,,,,
,2014,06I009615,06I009,OKEENE JR HIGH SCHOOL,46,3.576,40925.0559,0.2796,19.8895,0.25,0.5,0.75,0.375,,,,,,
,2014,06I009715,06I009,OKEENE SR HIGH SCHOOL,91,8.953,45392.1591,0.2792,17.3824,0.625,0.375,1.5,0.375,12,5,7,3,7,2
,2014,06I042105,06I042,WATONGA ELEMENTARY,444,23,40971.2609,0.2174,8.913,1.872,1,0.428,1,,,,,,
,2014,06I042505,06I042,WATONGA MIDDLE SCHOOL,165,10.707,44927.991,0.3335,12.4501,1.271,0.571,0.286,1.286,,,,,,
,2014,06I042705,06I042,WATONGA HIGH SCHOOL,177,10.86,40199.7238,0.178,17.9247,1,0.857,0.286,0.911,7,5,7,4,6.5,4
,2014,06I080105,06I080,GEARY ELEMENTARY,254,14.096,41467.7923,0.3214,8.4833,1,0.2,1.05,1,,,,,,
,2014,06I080615,06I080,GEARY JR HIGH SCHOOL,51,3.898,44014.8794,0.2622,10.835,0.5,0.4,0.206,0.5,,,,,,
,2014,06I080715,06I080,GEARY HIGH SCHOOL,113,10.598,43892.4325,0.4067,11.3656,0.5,0.4,0.216,0.5,5,4,6,6,10,2
,2014,06I105105,06I105,CANTON ELEMENTARY,279,20.365,43318.0457,0.3928,13.9409,1.429,1.571,1.1,1,,,,,,
,2014,06I105705,06I105,CANTON HIGH SCHOOL,108,10.574,47825.3263,0.4052,15.1927,0.715,1,0.643,1,6,4,5,5,4.5,0
,2014,07I001110,07I001,SILO ELEMENTARY,518,26.933,44148.6281,0.2915,11.7513,3,0.25,2.33,1,,,,,,
