RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2009,01C001105,01C001,SKELLY  ELEMENTARY,86,8.662,38577.2339,0.077,10.8118,1,0.111,0.2,1,,,,,,
,2009,01C019105,01C019,PEAVINE  ELEMENTARY,174,11,39040.6364,0.2727,17.3636,0.5,0.5,3,1.5,,,,,,
,2009,01C022105,01C022,MARYETTA ELEMENTARY,629,42.95,43161.9325,0.163,12.0757,1,0,4.739,3,,,,,,
,2009,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,180,10.572,45348.846,0.0135,12.4862,2,0.715,1.857,1.57,,,,,,
,2009,01C028105,01C028,ZION ELEMENTARY,344,24.059,40642.587,0.1704,12.4558,1.875,0.5,5.25,2,,,,,,
,2009,01C029105,01C029,DAHLONEGAH ELEMENTARY,135,12.5,39521.36,0.2,7.16,1,0,1.695,1,,,,,,
,2009,01C032105,01C032,GREASY ELEMENTARY,101,7.855,41111.2667,0.3637,18.041,1,0,0.967,1,,,,,,
,2009,01C033105,01C033,BELL ELEMENTARY,97,8,40464.625,0.125,9.5,0,0,4,1,,,,,,
,2009,01I004105,01I004,WATTS ELEMENTARY,280,14.329,40007.6767,0.0398,12.671,1,0,0,1,,,,,,
,2009,01I004705,01I004,WATTS HIGH SCHOOL,136,6.463,46440.817,0.2213,11.7701,1.215,1,0,1,6,7.5,5,5,2,2
,2009,01I011105,01I011,WESTVILLE ELEMENTARY,631,34.5,41861.3333,0.1836,14.2559,3,1,0,2,,,,,,
,2009,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,254,12.998,43032.4665,0.141,11.5005,1.5,0.5,0,1,,,,,,
,2009,01I011705,01I011,WESTVILLE HIGH SCHOOL,235,23.111,41064.7311,0.1947,11.684,0.5,0.833,0.333,1,13.5,8,8,9.5,7,2
,2009,01I025105,01I025,STILWELL ELEMENTARY,474,33,43285.697,0.2727,16.0303,2.333,1,2.761,2,,,,,,
,2009,01I025505,01I025,STILWELL MIDDLE SCHOOL,286,18.013,43538.9441,0.3576,14.3779,3.333,1,1.429,1,,,,,,
,2009,01I025705,01I025,STILWELL HIGH SCHOOL,643,35.346,42726.334,0.2344,12.6909,6.334,2,1,2,10,13,10.5,8.5,9,4
,2009,01I030105,01I030,CAVE SPRINGS ELEMENTARY,79,8.816,36470.0544,0.1134,9.4639,0,0.487,0.628,1.713,,,,,,
,2009,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,105,7.522,42461.0476,0.0947,13.7647,0.429,0.487,0.797,1.287,10,9,6,11,2,2
,2009,02I001105,02I001,BURLINGTON ELEMENTARY,104,10.429,44110.5571,0.6438,15.9026,0,0.5,0.644,0.5,,,,,,
,2009,02I001705,02I001,BURLINGTON HIGH SCHOOL,42,5.426,41135.2746,0.4736,9.3437,0,0.5,0.357,0.5,6,3.5,5,3,5,2
,2009,02I046105,02I046,CHEROKEE ELEMENTARY,191,12.985,41566.2688,0.2849,16.4926,1.5,0.428,1.143,0,,,,,,
,2009,02I046705,02I046,CHEROKEE HIGH SCHOOL,91,8.927,44508.3455,0.408,14.5518,0.5,0.428,0.286,1,8,4,6,6,4,0
,2009,02I093105,02I093,TIMBERLAKE ELEMENTARY,191,13,40584,0.0879,15.473,1,0,0,0,,,,,,
,2009,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,64,8.357,42716.7644,0.1453,14.6069,0,0,0,0,5,4,5,6,1,0
,2009,03C021105,03C021,HARMONY ELEMENTARY,236,16.166,42734.0715,0.3299,12.2886,1,0.167,3.167,1,,,,,,
,2009,03C022105,03C022,LANE ELEMENTARY,195,12,42781.0833,0.4167,15.25,2,0.483,1,1,,,,,,
,2009,03C023105,03C023,FARRIS ELEMENTARY,75,6.328,38564.7914,0.2099,10.4456,0,0,0,0.1,,,,,,
,2009,03I007105,03I007,STRINGTOWN ELEMENTARY,112,8.433,40407.6841,0.3441,13.0343,0.571,0.334,0,0,,,,,,
,2009,03I007705,03I007,STRINGTOWN HIGH SCHOOL,52,5.158,42042.2644,0.2662,10.5219,0.143,0.167,0,0.5,7,4,3,3,1,2
,2009,03I015120,03I015,ATOKA ELEMENTARY,421,29.166,39767.6404,0.1257,9.5312,2,0.334,3,1,,,,,,
,2009,03I015505,03I015,McCALL MIDDLE SCHOOL,148,13.665,42657.0801,0.3293,13.732,1,0.5,1,1,,,,,,
,2009,03I015705,03I015,ATOKA HIGH SCHOOL,390,25.335,42635.9976,0.296,13.7696,2,1,1,2,7,6,7,4,12,4
,2009,03I019105,03I019,TUSHKA ELEMENTARY,271,18.057,39414.6868,0,8.9387,1.167,0.333,0.279,1,,,,,,
,2009,03I019705,03I019,TUSHKA HIGH SCHOOL,184,11.092,41988.2798,0.2338,11.971,0.833,0.5,0.186,0.667,6,5,6,5,1,2
,2009,03I026105,03I026,CANEY ELEMENTARY,175,12.078,42563.0899,0.4821,12.8514,0,0,0,1,,,,,,
,2009,03I026705,03I026,CANEY HIGH SCHOOL,81,6.556,46616.9921,0.6589,17.8784,0,0,0,0.826,6,6,3,4,3,2
,2009,04I022105,04I022,BEAVER ELEMENTARY,288,18.427,41318.9884,0.1241,15.2721,0.429,0.5,0.5,1,,,,,,
,2009,04I022705,04I022,BEAVER HIGH SCHOOL,115,13.716,45219.7434,0.1667,18.2909,0.571,0.5,0.929,0.857,9,6,8,7,4,2
,2009,04I075105,04I075,BALKO ELEMENTARY,94,9.325,44502.7346,0.1475,11.1126,0,0,0,0.5,,,,,,
,2009,04I075705,04I075,BALKO HIGH SCHOOL,30,6.175,44026.8826,0.1822,8.8866,0,0,0,0.5,4,2,6,3,4,0
,2009,04I123105,04I123,FORGAN ELEMENTARY,109,11.122,40578.2233,0.2183,9.6079,0.714,0.286,0.5,0.858,,,,,,
,2009,04I123705,04I123,FORGAN HIGH SCHOOL,59,6.992,40993.9931,0.286,11.7243,0.286,0.286,0.5,0.714,7,5,6,3,5,2
,2009,04I128105,04I128,TURPIN ELEMENTARY,289,21.564,41248.0059,0.0927,11.5164,0,0.5,1.5,1,,,,,,
,2009,04I128705,04I128,TURPIN HIGH SCHOOL,123,13.009,44076.4086,0.1537,14.6754,1,0.5,0.5,1,9,7,7,6,13,4
,2009,05I002105,05I002,MERRITT ELEMENTARY,413,21.883,40671.5715,0.0979,12.4014,2.572,0.5,1.5,0.5,,,,,,
,2009,05I002705,05I002,MERRITT HIGH SCHOOL,132,12.286,45265.0171,0.2675,14.7662,0.857,0.571,0.5,1,9,8,15,6,3,2
,2009,05I006105,05I006,FAIRVIEW ELEMENTARY,352,21.5,43877.8605,0.3488,15.3023,3.428,1,0.5,1,,,,,,
,2009,05I006110,05I006,PIONEER ELEMENTARY,418,16.858,39915.6484,0.2373,11.6023,1,1,0.5,1,,,,,,
,2009,05I006115,05I006,GRANDVIEW 5TH/6TH GRADE CTR,332,20.858,43784.2075,0.3973,17.0272,2,1,2,1,,,,,,
,2009,05I006120,05I006,NORTHEAST ELEMENTARY,376,22.871,40977.0889,0.188,11.4031,2,1,0.5,1,,,,,,
,2009,05I006610,05I006,8TH & 9TH GRADE CTR,452,31.069,42170.3949,0.1058,12.1981,3.669,1.75,1.857,2.75,,,,,,
