RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2012,01C001105,01C001,SKELLY  ELEMENTARY,64,5.635,38245.7853,0.1709,7.104,1,0.133,0.2,0.4,,,,,,
,2012,01C019105,01C019,PEAVINE  ELEMENTARY,166,11.144,40004.4867,0.1795,18.7742,1,1,2.6,2.231,,,,,,
,2012,01C022105,01C022,MARYETTA ELEMENTARY,698,47.757,44653.5377,0.2228,12.9326,1.72,0,3.35,2.715,,,,,,
,2012,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,185,12.069,42292.8992,0.0176,15.8846,0.572,0,4.285,0.386,,,,,,
,2012,01C028105,01C028,ZION ELEMENTARY,336,23.125,41537.9027,0.1568,12.5189,1.625,0.625,3.625,1.375,,,,,,
,2012,01C029105,01C029,DAHLONEGAH ELEMENTARY,134,12.488,37710.2018,0.2002,8.8085,1,0,1.991,0.4,,,,,,
,2012,01C032105,01C032,GREASY ELEMENTARY,69,7.868,36144.2552,0.4902,16.7557,1,0.001,0.332,0,,,,,,
,2012,01I004105,01I004,WATTS ELEMENTARY,259,15.143,41304.299,0.1131,10.5739,1.427,0.429,0.5,0.858,,,,,,
,2012,01I004705,01I004,WATTS HIGH SCHOOL,123,9.141,41620.2822,0.4375,9.5924,1,0.429,0.5,0.715,8,6,9,6,2,2
,2012,01I011105,01I011,WESTVILLE ELEMENTARY,677,37.167,41543.3853,0.1614,12.5919,3,1,1.479,2,,,,,,
,2012,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,155,12.697,44193.3528,0.1971,11.9074,1,1.5,0.333,1,,,,,,
,2012,01I011705,01I011,WESTVILLE HIGH SCHOOL,357,25.275,40147.2997,0.1977,10.4968,1,0.667,0.333,1,13,13,11,9.5,8,2
,2012,01I025105,01I025,STILWELL ELEMENTARY,451,30.857,42963.1526,0.2106,15.3912,2,0.5,2.571,2,,,,,,
,2012,01I025505,01I025,STILWELL MIDDLE SCHOOL,274,19.143,45542.6527,0.306,15.925,2.168,1,1.068,1,,,,,,
,2012,01I025705,01I025,STILWELL HIGH SCHOOL,589,35.552,41812.3875,0.2379,13.1647,6.143,2.36,2,2.5,10,13,12,9,9.5,2
,2012,01I030105,01I030,CAVE SPRINGS ELEMENTARY,47,5.222,43365.1858,0,13.6337,0.25,0.5,1.65,0.287,,,,,,
,2012,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,71,5.182,41579.8919,0,11.6059,0.25,0.5,0.966,0.558,12,9,6,8,0,0
,2012,02I001105,02I001,BURLINGTON ELEMENTARY,104,9.964,45486.7523,0.4874,15.5647,0.25,0.284,0.215,0,,,,,,
,2012,02I001705,02I001,BURLINGTON HIGH SCHOOL,51,5.82,43681.0997,0.4909,14.2034,0.25,0.43,0.643,0,4,4,6,3,5,2
,2012,02I046105,02I046,CHEROKEE ELEMENTARY,226,13.875,41820.3964,0.2883,17.6356,1.5,0.333,0.5,0,,,,,,
