RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
1,2013,01C001105,01C001,SKELLY  ELEMENTARY,87,8.733,40511.6226,0.1011,11.6382,1,0.111,0.37,0.857,,,,,,
2,2013,01C019105,01C019,PEAVINE  ELEMENTARY,206,12,38595.25,0.25,15.25,1,0.5,3.4,2,,,,,,
3,2013,01C022105,01C022,MARYETTA ELEMENTARY,632,42.215,42586.474,0.1545,10.7734,1,1.076,4.673,2.074,,,,,,
4,2013,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,182,11.429,41493.744,0,12.9122,1.5,0.715,1.571,1.429,,,,,,
5,2013,01C028105,01C028,ZION ELEMENTARY,326,25.25,40869.901,0.1485,13.1089,2,0.5,5.25,2,,,,,,
6,2013,01C029105,01C029,DAHLONEGAH ELEMENTARY,139,12.5,39656.48,0.28,8.8,1.456,0,1.5,1,,,,,,
7,2013,01C032105,01C032,GREASY ELEMENTARY,101,8.749,41832.2094,0.3429,17.2166,0,0,1.457,1,,,,,,
8,2013,01C033105,01C033,BELL ELEMENTARY,67,7.92,40560.6061,0.2525,11.4646,1,0,2.118,2,,,,,,
9,2013,01I004105,01I004,WATTS ELEMENTARY,265,12.557,38497.4914,0,10.159,1,0,0,1,,,,,,
10,2013,01I004705,01I004,WATTS HIGH SCHOOL,141,7.205,41282.4427,0.1388,14.6519,0,0,0,1,7,6,5,5,1,2
11,2013,01I011105,01I011,WESTVILLE ELEMENTARY,625,35.322,41253.9211,0.1768,13.6016,3,1,0,2,,,,,,
12,2013,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,248,11.593,42047.2699,0.271,11.5759,1,0.5,0.571,1,,,,,,
13,2013,01I011705,01I011,WESTVILLE HIGH SCHOOL,217,22.311,40933.2168,0.2358,11.3883,0.333,0.667,1.166,1,16.5,12,15,9,16,2
14,2013,01I025105,01I025,STILWELL ELEMENTARY,485,32.906,44024.1901,0.3647,16.1977,3,1,3,2,,,,,,
15,2013,01I025505,01I025,STILWELL MIDDLE SCHOOL,266,22.287,43606.5419,0.3718,14.8717,3,1,1.285,1,,,,,,
16,2013,01I025705,01I025,STILWELL HIGH SCHOOL,706,34.402,44000.872,0.2206,13.634,5.714,3,1.524,2,10,13.5,10,8.5,7,4
17,2013,01I030105,01I030,CAVE SPRINGS ELEMENTARY,80,11.811,36892.3038,0.0847,8.7429,0.571,0.429,0.714,1.142,,,,,,
18,2013,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,110,9.643,41372.6019,0.0296,12.2742,0.429,0.429,0.286,0.858,9,8,5,10,2,1
19,2013,02I001105,02I001,BURLINGTON ELEMENTARY,96,10.144,44036.5733,0.7042,14.7173,0.714,0.214,0.215,0.5,,,,,,
20,2013,02I001705,02I001,BURLINGTON HIGH SCHOOL,37,4.997,41015.009,0.4571,7.8865,0.286,0.214,0.214,0.643,8,4,3,3,4.5,2
21,2013,02I046105,02I046,CHEROKEE ELEMENTARY,221,12.5,41347.52,0.28,16.08,1,0,1,1,,,,,,
22,2013,02I046705,02I046,CHEROKEE HIGH SCHOOL,100,9.787,42486.9725,0.3576,12.5994,1,0,0.428,1,12,5,5,6,4,3
23,2013,02I093105,02I093,TIMBERLAKE ELEMENTARY,166,13.43,41417.3492,0.1064,15.5838,1,0,0,0.286,,,,,,
24,2013,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,75,8.284,41003.0179,0.1551,12.8641,0.857,0,0,0.714,5,4,5,6,2,1
25,2013,03C021105,03C021,HARMONY ELEMENTARY,220,16.941,41965.9406,0.305,11.1862,1,0.167,2.156,1.5,,,,,,
26,2013,03C022105,03C022,LANE ELEMENTARY,190,11.905,42184.4603,0.434,15.0245,2.833,0,0.833,1,,,,,,
27,2013,03C023105,03C023,FARRIS ELEMENTARY,53,5.288,39264.7504,0,7.1354,0.286,0,0.578,0.492,,,,,,
28,2013,03I007105,03I007,STRINGTOWN ELEMENTARY,120,10.43,41389.6453,0.2602,11.785,0.286,0.334,0,0.5,,,,,,
