RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2016,01C019105,01C019,PEAVINE  ELEMENTARY,126,11.2,42291.6964,0.3036,21.1339,0.4,0,0.2,0.6,,,,,,
,2016,01C022105,01C022,MARYETTA ELEMENTARY,681,51.295,45338.2981,0.2917,13.182,1.9,2.353,4.371,3.041,,,,,,
,2016,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,188,12.714,47909.1553,0.0562,18.1351,1,0,2.143,0.286,,,,,,
,2016,01C028105,01C028,ZION ELEMENTARY,352,25.207,42104.1774,0.1133,14.0483,2,0,3.293,1.4,,,,,,
,2016,01C029105,01C029,DAHLONEGAH ELEMENTARY,134,13,42106.6154,0.2692,15.1154,0,0.2,2.1,0.2,,,,,,
,2016,01C032105,01C032,GREASY ELEMENTARY,90,8.886,39411.5463,0.4276,22.2116,0.714,0,0.2,0.4,,,,,,
,2016,01I004105,01I004,WATTS ELEMENTARY,199,12.757,41516.2656,0.1623,13.7993,1.357,0.223,0.286,1.071,,,,,,
,2016,01I004705,01I004,WATTS HIGH SCHOOL,113,6.33,44185.466,0.5259,8.9638,0.643,0.225,0.286,0.5,9,4,7,5,2,2
,2016,01I011105,01I011,WESTVILLE ELEMENTARY,651,34.667,42668.0993,0.2885,14.1587,3,0.5,1.333,1,,,,,,
,2016,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,176,14.069,43038.0979,0.2487,12.2919,1,0.5,0.834,1,,,,,,
,2016,01I011705,01I011,WESTVILLE HIGH SCHOOL,332,24.224,41314.4815,0.0638,14.383,1,1,1.515,1,9.5,8,10,7,9,2
,2016,01I025105,01I025,STILWELL ELEMENTARY,411,31.777,41630.6133,0.1982,13.0053,2.429,0.5,3.428,2,,,,,,
,2016,01I025505,01I025,STILWELL MIDDLE SCHOOL,257,18.786,44999.6274,0.1749,14.6681,3.571,1,0.429,1,,,,,,
