RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2011,01C001105,01C001,SKELLY  ELEMENTARY,62,6.8,38743.4424,0.0983,11.6482,1,0.534,1,0,,,,,,
,2011,01C019105,01C019,PEAVINE  ELEMENTARY,179,10.3,40140.2927,0.1951,18.9756,1,1,2.6,1,,,,,,
,2011,01C022105,01C022,MARYETTA ELEMENTARY,672,46.8,44311.4768,0.1421,12.8996,1.72,0,4.809,2.025,,,,,,
,2011,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,210,12.3,41995.5237,0.0349,14.2803,1.428,0,3.286,0.286,,,,,,
,2011,01C028105,01C028,ZION ELEMENTARY,340,24.6,41707.533,0.1878,12.3553,2.036,0.625,4.078,1,,,,,,
,2011,01C029105,01C029,DAHLONEGAH ELEMENTARY,136,12.5,40113.84,0.2,7.88,1,0,1.971,0,,,,,,
,2011,01C032105,01C032,GREASY ELEMENTARY,75,8.9,36527.6025,0.3541,15.492,0.857,0,0.206,0,,,,,,
,2011,01I004105,01I004,WATTS ELEMENTARY,262,14.7,40328.3521,0.0974,9.6087,0.862,0.5,0.5,1,,,,,,
,2011,01I004705,01I004,WATTS HIGH SCHOOL,138,8.2,40013.6702,0.3139,8.8827,1.29,0.5,0.5,1,6,6,6,5.5,2,2
,2011,01I011105,01I011,WESTVILLE ELEMENTARY,670,37.2,42324.4007,0.2063,13.8792,3,2,0.334,2,,,,,,
,2011,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,165,12.7,42810.3734,0.2237,12.6979,1.5,1.5,0.333,1,,,,,,
,2011,01I011705,01I011,WESTVILLE HIGH SCHOOL,352,24.6,42020.5607,0.2235,12.0399,0.5,0.5,0.333,1,12,11.5,12,9.5,10,2
