RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
14184,2016,04I022705,04I022,BEAVER HIGH SCHOOL,72320.85048,81146.7268,0.02247191,0.072095436,0.168316832,0.5053,0.1884273,0.607566766,0.204005935
14185,2016,04I075105,04I075,BALKO ELEMENTARY,74504.74684,434601.1692,0.00462963,0.043478261,0.18487395,0.4068,0.254799302,0.633507853,0.111692845
14186,2016,04I075705,04I075,BALKO HIGH SCHOOL,74504.74684,434601.1692,0.00462963,0.043478261,0.18487395,0.4318,0.254799302,0.633507853,0.111692845
14187,2016,04I123105,04I123,FORGAN ELEMENTARY,65148.83721,202952.5348,0.034602076,0.169154229,0.433333333,0.5882,0.236238532,0.669724771,0.094036697
14188,2016,04I123705,04I123,FORGAN HIGH SCHOOL,65148.83721,202952.5348,0.034602076,0.169154229,0.433333333,0.5778,0.236238532,0.669724771,0.094036697
14189,2016,04I128105,04I128,TURPIN ELEMENTARY,65309.19003,77370.5024,0.053333333,0.127870564,0.187845304,0.6142,0.141242938,0.636803874,0.221953188
14190,2016,04I128705,04I128,TURPIN HIGH SCHOOL,65309.19003,77370.5024,0.053333333,0.127870564,0.187845304,0.561,0.141242938,0.636803874,0.221953188
14191,2016,05I002105,05I002,MERRITT ELEMENTARY,115205.6856,63890.2702,0.031818182,0.059256985,0.158333333,0.664,0.237340379,0.696609423,0.066050198
14192,2016,05I002705,05I002,MERRITT HIGH SCHOOL,115205.6856,63890.2702,0.031818182,0.059256985,0.158333333,0.677,0.237340379,0.696609423,0.066050198
14193,2016,05I006105,05I006,FAIRVIEW ELEMENTARY,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.6667,0.181064629,0.653153737,0.165781635
14194,2016,05I006110,05I006,PIONEER ELEMENTARY,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.627,0.181064629,0.653153737,0.165781635
14195,2016,05I006115,05I006,GRANDVIEW 5TH/6TH GRADE CTR,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.5396,0.181064629,0.653153737,0.165781635
14196,2016,05I006120,05I006,NORTHEAST ELEMENTARY,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.6935,0.181064629,0.653153737,0.165781635
14197,2016,05I006610,05I006,8TH & 9TH GRADE CTR,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.5545,0.181064629,0.653153737,0.165781635
14198,2016,05I006705,05I006,ELK CITY HIGH SCHOOL,70102.92398,53130.3223,0.03543663,0.125247994,0.405207486,0.4665,0.181064629,0.653153737,0.165781635
14199,2016,05I031105,05I031,SAYRE ELEMENTARY,62403.93362,107282.1209,0.021247113,0.167349579,0.360465116,0.703,0.14268233,0.639745472,0.217572198
14200,2016,05I031505,05I031,SAYRE MIDDLE SCHOOL,62403.93362,107282.1209,0.021247113,0.167349579,0.360465116,0.6438,0.14268233,0.639745472,0.217572198
14201,2016,05I031705,05I031,SAYRE HIGH SCHOOL,62403.93362,107282.1209,0.021247113,0.167349579,0.360465116,0.5939,0.14268233,0.639745472,0.217572198
14202,2016,05I051105,05I051,ERICK ELEMENTARY,51438.31041,44548.8211,0.006160164,0.239408204,0.198473282,0.5637,0.133198789,0.669021191,0.19778002
14203,2016,05I051715,05I051,ERICK HIGH SCHOOL,51438.31041,44548.8211,0.006160164,0.239408204,0.198473282,0.4571,0.133198789,0.669021191,0.19778002
14204,2016,06I009105,06I009,OKEENE ELEMENTARY,56344.17266,76510.0635,0.018309859,0.092152628,0.318181818,0.5751,0.193149382,0.673644148,0.13320647
14205,2016,06I009615,06I009,OKEENE JR HIGH SCHOOL,56344.17266,76510.0635,0.018309859,0.092152628,0.318181818,0.6667,0.193149382,0.673644148,0.13320647
14206,2016,06I009715,06I009,OKEENE SR HIGH SCHOOL,56344.17266,76510.0635,0.018309859,0.092152628,0.318181818,0.5745,0.193149382,0.673644148,0.13320647
14207,2016,06I042105,06I042,WATONGA ELEMENTARY,53328.30832,53908.5625,0.019061584,0.221791045,0.388101983,0.792,0.117877095,0.711452514,0.170670391
14208,2016,06I042505,06I042,WATONGA MIDDLE SCHOOL,53328.30832,53908.5625,0.019061584,0.221791045,0.388101983,0.7372,0.117877095,0.711452514,0.170670391
14209,2016,06I042705,06I042,WATONGA HIGH SCHOOL,53328.30832,53908.5625,0.019061584,0.221791045,0.388101983,0.651,0.117877095,0.711452514,0.170670391
14210,2016,06I080105,06I080,GEARY ELEMENTARY,61355.33063,110914.9432,0.085434174,0.200996678,0.419354839,1,0.208633094,0.668165468,0.123201439
14211,2016,06I080500,06I080,GEARY MIDDLE SCHOOL,61355.33063,110914.9432,0.085434174,0.200996678,0.419354839,0.8767,0.208633094,0.668165468,0.123201439
14212,2016,06I080715,06I080,GEARY HIGH SCHOOL,61355.33063,110914.9432,0.085434174,0.200996678,0.419354839,0.8081,0.208633094,0.668165468,0.123201439
14213,2016,06I105105,06I105,CANTON ELEMENTARY,63316.8956,134683.8376,0.067164179,0.169030733,0.24742268,0.609,0.19035533,0.688663283,0.120981387
14214,2016,06I105705,06I105,CANTON HIGH SCHOOL,63316.8956,134683.8376,0.067164179,0.169030733,0.24742268,0.6075,0.19035533,0.688663283,0.120981387
14215,2016,07I001110,07I001,SILO ELEMENTARY,64348.76974,57167.7106,0.033694697,0.110722454,0.262483995,0.7224,0.28438949,0.603941267,0.111669243
14216,2016,07I001515,07I001,SILO MIDDLE SCHOOL,64348.76974,57167.7106,0.033694697,0.110722454,0.262483995,0.6882,0.28438949,0.603941267,0.111669243
14217,2016,07I001705,07I001,SILO HIGH SCHOOL,64348.76974,57167.7106,0.033694697,0.110722454,0.262483995,0.7205,0.28438949,0.603941267,0.111669243
14218,2016,07I002105,07I002,ROCK CREEK ELEMENTARY,52472.52322,43733.9534,0.077037037,0.160876369,0.204861111,0.7864,0.155747837,0.690152452,0.154099712
14219,2016,07I002705,07I002,ROCK CREEK HIGH SCHOOL,52472.52322,43733.9534,0.077037037,0.160876369,0.204861111,0.6458,0.155747837,0.690152452,0.154099712
14220,2016,07I003105,07I003,ACHILLE ELEMENTARY,53538.67735,92130.699,0.116013072,0.127892301,0.282722513,0.7991,0.149117814,0.698918611,0.151963574
14221,2016,07I003705,07I003,ACHILLE HIGH SCHOOL,53538.67735,92130.699,0.116013072,0.127892301,0.282722513,0.66,0.149117814,0.698918611,0.151963574
14222,2016,07I004105,07I004,WARD EAST ELEMENTARY,48570.1565,24401.8312,0.139546351,0.160817506,0.27402863,0.7901,0.116834532,0.677410072,0.205755396
14223,2016,07I004110,07I004,WARD WEST ELEMENTARY,48570.1565,24401.8312,0.139546351,0.160817506,0.27402863,0.8006,0.116834532,0.677410072,0.205755396
14224,2016,07I004505,07I004,COLBERT MIDDLE SCHOOL,48570.1565,24401.8312,0.139546351,0.160817506,0.27402863,0.7193,0.116834532,0.677410072,0.205755396
14225,2016,07I004715,07I004,COLBERT HIGH SCHOOL,48570.1565,24401.8312,0.139546351,0.160817506,0.27402863,0.6927,0.116834532,0.677410072,0.205755396
14226,2016,07I005105,07I005,CADDO ELEMENTARY,50224.01656,32908.5092,0.097053726,0.193119625,0.342975207,0.7788,0.209006928,0.625866051,0.165127021
14227,2016,07I005715,07I005,CADDO HIGH SCHOOL,50224.01656,32908.5092,0.097053726,0.193119625,0.342975207,0.7143,0.209006928,0.625866051,0.165127021
14228,2016,07I040105,07I040,BENNINGTON ELEMENTARY,40952.38095,126961.9351,0.127615063,0.228739003,0.296610169,0.8584,0.181721573,0.640807651,0.177470776
14229,2016,07I040705,07I040,BENNINGTON HIGH SCHOOL,40952.38095,126961.9351,0.127615063,0.228739003,0.296610169,0.7595,0.181721573,0.640807651,0.177470776
14230,2016,07I048105,07I048,CALERA ELEMENTARY,57694.71001,49686.6507,0.070835155,0.115384615,0.215730337,0.7167,0.188052315,0.718628491,0.093319194
14231,2016,07I048705,07I048,CALERA HIGH SCHOOL,57694.71001,49686.6507,0.070835155,0.115384615,0.215730337,0.6718,0.188052315,0.718628491,0.093319194
14232,2016,07I072105,07I072,WASHINGTON IRVING ELEMENTARY,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.7689,0.246941046,0.573414905,0.179644049
14233,2016,07I072110,07I072,ROBERT E. LEE ELEMENTARY,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.9815,0.246941046,0.573414905,0.179644049
14234,2016,07I072115,07I072,NORTHWEST HEIGHTS ELEMENTARY,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.6741,0.246941046,0.573414905,0.179644049
14235,2016,07I072125,07I072,DURANT INTERMEDIATE ELEMENTARY SCHOOL,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.7206,0.246941046,0.573414905,0.179644049
14236,2016,07I072500,07I072,DURANT MIDDLE SCHOOL,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.7253,0.246941046,0.573414905,0.179644049
14237,2016,07I072705,07I072,DURANT HIGH SCHOOL,46828.36574,34806.952,0.079614728,0.247822456,0.378625134,0.6373,0.246941046,0.573414905,0.179644049
14238,2016,08I011105,08I011,HYDRO-EAKLY ELEMENTARY,56446.57534,51092.2463,0.044019139,0.138302277,0.226923077,0.6904,0.182668329,0.680798005,0.136533666
14239,2016,08I011505,08I011,HYDRO-EAKLY MIDDLE SCHOOL,56446.57534,51092.2463,0.044019139,0.138302277,0.226923077,0.5625,0.182668329,0.680798005,0.136533666
14240,2016,08I011715,08I011,HYDRO-EAKLY HIGH SCHOOL,56446.57534,51092.2463,0.044019139,0.138302277,0.226923077,0.4661,0.182668329,0.680798005,0.136533666
14241,2016,08I012105,08I012,LOOKEBA-SICKLES ELEMENTARY,57174.02985,26738.2341,0.052272727,0.116483516,0.25,0.838,0.170144462,0.678972713,0.150882825
14242,2016,08I012705,08I012,LOOKEBA-SICKLES HIGH SCHOOL,57174.02985,26738.2341,0.052272727,0.116483516,0.25,0.7209,0.170144462,0.678972713,0.150882825
14243,2016,08I020105,08I020,ANADARKO EAST ELEMENTARY,53555.52268,17880.3265,0.137833676,0.311044908,0.437799043,0.9379,0.180172414,0.676034483,0.143793103
14244,2016,08I020115,08I020,SUNSET ELEMENTARY,53555.52268,17880.3265,0.137833676,0.311044908,0.437799043,1,0.180172414,0.676034483,0.143793103
14245,2016,08I020120,08I020,MISSION ELEMENTARY,53555.52268,17880.3265,0.137833676,0.311044908,0.437799043,0.9086,0.180172414,0.676034483,0.143793103
14246,2016,08I020510,08I020,ANADARKO MIDDLE SCHOOL,53555.52268,17880.3265,0.137833676,0.311044908,0.437799043,0.8297,0.180172414,0.676034483,0.143793103
14247,2016,08I020705,08I020,ANADARKO HIGH SCHOOL,53555.52268,17880.3265,0.137833676,0.311044908,0.437799043,0.6688,0.180172414,0.676034483,0.143793103
14248,2016,08I033105,08I033,CARNEGIE ELEMENTARY,43842.23485,29746.0227,0.085561497,0.228323699,0.327868852,0.8667,0.133692722,0.681940701,0.184366577
14249,2016,08I033510,08I033,CARNEGIE MIDDLE SCHOOL,43842.23485,29746.0227,0.085561497,0.228323699,0.327868852,0.84,0.133692722,0.681940701,0.184366577
14250,2016,08I033705,08I033,CARNEGIE HIGH SCHOOL,43842.23485,29746.0227,0.085561497,0.228323699,0.327868852,0.7808,0.133692722,0.681940701,0.184366577
14251,2016,08I056105,08I056,APACHE ELEMENTARY,57878.19404,43627.1704,0.125345622,0.167277167,0.366666667,0.8444,0.192627824,0.680142687,0.127229489
14252,2016,08I056505,08I056,APACHE MIDDLE SCHOOL,57878.19404,43627.1704,0.125345622,0.167277167,0.366666667,0.741,0.192627824,0.680142687,0.127229489
14253,2016,08I056705,08I056,APACHE HIGH SCHOOL,57878.19404,43627.1704,0.125345622,0.167277167,0.366666667,0.7904,0.192627824,0.680142687,0.127229489
14254,2016,08I064105,08I064,CYRIL ELEMENTARY,45483.89058,18897.3767,0.107250755,0.156653565,0.15942029,0.7366,0.17512275,0.735679214,0.089198036
14255,2016,08I064610,08I064,JR HIGH SCHOOL,45483.89058,18897.3767,0.107250755,0.156653565,0.15942029,0.6222,0.17512275,0.735679214,0.089198036
14256,2016,08I064715,08I064,CYRIL HIGH SCHOOL,45483.89058,18897.3767,0.107250755,0.156653565,0.15942029,0.5773,0.17512275,0.735679214,0.089198036
14257,2016,08I086105,08I086,GRACEMONT ELEMENTARY,58214.20118,31975.4483,0.056511057,0.178924259,0.375,0.7037,0.128526646,0.747648903,0.123824451
14258,2016,08I086705,08I086,GRACEMONT HIGH SCHOOL,58214.20118,31975.4483,0.056511057,0.178924259,0.375,0.5938,0.128526646,0.747648903,0.123824451
14259,2016,08I160105,08I160,CEMENT ELEMENTARY,50184.89871,31417.655,0.096423017,0.117086453,0.188811189,0.8211,0.084435402,0.688708037,0.226856562
14260,2016,08I160715,08I160,CEMENT HIGH SCHOOL,50184.89871,31417.655,0.096423017,0.117086453,0.188811189,0.7692,0.084435402,0.688708037,0.226856562
14261,2016,08I161105,08I161,HINTON ELEMENTARY,61147.64322,57905.4803,0.062434418,0.173784251,0.358050847,0.6198,0.11170056,0.698202181,0.190097259
14262,2016,08I161610,08I161,HINTON MIDDLE SCHOOL,61147.64322,57905.4803,0.062434418,0.173784251,0.358050847,0.7297,0.11170056,0.698202181,0.190097259
14263,2016,08I161705,08I161,HINTON HIGH SCHOOL,61147.64322,57905.4803,0.062434418,0.173784251,0.358050847,0.5988,0.11170056,0.698202181,0.190097259
14264,2016,08I167105,08I167,FORT COBB-BROXTON LOWER ELEMENTARY,51494.01198,25787.8141,0.067114094,0.165842943,0.306010929,0.8343,0.218344156,0.656655844,0.125
14265,2016,08I167505,08I167,FORT COBB-BROXTON MIDDLE SCHOOL,51494.01198,25787.8141,0.067114094,0.165842943,0.306010929,0.7123,0.218344156,0.656655844,0.125
14266,2016,08I167705,08I167,FORT COBB-BROXTON HIGH SCHOOL,51494.01198,25787.8141,0.067114094,0.165842943,0.306010929,0.7353,0.218344156,0.656655844,0.125
14267,2016,08I168105,08I168,BINGER-ONEY ELEMENTARY,51383.8471,57565.3268,0.078431373,0.21037464,0.191489362,0.7121,0.123097287,0.697551291,0.179351423
14268,2016,08I168705,08I168,BINGER-ONEY HIGH SCHOOL,51383.8471,57565.3268,0.078431373,0.21037464,0.191489362,0.6727,0.123097287,0.697551291,0.179351423
14269,2016,09C029105,09C029,RIVERSIDE ELEMENTARY,72838.66906,201695.7512,0.059493671,0.16677116,0.368686869,0.7746,0.218390805,0.647857889,0.133751306
14270,2016,09C031105,09C031,BANNER ELEMENTARY,96094.81481,279468.6543,0.07638191,0.08018648,0.212927757,0.4216,0.298834818,0.551062371,0.15010281
14271,2016,09C070105,09C070,DARLINGTON ELEMENTARY,78783.65759,123821.3638,0.005730659,0.020900322,0.041666667,0.8613,0.252566735,0.68788501,0.059548255
14272,2016,09C162105,09C162,MAPLE ELEMENTARY,86804.94297,351620.4132,0.137741047,0.098430813,0.155555556,0.3172,0.182835821,0.671641791,0.145522388
14273,2016,09I022105,09I022,PIEDMONT ELEMENTARY,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.2281,0.438301282,0.503205128,0.05849359
14274,2016,09I022110,09I022,PIEDMONT PRIMARY ELEMENTARY,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.1447,0.438301282,0.503205128,0.05849359
14275,2016,09I022115,09I022,STONE RIDGE ELEMENTARY,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.1392,0.438301282,0.503205128,0.05849359
14276,2016,09I022120,09I022,NORTHWOOD ELEMENTARY,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.2581,0.438301282,0.503205128,0.05849359
14277,2016,09I022125,09I022,PIEDMONT INTERMEDIATE ELEMENTARY,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.221,0.438301282,0.503205128,0.05849359
14278,2016,09I022510,09I022,PIEDMONT MIDDLE SCHOOL,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.2046,0.438301282,0.503205128,0.05849359
14279,2016,09I022705,09I022,PIEDMONT HIGH SCHOOL,96974.43255,43118.9837,0.026849315,0.043325527,0.164202746,0.1976,0.438301282,0.503205128,0.05849359
14280,2016,09I027105,09I027,CENTRAL ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.5157,0.286938944,0.646389398,0.066671658
14281,2016,09I027110,09I027,MYERS ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.8576,0.286938944,0.646389398,0.066671658
14282,2016,09I027115,09I027,SHEDECK ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.6812,0.286938944,0.646389398,0.066671658
14283,2016,09I027120,09I027,RANCHWOOD ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.4069,0.286938944,0.646389398,0.066671658
14284,2016,09I027125,09I027,SURREY HILLS ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.2466,0.286938944,0.646389398,0.066671658
14285,2016,09I027130,09I027,PARKLAND ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.4187,0.286938944,0.646389398,0.066671658
14286,2016,09I027135,09I027,SKYVIEW ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.346,0.286938944,0.646389398,0.066671658
14287,2016,09I027140,09I027,INDEPENDENCE ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.458,0.286938944,0.646389398,0.066671658
14288,2016,09I027145,09I027,LAKEVIEW ELEMENTARY,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.4217,0.286938944,0.646389398,0.066671658
14289,2016,09I027520,09I027,YUKON MIDDLE SCHOOL,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.4387,0.286938944,0.646389398,0.066671658
14290,2016,09I027705,09I027,YUKON HIGH SCHOOL,77882.61431,42555.6776,0.039186275,0.056349346,0.275786973,0.3687,0.286938944,0.646389398,0.066671658
14291,2016,09I034110,09I034,HILLCREST ELEMENTARY,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.7043,0.116525424,0.733787767,0.149686809
14292,2016,09I034120,09I034,LINCOLN LEARNING CENTER,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.7684,0.116525424,0.733787767,0.149686809
14293,2016,09I034135,09I034,ROSE WITCHER ELEMENTARY,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.7985,0.116525424,0.733787767,0.149686809
14294,2016,09I034510,09I034,LESLIE F. ROBLYER LEARNING CENTER,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.7896,0.116525424,0.733787767,0.149686809
