RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6490,2016,09I069705,09I069,MUSTANG HIGH SCHOOL,1.00,0.06,3.08,0.42,,21.87,0.83,0.09,,,,,
6491,2016,09I076705,09I076,CALUMET HIGH SCHOOL,1.00,0.00,3.39,0.72,,19.86,1.00,0.06,,,,,
6492,2016,10I019705,10I019,ARDMORE HIGH SCHOOL,0.97,0.13,2.95,0.38,,17.24,0.76,0.02,,,,,
6493,2016,10I021705,10I021,SPRINGER HIGH SCHOOL,1.00,0.14,2.87,0.75,,19.60,0.42,0.00,,,,,
6494,2016,10I027705,10I027,PLAINVIEW HIGH SCHOOL,0.99,0.01,3.31,0.41,,22.13,0.89,0.04,,,,,
6495,2016,10I032705,10I032,LONE GROVE HIGH SCHOOL,1.00,0.03,2.96,0.41,,20.95,0.70,0.03,,,,,
6496,2016,10I043705,10I043,WILSON HIGH SCHOOL,0.97,0.03,2.74,0.40,,19.14,0.42,0.00,,,,,
6497,2016,10I055705,10I055,HEALDTON HIGH SCHOOL,1.00,0.00,2.90,0.40,,19.49,0.69,0.00,,,,,
6498,2016,10I074705,10I074,FOX HIGH SCHOOL,1.00,0.00,3.15,1.04,,18.60,0.83,0.00,,,,,
6499,2016,10I077705,10I077,DICKSON HIGH SCHOOL,0.99,0.02,3.10,0.56,,19.53,0.87,0.00,,,,,
6500,2016,11I006705,11I006,KEYS HIGH SCHOOL,0.95,0.05,3.22,0.69,,20.80,0.66,0.03,,,,,
6501,2016,11I016715,11I016,HULBERT SR HIGH SCHOOL,1.00,0.07,3.23,0.58,,18.94,0.76,0.00,,,,,
6502,2016,11I035705,11I035,TAHLEQUAH HIGH SCHOOL,0.98,0.09,3.01,0.37,,20.94,0.60,0.07,,,,,
6503,2016,12I001715,12I001,BOSWELL HIGH SCHOOL,1.00,0.04,3.34,1.04,,17.78,0.88,0.00,,,,,
6504,2016,12I002705,12I002,FORT TOWSON HIGH SCHOOL,1.00,0.00,3.20,0.91,,18.17,0.00,0.00,,,,,
6505,2016,12I004705,12I004,SOPER HIGH SCHOOL,1.00,0.00,3.60,1.00,,18.91,0.93,0.07,,,,,
6506,2016,12I039705,12I039,HUGO HIGH SCHOOL,0.95,0.05,3.52,0.36,,18.06,0.92,0.03,,,,,
6507,2016,13I002705,13I002,BOISE CITY HIGH SCHOOL,1.00,0.00,2.90,0.64,,18.82,0.86,0.36,,,,,
6508,2016,13I010705,13I010,FELT HIGH SCHOOL,1.00,0.00,3.90,0.00,,24.25,1.00,0.00,,,,,
6509,2016,13I011705,13I011,KEYES HIGH SCHOOL,1.00,0.00,**,0.00,,17.57,0.80,0.40,,,,,
6510,2016,14I002705,14I002,MOORE HIGH SCHOOL,0.99,0.04,2.86,0.39,,21.61,0.88,0.08,,,,,
6511,2016,14I002710,14I002,WESTMOORE HIGH SCHOOL,0.99,0.10,2.99,0.27,,22.56,0.85,0.07,,,,,
6512,2016,14I002715,14I002,SOUTHMOORE HIGH SCHOOL,0.99,0.09,3.06,0.38,,21.87,0.20,0.05,,,,,
6513,2016,14I029705,14I029,NORMAN HIGH SCHOOL,0.98,0.08,3.10,0.58,,22.54,1.00,0.11,,,,,
6514,2016,14I029710,14I029,NORMAN NORTH HIGH SCHOOL,1.00,0.03,3.22,0.34,,23.67,0.84,0.11,,,,,
6515,2016,14I040705,14I040,NOBLE HIGH SCHOOL,0.96,0.09,3.07,0.58,,20.31,0.90,0.03,,,,,
6516,2016,14I057705,14I057,LEXINGTON HIGH SCHOOL,0.99,0.02,3.00,0.67,,20.51,0.47,0.00,,,,,
6517,2016,14I070715,14I070,LITTLE AXE HIGH SCHOOL,0.97,0.08,3.18,0.86,,18.79,0.68,0.05,,,,,
6518,2016,15I001705,15I001,COALGATE HIGH SCHOOL,1.00,0.00,3.14,0.70,,20.15,0.57,0.00,,,,,
