RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6644,2016,40I049715,40I049,WISTER HIGH SCHOOL,0.97,0.03,FTR,0.36,,19.27,FTR,FTR,,,,,
6645,2016,40I052705,40I052,TALIHINA HIGH SCHOOL,1.00,0.02,3.02,0.72,,19.66,0.73,0.08,,,,,
6646,2016,40I062705,40I062,WHITESBORO HIGH SCHOOL,1.00,0.00,FTR,0.67,,20.50,FTR,FTR,,,,,
6647,2016,40I067705,40I067,HOWE HIGH SCHOOL,1.00,0.00,3.09,0.75,,19.03,0.93,0.00,,,,,
6648,2016,40I091715,40I091,ARKOMA HIGH SCHOOL,0.83,0.33,3.01,0.67,,18.53,1.00,0.30,,,,,
6649,2016,41I001705,41I001,CHANDLER HIGH SCHOOL,0.99,0.08,3.31,0.70,,21.23,0.71,0.02,,,,,
6650,2016,41I003705,41I003,DAVENPORT HIGH SCHOOL,1.00,0.00,3.19,0.41,,19.95,0.43,0.03,,,,,
6651,2016,41I004705,41I004,WELLSTON HIGH SCHOOL,1.00,0.02,3.19,0.76,,20.02,1.00,0.00,,,,,
6652,2016,41I054705,41I054,STROUD HIGH SCHOOL,1.00,0.03,3.22,0.88,,20.41,0.22,0.00,,,,,
6653,2016,41I095705,41I095,MEEKER HIGH SCHOOL,1.00,0.09,3.04,0.21,,21.22,0.62,0.06,,,,,
6654,2016,41I103705,41I103,PRAGUE HIGH SCHOOL,0.97,0.08,3.10,0.79,,21.82,0.99,0.01,,,,,
6655,2016,41I105705,41I105,CARNEY HIGH SCHOOL,1.00,0.00,3.05,0.21,,18.75,1.00,0.00,,,,,
6656,2016,41I134705,41I134,AGRA HIGH SCHOOL,1.00,0.00,3.39,0.94,,19.06,0.63,0.00,,,,,
6657,2016,42I001705,42I001,GUTHRIE HIGH SCHOOL,0.98,0.09,2.91,0.28,,19.96,0.91,0.02,,,,,
6658,2016,42I002715,42I002,CRESCENT HIGH SCHOOL,0.97,0.06,3.19,0.97,,19.67,0.84,0.06,,,,,
6659,2016,42I003705,42I003,MULHALL-ORLANDO HIGH SCHOOL,1.00,0.00,3.32,0.37,,20.47,0.94,0.00,,,,,
6660,2016,42I014705,42I014,COYLE HIGH SCHOOL,1.00,0.00,FTR,0.67,,17.85,FTR,FTR,,,,,
6661,2016,43I004705,43I004,THACKERVILLE HIGH SCHOOL,1.00,0.00,2.81,0.90,,19.88,1.00,0.05,,,,,
6662,2016,43I005705,43I005,TURNER HIGH SCHOOL,1.00,0.26,2.90,0.84,,18.50,1.00,0.35,,,,,
6663,2016,43I016705,43I016,MARIETTA HIGH SCHOOL,0.97,0.10,2.90,0.61,,17.48,0.95,0.01,,,,,
6664,2016,44I001705,44I001,RINGWOOD HIGH SCHOOL,1.00,0.04,3.53,0.46,,21.27,1.00,0.00,,,,,
6665,2016,44I004705,44I004,ALINE-CLEO HIGH SCHOOL,1.00,0.08,3.39,0.58,,21.14,1.00,0.00,,,,,
6666,2016,44I084705,44I084,FAIRVIEW HIGH SCHOOL,0.97,0.06,3.11,0.89,,22.58,1.00,0.10,,,,,
6667,2016,44I092705,44I092,CIMARRON HIGH SCHOOL,1.00,0.05,3.34,0.89,,20.33,0.95,0.15,,,,,
6668,2016,45I002705,45I002,MADILL HIGH SCHOOL,1.00,0.07,3.00,0.27,,18.09,0.90,0.01,,,,,
6669,2016,45I003705,45I003,KINGSTON HIGH SCHOOL,1.00,0.02,3.05,0.64,,18.57,0.73,0.01,,,,,
6670,2016,46I001705,46I001,PRYOR HIGH SCHOOL,0.95,0.13,3.04,0.45,,21.49,0.89,0.04,,,,,
6671,2016,46I002705,46I002,ADAIR HIGH SCHOOL,0.99,0.03,3.16,0.65,,21.55,0.80,0.06,,,,,
6672,2016,46I016705,46I016,SALINA HIGH SCHOOL,0.97,0.07,2.80,0.14,,19.59,0.79,0.01,,,,,
6673,2016,46I017705,46I017,LOCUST GROVE HIGH SCHOOL,0.97,0.08,3.13,0.48,,20.94,1.00,0.02,,,,,
6674,2016,46I032705,46I032,CHOUTEAU-MAZIE HIGH SCHOOL,1.00,0.13,3.14,0.38,,18.79,0.82,0.08,,,,,
6675,2016,47I001705,47I001,NEWCASTLE HIGH SCHOOL,0.99,0.03,3.34,0.42,,21.55,0.97,0.03,,,,,
6676,2016,47I002715,47I002,DIBBLE HIGH SCHOOL,0.98,0.02,3.04,0.66,,18.74,0.98,0.02,,,,,
6677,2016,47I005705,47I005,WASHINGTON HIGH SCHOOL,1.00,0.00,3.49,0.78,,21.32,1.00,0.06,,,,,
6678,2016,47I010705,47I010,WAYNE HIGH SCHOOL,1.00,0.00,3.25,0.57,,20.81,0.60,0.00,,,,,
6679,2016,47I015705,47I015,PURCELL HIGH SCHOOL,1.00,0.05,3.21,0.57,,21.18,1.00,0.02,,,,,
6680,2016,47I029705,47I029,BLANCHARD HIGH SCHOOL,0.95,0.12,3.08,0.39,,22.00,0.64,0.04,,,,,
6681,2016,48I005710,48I005,IDABEL HIGH SCHOOL,1.00,0.02,3.03,0.62,,20.54,0.51,0.07,,,,,
6682,2016,48I006705,48I006,HAWORTH HIGH SCHOOL,1.00,0.00,3.17,0.81,,18.44,0.90,0.04,,,,,
6683,2016,48I011705,48I011,VALLIANT HIGH SCHOOL,0.99,0.01,3.15,0.65,,19.45,0.84,0.01,,,,,
6684,2016,48I013705,48I013,EAGLETOWN HIGH SCHOOL,1.00,0.00,3.00,1.00,,17.71,0.88,0.06,,,,,
6685,2016,48I014705,48I014,SMITHVILLE HIGH SCHOOL,1.00,0.10,3.08,1.07,,18.25,0.44,0.11,,,,,
6686,2016,48I039705,48I039,WRIGHT CITY HIGH SCHOOL,1.00,0.08,3.22,0.64,,18.04,0.82,0.00,,,,,
6687,2016,48I071715,48I071,BATTIEST HIGH SCHOOL,1.00,0.11,2.82,0.70,,19.00,1.00,0.00,,,,,
6688,2016,48I074705,48I074,BROKEN BOW HIGH SCHOOL,0.97,0.06,3.55,0.77,,19.95,0.96,0.04,,,,,
6689,2016,49I001710,49I001,EUFAULA HIGH SCHOOL,0.98,0.07,2.98,0.69,,20.96,0.68,0.03,,,,,
6690,2016,49I019705,49I019,CHECOTAH HIGH SCHOOL,1.00,0.03,2.97,0.81,,17.28,0.96,0.03,,,,,
6691,2016,49I027705,49I027,MIDWAY HIGH SCHOOL,0.90,0.25,3.02,0.64,,18.50,0.00,0.00,,,,,
6692,2016,50I001705,50I001,SULPHUR HIGH SCHOOL,0.99,0.03,3.20,0.47,,20.58,0.88,0.03,,,,,
6693,2016,50I010705,50I010,DAVIS HIGH SCHOOL,1.00,0.02,3.49,0.49,,19.41,1.00,0.07,,,,,
6694,2016,51I002715,51I002,HASKELL HIGH SCHOOL,0.98,0.09,2.98,0.41,,18.26,0.80,0.06,,,,,
6695,2016,51I003705,51I003,FORT GIBSON HIGH SCHOOL,0.99,0.05,3.22,0.57,,21.58,0.71,0.06,,,,,
6696,2016,51I006715,51I006,WEBBERS FALLS HIGH SCHOOL,1.00,0.00,3.04,0.58,,19.30,0.89,0.00,,,,,
6697,2016,51I008705,51I008,OKTAHA HIGH SCHOOL,1.00,0.00,2.87,0.29,,19.15,0.65,0.57,,,,,
6698,2016,51I020705,51I020,MUSKOGEE HIGH SCHOOL,0.99,0.17,FTR,0.67,,19.38,FTR,FTR,,,,,
6699,2016,51I029705,51I029,HILLDALE HIGH SCHOOL,0.98,0.02,3.48,0.32,,20.72,0.90,0.00,,,,,
6700,2016,51I046705,51I046,BRAGGS HIGH SCHOOL,1.00,0.10,2.80,0.00,,16.52,1.00,0.00,,,,,
6701,2016,51I074715,51I074,WARNER HIGH SCHOOL,1.00,0.00,3.30,0.85,,19.41,0.80,0.00,,,,,
6702,2016,51I088705,51I088,PORUM HIGH SCHOOL,1.00,0.09,2.84,0.67,,18.15,1.00,0.00,,,,,
6703,2016,52I001705,52I001,PERRY HIGH SCHOOL,0.98,0.02,2.69,0.47,,21.16,1.00,0.02,,,,,
6704,2016,52I002705,52I002,BILLINGS HIGH SCHOOL,1.00,0.00,**,0.60,,**,1.00,0.00,,,,,
6705,2016,52I004705,52I004,FRONTIER HIGH SCHOOL,0.96,0.04,3.00,0.78,,18.79,0.52,0.04,,,,,
6706,2016,52I006705,52I006,MORRISON HIGH SCHOOL,1.00,0.03,3.76,0.93,,21.55,1.00,0.08,,,,,
6707,2016,53I003705,53I003,OKLAHOMA UNION HIGH SCHOOL,1.00,0.02,3.00,0.62,,18.45,0.92,0.11,,,,,
6708,2016,53I040705,53I040,NOWATA HIGH SCHOOL,0.99,0.03,3.08,0.47,,18.54,0.96,0.08,,,,,
6709,2016,53I051705,53I051,SOUTH COFFEYVILLE HIGH SCHOOL,1.00,0.00,2.80,0.36,,18.79,0.93,0.60,,,,,
6710,2016,54I002705,54I002,MASON HIGH SCHOOL,0.97,0.03,3.35,0.57,,18.00,1.00,0.00,,,,,
6711,2016,54I014705,54I014,PADEN HIGH SCHOOL,1.00,0.05,2.90,1.19,,18.74,1.00,0.00,,,,,
6712,2016,54I026705,54I026,OKEMAH HIGH SCHOOL,0.92,0.11,2.95,0.72,,18.49,0.86,0.03,,,,,
6713,2016,54I031705,54I031,WELEETKA HIGH SCHOOL,1.00,0.07,3.24,0.46,,18.57,0.85,0.00,,,,,
6714,2016,54I054705,54I054,GRAHAM HIGH SCHOOL,1.00,0.13,2.98,0.07,,14.42,0.29,0.00,,,,,
6715,2016,55I001705,55I001,PUTNAM CITY HIGH SCHOOL,0.94,0.09,2.84,0.56,,19.36,0.85,0.04,,,,,
6716,2016,55I001708,55I001,PUTNAM CITY NORTH HIGH SCHOOL,0.96,0.08,2.98,0.49,,20.10,0.89,0.07,,,,,
6717,2016,55I001710,55I001,PUTNAM CITY WEST HIGH SCHOOL,0.92,0.13,2.30,0.50,,16.74,0.98,0.22,,,,,
6718,2016,55I003705,55I003,LUTHER HIGH SCHOOL,1.00,0.00,3.15,0.67,,18.06,0.67,0.02,,,,,
6719,2016,55I004705,55I004,CHOCTAW HIGH SCHOOL,0.99,0.04,3.35,0.60,,21.27,0.89,0.04,,,,,
6720,2016,55I006705,55I006,DEER CREEK HIGH SCHOOL,1.00,0.01,3.71,0.15,,23.81,0.96,0.15,,,,,
6721,2016,55I007705,55I007,HARRAH HIGH SCHOOL,0.99,0.03,3.17,0.83,,18.55,0.68,0.07,,,,,
6722,2016,55I009705,55I009,JONES HIGH SCHOOL,0.97,0.09,2.97,0.55,,21.32,0.78,0.08,,,,,
6723,2016,55I012705,55I012,MEMORIAL HIGH SCHOOL,0.99,0.04,3.32,0.38,,24.23,0.89,0.11,,,,,
6724,2016,55I012715,55I012,NORTH HIGH SCHOOL,0.99,0.02,3.48,0.21,,24.85,0.94,0.12,,,,,
6725,2016,55I012720,55I012,SANTA FE HIGH SCHOOL,1.00,0.03,3.20,0.33,,22.45,0.78,0.12,,,,,
6726,2016,55I037705,55I037,MILLWOOD HIGH SCHOOL,0.98,0.04,3.07,0.71,,18.20,1.00,0.18,,,,,
6727,2016,55I041705,55I041,WESTERN HEIGHTS HIGH SCHOOL,0.95,0.19,2.80,0.63,,19.07,0.40,0.03,,,,,
6728,2016,55I052705,55I052,CARL ALBERT HIGH SCHOOL,1.00,0.00,3.41,0.43,,20.88,0.95,0.06,,,,,
6729,2016,55I052710,55I052,DEL CITY HIGH SCHOOL,0.99,0.08,2.86,0.29,,18.63,0.25,0.03,,,,,
6730,2016,55I052715,55I052,MIDWEST CITY HIGH SCHOOL,0.99,0.04,3.50,0.63,,19.39,0.97,0.03,,,,,
6731,2016,55I053705,55I053,CROOKED OAK HIGH SCHOOL,1.00,0.08,2.87,0.46,,16.64,0.65,0.00,,,,,
6732,2016,55I088705,55I088,BETHANY HIGH SCHOOL,0.98,0.03,3.39,0.25,,22.43,0.96,0.05,,,,,
6733,2016,55I089705,55I089,CAPITOL HILL HIGH SCHOOL,0.96,0.24,2.71,0.85,,16.37,0.98,0.02,,,,,
6734,2016,55I089706,55I089,CLASSEN HIGH SCHOOL OF ADVANCED STUDIES,1.00,0.00,3.83,0.04,,25.32,0.99,0.12,,,,,
6735,2016,55I089707,55I089,DOUGLASS HIGH SCHOOL,1.00,0.03,3.00,0.71,,16.21,0.86,0.12,,,,,
6736,2016,55I089712,55I089,U. S. GRANT HIGH SCHOOL,0.94,0.28,2.85,0.80,,17.02,1.00,0.01,,,,,
6737,2016,55I089726,55I089,JOHN MARSHALL HIGH SCHOOL,0.97,0.11,2.67,0.80,,15.57,0.98,0.12,,,,,
6738,2016,55I089750,55I089,OKLAHOMA CENTENNIAL HIGH SCHOOL,0.96,0.22,3.01,0.98,,16.22,0.90,0.00,,,,,
6739,2016,55I089760,55I089,NORTHEAST HIGH SCHOOL,1.00,0.00,3.40,1.00,,18.43,0.98,0.06,,,,,
6740,2016,55I089765,55I089,NORTHWEST CLASSEN HIGH SCHOOL,0.97,0.21,2.93,0.87,,16.35,0.95,0.01,,,,,
6741,2016,55I089770,55I089,SOUTHEAST HIGH SCHOOL,0.99,0.03,3.06,0.68,,18.77,0.90,0.04,,,,,
6742,2016,55I089780,55I089,STAR SPENCER HIGH SCHOOL,1.00,0.09,3.00,1.00,,16.18,1.00,0.05,,,,,
6743,2016,55I089975,55I089,DOVE SCIENCE ACADEMY (OKC),1.00,0.00,3.34,0.00,,22.70,1.00,0.02,,,,,
6744,2016,55I089977,55I089,SANTA FE SOUTH HIGH SCHOOL,1.00,0.08,3.11,0.00,,17.19,0.98,0.00,,,,,
6745,2016,55I089978,55I089,HARDING CHARTER PREPARATORY HIGH SCHOOL,1.00,0.00,2.53,0.00,,24.82,1.00,0.27,,,,,
6746,2016,55I089980,55I089,HARDING FINE ARTS ACADEMY,1.00,0.00,3.24,0.00,,20.59,1.00,0.25,,,,,
6747,2016,55I089986,55I089,HARPER ACADEMY,1.00,0.27,1.07,0.00,,**,0.50,0.00,,,,,
6748,2016,56I001705,56I001,OKMULGEE HIGH SCHOOL,0.99,0.04,2.93,0.63,,17.18,1.00,0.01,,,,,
6749,2016,56I002705,56I002,HENRYETTA HIGH SCHOOL,0.95,0.05,3.63,0.22,,18.17,1.00,0.01,,,,,
6750,2016,56I003705,56I003,MORRIS HIGH SCHOOL,0.99,0.08,2.93,0.29,,20.16,1.00,0.01,,,,,
6751,2016,56I004705,56I004,BEGGS HIGH SCHOOL,1.00,0.01,3.25,0.47,,19.08,0.81,0.02,,,,,
6752,2016,56I005705,56I005,PRESTON HIGH SCHOOL,1.00,0.00,3.65,0.14,,21.11,1.00,0.00,,,,,
6753,2016,56I006705,56I006,SCHULTER HIGH SCHOOL,0.89,0.11,2.68,0.50,,**,1.00,0.00,,,,,
6754,2016,56I007705,56I007,WILSON HIGH SCHOOL,1.00,0.00,3.10,0.82,,17.29,0.82,0.00,,,,,
6755,2016,56I008715,56I008,DEWAR HIGH SCHOOL,0.97,0.08,3.24,0.94,,18.38,0.97,0.00,,,,,
6756,2016,57I002705,57I002,PAWHUSKA HIGH SCHOOL,0.89,0.14,3.01,0.63,,19.82,0.90,0.06,,,,,
6757,2016,57I011715,57I011,SHIDLER HIGH SCHOOL,1.00,0.04,3.28,0.62,,19.27,0.91,0.05,,,,,
6758,2016,57I029715,57I029,BARNSDALL HIGH SCHOOL,1.00,0.08,3.12,0.71,,19.00,0.69,0.03,,,,,
6759,2016,57I030705,57I030,WYNONA HIGH SCHOOL,1.00,0.00,**,1.00,,**,0.05,0.20,,,,,
6760,2016,57I038705,57I038,HOMINY HIGH SCHOOL,1.00,0.00,2.82,0.74,,18.80,0.64,0.10,,,,,
6761,2016,57I050705,57I050,PRUE HIGH SCHOOL,0.94,0.06,2.96,0.00,,17.87,0.71,0.00,,,,,
6762,2016,57I090705,57I090,WOODLAND HIGH SCHOOL,1.00,0.04,3.30,0.52,,19.50,0.93,0.04,,,,,
6763,2016,58I001715,58I001,WYANDOTTE HIGH SCHOOL,1.00,0.02,2.89,0.58,,18.25,0.98,0.17,,,,,
6764,2016,58I014705,58I014,QUAPAW HIGH SCHOOL,1.00,0.04,2.50,0.86,,19.33,0.56,0.07,,,,,
6765,2016,58I018705,58I018,COMMERCE HIGH SCHOOL,1.00,0.12,2.96,0.70,,18.00,0.11,0.05,,,,,
6766,2016,58I023115,58I023,ROCKDALE ELEMENTARY,1.00,0.00,NA,NA,,NA,FTR,FTR,,,,,
6767,2016,58I023705,58I023,MIAMI HIGH SCHOOL,0.97,0.07,3.18,0.42,,21.11,0.92,0.05,,,,,
6768,2016,58I026705,58I026,AFTON HIGH SCHOOL,1.00,0.00,3.05,0.82,,20.20,1.00,0.05,,,,,
6769,2016,58I031705,58I031,FAIRLAND HIGH SCHOOL,1.00,0.00,3.20,0.77,,21.21,0.77,0.04,,,,,
6770,2016,59I001705,59I001,PAWNEE HIGH SCHOOL,1.00,0.02,2.92,0.60,,20.51,0.98,0.07,,,,,
6771,2016,59I006705,59I006,CLEVELAND HIGH SCHOOL,0.97,0.07,2.96,0.80,,20.80,0.73,0.03,,,,,
6772,2016,60I003705,60I003,RIPLEY HIGH SCHOOL,1.00,0.00,3.18,0.95,,20.00,1.00,0.00,,,,,
6773,2016,60I016705,60I016,STILLWATER HIGH SCHOOL,0.99,0.05,3.33,0.26,,22.82,0.78,0.21,,,,,
6774,2016,60I056705,60I056,PERKINS-TRYON HIGH SCHOOL,1.00,0.01,3.20,0.70,,20.33,0.83,0.00,,,,,
6775,2016,60I067705,60I067,CUSHING HIGH SCHOOL,1.00,0.06,3.13,0.68,,20.67,0.73,0.04,,,,,
6776,2016,60I101705,60I101,GLENCOE HIGH SCHOOL,1.00,0.00,3.20,0.44,,20.25,1.00,0.00,,,,,
6777,2016,60I103715,60I103,YALE HIGH SCHOOL,1.00,0.14,FTR,0.53,,20.32,1.00,0.00,,,,,
6778,2016,61I001705,61I001,HARTSHORNE HIGH SCHOOL,0.95,0.09,3.10,0.88,,20.80,1.00,0.07,,,,,
6779,2016,61I002705,61I002,CANADIAN HIGH SCHOOL,0.97,0.09,2.96,0.18,,19.38,0.75,0.00,,,,,
6780,2016,61I011705,61I011,HAILEYVILLE HIGH SCHOOL,1.00,0.17,3.15,1.10,,17.81,0.90,0.03,,,,,
6781,2016,61I014715,61I014,KIOWA HIGH SCHOOL,1.00,0.00,3.25,0.83,,23.41,1.00,0.00,,,,,
6782,2016,61I017715,61I017,QUINTON HIGH SCHOOL,1.00,0.15,3.20,0.56,,19.00,1.00,0.00,,,,,
6783,2016,61I025715,61I025,INDIANOLA HIGH SCHOOL,0.91,0.23,2.75,0.27,,16.00,1.00,0.00,,,,,
6784,2016,61I028705,61I028,CROWDER HIGH SCHOOL,1.00,0.00,3.03,0.85,,20.26,0.59,0.03,,,,,
6785,2016,61I030705,61I030,SAVANNA HIGH SCHOOL,1.00,0.05,3.24,0.40,,19.83,1.00,0.05,,,,,
6786,2016,61I063705,61I063,PITTSBURG HIGH SCHOOL,1.00,0.00,3.10,0.00,,**,1.00,0.50,,,,,
6787,2016,61I080705,61I080,McALESTER HIGH SCHOOL,0.99,0.14,2.88,0.52,,20.38,0.89,0.06,,,,,
6788,2016,62I001705,62I001,ALLEN HIGH SCHOOL,1.00,0.03,3.48,1.03,,20.55,0.84,0.00,,,,,
6789,2016,62I009705,62I009,VANOSS HIGH SCHOOL,1.00,0.00,3.10,0.79,,19.72,0.85,0.00,,,,,
6790,2016,62I016705,62I016,BYNG HIGH SCHOOL,1.00,0.05,3.29,0.68,,19.37,0.82,0.06,,,,,
6791,2016,62I019705,62I019,ADA HIGH SCHOOL,0.94,0.11,3.24,0.69,,21.23,0.83,0.03,,,,,
6792,2016,62I024705,62I024,LATTA HIGH SCHOOL,1.00,0.06,3.35,0.84,,21.60,0.98,0.04,,,,,
6793,2016,62I030705,62I030,STONEWALL HIGH SCHOOL,1.00,0.05,3.02,0.72,,20.18,0.89,0.00,,,,,
6794,2016,62I037705,62I037,ROFF HIGH SCHOOL,1.00,0.00,3.15,0.50,,19.70,0.87,0.00,,,,,
6795,2016,63I001705,63I001,McLOUD HIGH SCHOOL,0.95,0.14,2.70,0.35,,18.00,0.83,0.04,,,,,
6796,2016,63I002705,63I002,DALE HIGH SCHOOL,1.00,0.00,3.10,0.19,,20.48,0.90,0.00,,,,,
6797,2016,63I003705,63I003,BETHEL HIGH SCHOOL,0.99,0.01,3.28,0.29,,21.16,0.72,0.01,,,,,
6798,2016,63I004705,63I004,MACOMB HIGH SCHOOL,1.00,0.06,FTR,0.38,,19.80,FTR,FTR,,,,,
6799,2016,63I005705,63I005,EARLSBORO HIGH SCHOOL,0.96,0.04,3.15,0.21,,15.56,0.75,0.00,,,,,
6800,2016,63I092710,63I092,TECUMSEH HIGH SCHOOL,0.97,0.08,2.12,0.60,,19.03,0.86,0.02,,,,,
6801,2016,63I093705,63I093,SHAWNEE HIGH SCHOOL,0.98,0.11,3.01,0.41,,20.78,0.81,0.03,,,,,
6802,2016,63I112705,63I112,ASHER HIGH SCHOOL,1.00,0.05,3.26,1.00,,17.86,1.00,0.00,,,,,
6803,2016,63I115705,63I115,WANETTE HIGH SCHOOL,1.00,0.07,3.18,1.00,,18.89,0.93,0.00,,,,,
6804,2016,63I117705,63I117,MAUD HIGH SCHOOL,1.00,0.00,2.74,0.43,,18.58,0.76,0.00,,,,,
6805,2016,64I001705,64I001,RATTAN HIGH SCHOOL,1.00,0.00,3.15,1.07,,19.55,0.89,0.00,,,,,
6806,2016,64I010705,64I010,CLAYTON HIGH SCHOOL,1.00,0.03,3.21,0.90,,19.27,0.94,0.00,,,,,
6807,2016,64I013705,64I013,ANTLERS HIGH SCHOOL,1.00,0.02,2.97,0.84,,19.39,0.71,0.02,,,,,
6808,2016,64I022705,64I022,MOYERS HIGH SCHOOL,1.00,0.08,3.21,0.33,,20.18,0.83,0.00,,,,,
6809,2016,65I003705,65I003,LEEDEY HIGH SCHOOL,1.00,0.00,3.52,0.72,,20.68,0.95,0.05,,,,,
6810,2016,65I006705,65I006,REYDON HIGH SCHOOL,1.00,0.00,**,0.33,,**,1.00,0.33,,,,,
6811,2016,65I007705,65I007,CHEYENNE HIGH SCHOOL,1.00,0.14,3.33,0.64,,22.92,0.75,0.08,,,,,
6812,2016,65I015705,65I015,SWEETWATER HIGH SCHOOL,1.00,0.00,**,1.00,,**,1.00,0.00,,,,,
6813,2016,65I066705,65I066,HAMMON HIGH SCHOOL,1.00,0.00,3.24,0.60,,18.95,0.94,0.00,,,,,
6814,2016,66I001705,66I001,CLAREMORE HIGH SCHOOL,0.97,0.11,3.08,0.45,,21.54,0.83,0.07,,,,,
6815,2016,66I002705,66I002,CATOOSA HIGH SCHOOL,0.99,0.04,2.96,0.53,,18.26,0.93,0.02,,,,,
6816,2016,66I003705,66I003,CHELSEA HIGH SCHOOL,1.00,0.03,3.06,0.82,,18.95,0.67,0.01,,,,,
6817,2016,66I004705,66I004,OOLOGAH-TALALA HIGH SCHOOL,1.00,0.01,3.25,0.56,,20.55,0.02,0.10,,,,,
6818,2016,66I005715,66I005,INOLA HIGH SCHOOL,1.00,0.05,3.03,0.62,,19.90,1.00,0.02,,,,,
6819,2016,66I006705,66I006,SEQUOYAH HIGH SCHOOL,1.00,0.00,3.14,0.96,,21.91,0.93,0.04,,,,,
6820,2016,66I007705,66I007,FOYIL HIGH SCHOOL,1.00,0.05,3.04,0.69,,20.24,0.66,0.03,,,,,
6821,2016,66I008705,66I008,VERDIGRIS HIGH SCHOOL,0.98,0.04,3.14,0.12,,21.82,0.96,0.14,,,,,
6822,2016,67I001715,67I001,SEMINOLE HIGH SCHOOL,1.00,0.07,3.17,0.51,,20.10,0.83,0.01,,,,,
6823,2016,67I002705,67I002,WEWOKA HIGH SCHOOL,1.00,0.08,2.88,0.56,,17.75,0.97,0.03,,,,,
6824,2016,67I003705,67I003,BOWLEGS HIGH SCHOOL,1.00,0.00,3.20,0.38,,17.86,0.82,0.00,,,,,
6825,2016,67I004705,67I004,KONAWA HIGH SCHOOL,1.00,0.00,3.65,0.75,,19.70,0.86,0.00,,,,,
6826,2016,67I006705,67I006,NEW LIMA HIGH SCHOOL,0.96,0.04,2.75,0.22,,20.25,0.46,0.04,,,,,
6827,2016,67I007705,67I007,VARNUM HIGH SCHOOL,1.00,0.00,2.68,0.88,,18.36,0.94,0.00,,,,,
6828,2016,67I010705,67I010,SASAKWA HIGH SCHOOL,1.00,0.00,3.10,0.53,,19.67,1.00,0.00,,,,,
6829,2016,67I014705,67I014,STROTHER HIGH SCHOOL,1.00,0.00,3.04,0.88,,19.00,0.82,0.00,,,,,
6830,2016,67I015705,67I015,BUTNER HIGH SCHOOL,1.00,0.00,3.50,0.59,,19.00,0.88,0.00,,,,,
6831,2016,68I001705,68I001,SALLISAW HIGH SCHOOL,0.96,0.12,3.16,0.51,,20.56,0.86,0.06,,,,,
6832,2016,68I002705,68I002,VIAN HIGH SCHOOL,1.00,0.10,3.26,0.76,,19.03,0.96,0.00,,,,,
6833,2016,68I003705,68I003,MULDROW HIGH SCHOOL,0.99,0.07,3.22,0.62,,21.76,0.95,0.04,,,,,
6834,2016,68I004715,68I004,GANS HIGH SCHOOL,1.00,0.00,3.16,0.86,,19.88,0.23,0.05,,,,,
6835,2016,68I005705,68I005,ROLAND HIGH SCHOOL,0.99,0.09,3.22,0.81,,17.84,0.86,0.13,,,,,
6836,2016,68I006715,68I006,GORE HIGH SCHOOL,1.00,0.00,3.18,0.61,,19.88,1.00,0.04,,,,,
6837,2016,68I007705,68I007,CENTRAL HIGH SCHOOL,1.00,0.00,3.33,0.76,,20.86,1.00,0.06,,,,,
6838,2016,69I001705,69I001,DUNCAN HIGH SCHOOL,0.96,0.06,3.23,0.47,,19.36,0.82,0.05,,,,,
6839,2016,69I002705,69I002,COMANCHE HIGH SCHOOL,1.00,0.01,3.10,0.69,,20.85,0.84,0.07,,,,,
6840,2016,69I003705,69I003,MARLOW HIGH SCHOOL,0.99,0.05,3.02,0.71,,20.69,0.79,0.01,,,,,
6841,2016,69I015715,69I015,VELMA-ALMA HIGH SCHOOL,1.00,0.00,3.24,0.41,,18.88,1.00,0.00,,,,,
6842,2016,69I021715,69I021,EMPIRE HIGH SCHOOL,1.00,0.00,3.25,0.77,,18.24,1.00,0.00,,,,,
6843,2016,69I034705,69I034,CENTRAL HIGH HIGH SCHOOL,1.00,0.00,3.38,0.51,,20.81,1.00,0.03,,,,,
6844,2016,69I042705,69I042,BRAY-DOYLE HIGH SCHOOL,1.00,0.03,3.18,0.96,,19.60,0.68,0.00,,,,,
6845,2016,70I001705,70I001,YARBROUGH HIGH SCHOOL,1.00,0.00,**,0.00,,**,1.00,0.20,,,,,
6846,2016,70I008705,70I008,GUYMON HIGH SCHOOL,0.99,0.12,2.92,0.59,,16.90,1.00,0.12,,,,,
6847,2016,70I015705,70I015,HARDESTY HIGH SCHOOL,1.00,0.00,**,1.00,,**,1.00,0.33,,,,,
6848,2016,70I023715,70I023,HOOKER HIGH SCHOOL,0.97,0.03,3.05,0.67,,19.68,0.91,0.31,,,,,
6849,2016,70I053705,70I053,TYRONE HIGH SCHOOL,1.00,0.05,3.52,0.00,,19.44,1.00,0.29,,,,,
6850,2016,70I060705,70I060,GOODWELL HIGH SCHOOL,1.00,0.00,FTR,0.94,,20.20,FTR,FTR,,,,,
6851,2016,70I061705,70I061,TEXHOMA HIGH SCHOOL,1.00,0.04,3.51,0.48,,20.17,1.00,0.23,,,,,
6852,2016,71I008715,71I008,TIPTON HIGH SCHOOL,1.00,0.10,3.32,0.75,,21.88,0.72,0.00,,,,,
