Year,County,DistrictCode,District,School.Name,Site.Number,School.Code,"School Type",Hispanic,"Native American",Asian,"African American","Pacific Islander",White,"Two or More Races",Total
2014,POTTAWATOMIE,63I092,TECUMSEH,"CROSS TIMBERS ES",120,63I092120,"Elementary School",29,122,0,6,1,279,21,458
2015,POTTAWATOMIE,63I092,TECUMSEH,"CROSS TIMBERS ES",120,63I092120,"Elementary School",34,94,0,5,1,258,35,427
2016,POTTAWATOMIE,63I092,TECUMSEH,"CROSS TIMBERS ES",120,63I092120,"Elementary School",29,96,1,6,1,263,60,456
2014,POTTAWATOMIE,63I092,TECUMSEH,"JUVENILE CTR",705,63I092705,"High School",6,4,0,29,0,17,0,56
2015,POTTAWATOMIE,63I092,TECUMSEH,"JUVENILE CTR",705,63I092705,"High School",4,2,0,30,0,21,0,57
2014,POTTAWATOMIE,63I092,TECUMSEH,"KROUCH ES",115,63I092115,"Elementary School",14,54,1,3,0,164,52,288
2015,POTTAWATOMIE,63I092,TECUMSEH,"KROUCH ES",115,63I092115,"Elementary School",18,62,2,6,1,165,46,300
2016,POTTAWATOMIE,63I092,TECUMSEH,"KROUCH ES",115,63I092115,"Elementary School",17,57,0,6,1,169,31,281
2014,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH HS",710,63I092710,"High School",30,195,2,22,2,404,5,660
2015,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH HS",710,63I092710,"High School",31,199,3,20,2,418,12,685
2016,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH HS",710,63I092710,"High School",32,212,4,13,3,423,17,704
2014,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH MS",505,63I092505,"Middle School",36,157,3,13,1,255,32,497
2015,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH MS",505,63I092505,"Middle School",36,126,2,10,0,262,40,476
2016,POTTAWATOMIE,63I092,TECUMSEH,"TECUMSEH MS",505,63I092505,"Middle School",40,95,1,7,0,283,41,467
2014,COTTON,17I101,TEMPLE,"TEMPLE ES",105,17I101105,"Elementary School",11,15,0,15,0,70,1,112
2015,COTTON,17I101,TEMPLE,"TEMPLE ES",105,17I101105,"Elementary School",19,14,0,17,0,74,4,128
2016,COTTON,17I101,TEMPLE,"TEMPLE ES",105,17I101105,"Elementary School",19,12,0,16,0,80,4,131
2014,COTTON,17I101,TEMPLE,"TEMPLE HS",715,17I101715,"High School",10,2,0,6,0,32,3,53
