Year,County,DistrictCode,District,School.Name,Site.Number,School.Code,"School Type",Hispanic,"Native American",Asian,"African American","Pacific Islander",White,"Two or More Races",Total
2016,TULSA,72I004,BIXBY,"NORTHEAST ES AND IS",150,72I004150,"Elementary School",25,59,6,19,0,456,88,653
2014,KAY,36I045,BLACKWELL,"BLACKWELL ES",125,36I045125,"Elementary School",58,102,1,5,0,301,11,478
2015,KAY,36I045,BLACKWELL,"BLACKWELL ES",125,36I045125,"Elementary School",66,107,4,12,0,454,8,651
2016,KAY,36I045,BLACKWELL,"BLACKWELL ES",125,36I045125,"Elementary School",65,102,7,10,0,470,8,662
2014,KAY,36I045,BLACKWELL,"BLACKWELL HS",705,36I045705,"High School",51,66,1,3,0,273,1,395
2015,KAY,36I045,BLACKWELL,"BLACKWELL HS",705,36I045705,"High School",57,94,1,3,0,262,1,418
2016,KAY,36I045,BLACKWELL,"BLACKWELL HS",705,36I045705,"High School",56,114,2,3,0,241,0,416
2014,KAY,36I045,BLACKWELL,"BLACKWELL MS",505,36I045505,"Middle School",39,82,1,2,0,195,0,319
2015,KAY,36I045,BLACKWELL,"BLACKWELL MS",505,36I045505,"Middle School",39,91,1,4,0,174,0,309
2016,KAY,36I045,BLACKWELL,"BLACKWELL MS",505,36I045505,"Middle School",38,72,1,3,1,167,0,282
2014,KAY,36I045,BLACKWELL,"HUSTON EC CTR",105,36I045105,"Elementary School",21,17,2,4,0,166,0,210
2014,JACKSON,33I054,BLAIR,"BLAIR ES",105,33I054105,"Elementary School",49,11,1,5,0,138,1,205
2015,JACKSON,33I054,BLAIR,"BLAIR ES",105,33I054105,"Elementary School",55,14,1,8,0,126,3,207
2016,JACKSON,33I054,BLAIR,"BLAIR ES",105,33I054105,"Elementary School",62,12,1,7,0,136,3,221
2014,JACKSON,33I054,BLAIR,"BLAIR HS",705,33I054705,"High School",14,6,1,0,0,70,0,91
2015,JACKSON,33I054,BLAIR,"BLAIR HS",705,33I054705,"High School",14,3,1,2,0,69,0,89
2016,JACKSON,33I054,BLAIR,"BLAIR HS",705,33I054705,"High School",16,3,0,2,0,58,0,79
2014,MCCLAIN,47I029,BLANCHARD,"BLANCHARD ES",105,47I029105,"Elementary School",29,59,1,4,0,475,18,586
2015,MCCLAIN,47I029,BLANCHARD,"BLANCHARD ES",105,47I029105,"Elementary School",32,51,1,5,0,440,38,567
2016,MCCLAIN,47I029,BLANCHARD,"BLANCHARD ES",105,47I029105,"Elementary School",28,43,0,2,0,424,39,536
2014,MCCLAIN,47I029,BLANCHARD,"BLANCHARD HS",705,47I029705,"High School",36,43,1,8,0,408,20,516
2015,MCCLAIN,47I029,BLANCHARD,"BLANCHARD HS",705,47I029705,"High School",42,57,0,8,0,418,14,539
2016,MCCLAIN,47I029,BLANCHARD,"BLANCHARD HS",705,47I029705,"High School",45,72,1,7,0,410,15,550
2014,MCCLAIN,47I029,BLANCHARD,"BLANCHARD INTERMEDIATE ES",110,47I029110,"Elementary School",18,65,3,6,3,303,0,398
2015,MCCLAIN,47I029,BLANCHARD,"BLANCHARD INTERMEDIATE ES",110,47I029110,"Elementary School",23,66,2,4,0,318,1,414
2016,MCCLAIN,47I029,BLANCHARD,"BLANCHARD INTERMEDIATE ES",110,47I029110,"Elementary School",26,62,3,3,0,331,11,436
2014,MCCLAIN,47I029,BLANCHARD,"BLANCHARD MS",510,47I029510,"Middle School",16,57,4,3,0,300,5,385
2015,MCCLAIN,47I029,BLANCHARD,"BLANCHARD MS",510,47I029510,"Middle School",27,60,6,5,1,311,7,417
2016,MCCLAIN,47I029,BLANCHARD,"BLANCHARD MS",510,47I029510,"Middle School",29,72,4,6,2,304,3,420
2014,CRAIG,18I020,BLUEJACKET,"BLUEJACKET ES",105,18I020105,"Elementary School",4,34,1,0,0,36,6,81
2015,CRAIG,18I020,BLUEJACKET,"BLUEJACKET ES",105,18I020105,"Elementary School",0,33,1,0,0,31,6,71
2016,CRAIG,18I020,BLUEJACKET,"BLUEJACKET ES",105,18I020105,"Elementary School",0,29,1,0,0,51,4,85
2014,CRAIG,18I020,BLUEJACKET,"BLUEJACKET HS",705,18I020705,"High School",4,33,0,0,0,32,0,69
2015,CRAIG,18I020,BLUEJACKET,"BLUEJACKET HS",705,18I020705,"High School",1,31,0,0,0,35,4,71
2016,CRAIG,18I020,BLUEJACKET,"BLUEJACKET HS",705,18I020705,"High School",1,30,0,0,0,40,7,78
2014,CRAIG,18I020,BLUEJACKET,"BLUEJACKET MS",505,18I020505,"Middle School",0,29,0,0,0,24,1,54
2015,CRAIG,18I020,BLUEJACKET,"BLUEJACKET MS",505,18I020505,"Middle School",2,22,0,0,0,21,6,51
2016,CRAIG,18I020,BLUEJACKET,"BLUEJACKET MS",505,18I020505,"Middle School",2,27,0,0,0,24,8,61
2014,CIMARRON,13I002,"BOISE CITY","BOISE CITY ES",105,13I002105,"Elementary School",67,0,0,2,0,99,0,168
2015,CIMARRON,13I002,"BOISE CITY","BOISE CITY ES",105,13I002105,"Elementary School",72,0,0,0,2,95,1,170
2016,CIMARRON,13I002,"BOISE CITY","BOISE CITY ES",105,13I002105,"Elementary School",80,2,0,0,0,83,3,168
2014,CIMARRON,13I002,"BOISE CITY","BOISE CITY HS",705,13I002705,"High School",30,0,2,0,0,48,0,80
2015,CIMARRON,13I002,"BOISE CITY","BOISE CITY HS",705,13I002705,"High School",35,0,2,0,0,47,0,84
2016,CIMARRON,13I002,"BOISE CITY","BOISE CITY HS",705,13I002705,"High School",40,0,0,1,0,42,0,83
2014,CIMARRON,13I002,"BOISE CITY","BOISE CITY JHS",505,13I002505,"Middle School",18,0,0,0,0,20,0,38
2015,CIMARRON,13I002,"BOISE CITY","BOISE CITY JHS",505,13I002505,"Middle School",23,0,0,1,0,18,0,42
2016,CIMARRON,13I002,"BOISE CITY","BOISE CITY JHS",505,13I002505,"Middle School",21,0,0,0,0,19,2,42
2014,"LE FLORE",40I026,BOKOSHE,"BOKOSHE ES",105,40I026105,"Elementary School",4,30,0,1,0,74,2,111
2015,"LE FLORE",40I026,BOKOSHE,"BOKOSHE ES",105,40I026105,"Elementary School",9,32,0,4,0,83,4,132
2016,"LE FLORE",40I026,BOKOSHE,"BOKOSHE ES",105,40I026105,"Elementary School",7,29,0,2,0,90,2,130
2014,"LE FLORE",40I026,BOKOSHE,"BOKOSHE HS",715,40I026715,"High School",1,7,0,2,0,25,2,37
2015,"LE FLORE",40I026,BOKOSHE,"BOKOSHE HS",715,40I026715,"High School",1,10,1,1,0,27,1,41
2016,"LE FLORE",40I026,BOKOSHE,"BOKOSHE HS",715,40I026715,"High School",1,12,1,0,0,27,5,46
2014,"LE FLORE",40I026,BOKOSHE,"BOKOSHE JHS",615,40I026615,"Middle School",1,11,1,1,0,26,3,43
2015,"LE FLORE",40I026,BOKOSHE,"BOKOSHE JHS",615,40I026615,"Middle School",3,9,0,2,0,30,4,48
2016,"LE FLORE",40I026,BOKOSHE,"BOKOSHE JHS",615,40I026615,"Middle School",5,9,0,0,0,33,1,48
2014,CADDO,08I056,BOONE-APACHE,"APACHE ES",105,08I056105,"Elementary School",31,106,0,1,0,126,33,297
2015,CADDO,08I056,BOONE-APACHE,"APACHE ES",105,08I056105,"Elementary School",26,115,0,0,1,124,28,294
2016,CADDO,08I056,BOONE-APACHE,"APACHE ES",105,08I056105,"Elementary School",33,97,0,0,1,105,34,270
2014,CADDO,08I056,BOONE-APACHE,"APACHE HS",705,08I056705,"High School",15,49,0,3,0,66,20,153
2015,CADDO,08I056,BOONE-APACHE,"APACHE HS",705,08I056705,"High School",18,55,0,3,0,64,21,161
2016,CADDO,08I056,BOONE-APACHE,"APACHE HS",705,08I056705,"High School",15,64,0,1,0,61,26,167
2014,CADDO,08I056,BOONE-APACHE,"APACHE MS",505,08I056505,"Middle School",12,53,0,2,0,56,18,141
2015,CADDO,08I056,BOONE-APACHE,"APACHE MS",505,08I056505,"Middle School",18,48,0,0,0,57,25,148
2016,CADDO,08I056,BOONE-APACHE,"APACHE MS",505,08I056505,"Middle School",18,45,0,0,0,58,18,139
2014,CHOCTAW,12I001,BOSWELL,"BOSWELL ES",105,12I001105,"Elementary School",25,88,0,16,0,109,10,248
2015,CHOCTAW,12I001,BOSWELL,"BOSWELL ES",105,12I001105,"Elementary School",29,79,0,18,0,109,15,250
2016,CHOCTAW,12I001,BOSWELL,"BOSWELL ES",105,12I001105,"Elementary School",24,70,0,16,0,108,19,237
2014,CHOCTAW,12I001,BOSWELL,"BOSWELL HS",715,12I001715,"High School",3,47,0,2,0,31,0,83
2015,CHOCTAW,12I001,BOSWELL,"BOSWELL HS",715,12I001715,"High School",3,37,0,2,0,36,0,78
2016,CHOCTAW,12I001,BOSWELL,"BOSWELL HS",715,12I001715,"High School",1,36,0,4,0,45,0,86
2014,CHOCTAW,12I001,BOSWELL,"BOSWELL MS",515,12I001515,"Middle School",2,15,0,2,0,23,0,42
2015,CHOCTAW,12I001,BOSWELL,"BOSWELL MS",515,12I001515,"Middle School",1,18,0,5,0,27,0,51
2016,CHOCTAW,12I001,BOSWELL,"BOSWELL MS",515,12I001515,"Middle School",6,22,0,2,0,23,0,53
2014,SEMINOLE,67I003,BOWLEGS,"BOWLEGS ES",105,67I003105,"Elementary School",8,54,1,2,0,109,28,202
2015,SEMINOLE,67I003,BOWLEGS,"BOWLEGS ES",105,67I003105,"Elementary School",4,53,0,2,0,105,36,200
2016,SEMINOLE,67I003,BOWLEGS,"BOWLEGS ES",105,67I003105,"Elementary School",5,53,0,0,0,105,34,197
2014,SEMINOLE,67I003,BOWLEGS,"BOWLEGS HS",705,67I003705,"High School",6,19,0,0,0,49,16,90
2015,SEMINOLE,67I003,BOWLEGS,"BOWLEGS HS",705,67I003705,"High School",3,26,0,0,0,38,23,90
2016,SEMINOLE,67I003,BOWLEGS,"BOWLEGS HS",705,67I003705,"High School",3,24,0,0,0,34,20,81
2014,OSAGE,57C007,BOWRING,"BOWRING PUBLIC SCHOOL",105,57C007105,"Elementary School",5,34,0,3,0,44,1,87
2015,OSAGE,57C007,BOWRING,"BOWRING PUBLIC SCHOOL",105,57C007105,"Elementary School",5,26,0,2,0,42,0,75
2016,OSAGE,57C007,BOWRING,"BOWRING PUBLIC SCHOOL",105,57C007105,"Elementary School",6,32,0,1,0,38,1,78
2014,MUSKOGEE,51I046,BRAGGS,"BRAGGS ES",105,51I046105,"Elementary School",4,59,0,1,0,69,2,135
2015,MUSKOGEE,51I046,BRAGGS,"BRAGGS ES",105,51I046105,"Elementary School",3,58,0,0,0,63,1,125
2016,MUSKOGEE,51I046,BRAGGS,"BRAGGS ES",105,51I046105,"Elementary School",8,60,1,0,0,62,1,132
2014,MUSKOGEE,51I046,BRAGGS,"BRAGGS HS",705,51I046705,"High School",1,29,0,0,0,24,1,55
2015,MUSKOGEE,51I046,BRAGGS,"BRAGGS HS",705,51I046705,"High School",2,25,0,1,0,24,0,52
2016,MUSKOGEE,51I046,BRAGGS,"BRAGGS HS",705,51I046705,"High School",1,31,0,2,0,28,0,62
2014,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE ES",105,69I042105,"Elementary School",6,8,0,0,0,249,15,278
2015,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE ES",105,69I042105,"Elementary School",6,15,0,0,0,236,12,269
2016,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE ES",105,69I042105,"Elementary School",6,13,0,0,0,215,23,257
2014,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE HS",705,69I042705,"High School",6,5,0,0,1,89,16,117
2015,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE HS",705,69I042705,"High School",8,3,0,0,1,79,11,102
2016,STEPHENS,69I042,BRAY-DOYLE,"BRAY-DOYLE HS",705,69I042705,"High School",6,2,0,0,1,87,12,108
