Year,SchoolName,SchoolCode,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2014,"AGRA HS",41I134705,"High School",0.0385,0.3846,0.0000,0.0192,0.0000,0.5577,0.0000,104
2015,"AGRA HS",41I134705,"High School",0.0280,0.3458,0.0000,0.0093,0.0000,0.6168,0.0000,107
2016,"AGRA HS",41I134705,"High School",0.0532,0.3830,0.0000,0.0319,0.0000,0.5319,0.0000,94
2014,"ALBION PUBLIC SCHOOL",64C002105,"Elementary School",0.0375,0.6625,0.0000,0.0250,0.0000,0.2375,0.0375,80
2015,"ALBION PUBLIC SCHOOL",64C002105,"Elementary School",0.0256,0.5256,0.0000,0.0256,0.0000,0.3974,0.0256,78
2016,"ALBION PUBLIC SCHOOL",64C002105,"Elementary School",0.0000,0.5342,0.0000,0.0274,0.0000,0.4247,0.0137,73
2014,"ALEX ES",26I056105,"Elementary School",0.0187,0.0374,0.0000,0.0093,0.0000,0.9065,0.0280,214
2015,"ALEX ES",26I056105,"Elementary School",0.0144,0.0865,0.0000,0.0096,0.0000,0.8269,0.0625,208
2016,"ALEX ES",26I056105,"Elementary School",0.0264,0.0925,0.0000,0.0264,0.0000,0.7841,0.0705,227
2014,"ALEX HS",26I056715,"High School",0.0865,0.0769,0.0000,0.0192,0.0096,0.7596,0.0481,104
2015,"ALEX HS",26I056715,"High School",0.0891,0.0495,0.0000,0.0099,0.0099,0.8020,0.0396,101
2016,"ALEX HS",26I056715,"High School",0.0435,0.0435,0.0000,0.0000,0.0109,0.8587,0.0435,92
2014,"ALEXIS RAINBOW CS",55G003973,"Charter School",0.0000,0.0000,0.0000,0.9130,0.0000,0.0000,0.0870,46
2015,"ALEXIS RAINBOW CS",55G003973,"Charter School",0.0147,0.0000,0.0294,0.8971,0.0000,0.0147,0.0441,68
2014,"ALINE-CLEO ES",44I004105,"Elementary School",0.0625,0.0446,0.0000,0.0000,0.0000,0.8750,0.0179,112
2015,"ALINE-CLEO ES",44I004105,"Elementary School",0.0826,0.0000,0.0000,0.0000,0.0000,0.8991,0.0183,109
2016,"ALINE-CLEO ES",44I004105,"Elementary School",0.0288,0.0000,0.0000,0.0000,0.0000,0.9327,0.0385,104
2014,"ALINE-CLEO HS",44I004705,"High School",0.0233,0.0465,0.0000,0.0000,0.0000,0.9070,0.0233,43
2015,"ALINE-CLEO HS",44I004705,"High School",0.0000,0.0652,0.0000,0.0000,0.0000,0.9130,0.0217,46
2016,"ALINE-CLEO HS",44I004705,"High School",0.0200,0.0400,0.0200,0.0000,0.0000,0.9000,0.0200,50
2014,"ALLEN ES",62I001105,"Elementary School",0.0174,0.3663,0.0029,0.0087,0.0058,0.5988,0.0000,344
2015,"ALLEN ES",62I001105,"Elementary School",0.0244,0.3821,0.0054,0.0054,0.0054,0.5474,0.0298,369
2016,"ALLEN ES",62I001105,"Elementary School",0.0276,0.3729,0.0028,0.0083,0.0055,0.5442,0.0387,362
2014,"ALLEN HS",62I001705,"High School",0.0077,0.3769,0.0000,0.0000,0.0000,0.6154,0.0000,130
2015,"ALLEN HS",62I001705,"High School",0.0290,0.3043,0.0000,0.0000,0.0000,0.6667,0.0000,138
2016,"ALLEN HS",62I001705,"High School",0.0360,0.3669,0.0072,0.0072,0.0000,0.5827,0.0000,139
2014,"ALLEN-BOWDEN PUBLIC SCHOOL",19C035105,"Elementary School",0.1016,0.3385,0.0000,0.0104,0.0026,0.5260,0.0208,384
2015,"ALLEN-BOWDEN PUBLIC SCHOOL",19C035105,"Elementary School",0.1126,0.3298,0.0000,0.0026,0.0026,0.5445,0.0079,382
2016,"ALLEN-BOWDEN PUBLIC SCHOOL",19C035105,"Elementary School",0.1315,0.2903,0.0000,0.0050,0.0025,0.5558,0.0149,403
2014,"ALTUS HS",33I018705,"High School",0.3311,0.0143,0.0132,0.0717,0.0022,0.4834,0.0839,906
2015,"ALTUS HS",33I018705,"High School",0.3483,0.0067,0.0135,0.0798,0.0045,0.4629,0.0843,890
2016,"ALTUS HS",33I018705,"High School",0.3543,0.0077,0.0143,0.0706,0.0044,0.4680,0.0806,906
2014,"ALTUS INTERMEDIATE SCHOOL",33I018145,"Elementary School",0.4087,0.0095,0.0133,0.0894,0.0057,0.3916,0.0817,526
2015,"ALTUS INTERMEDIATE SCHOOL",33I018145,"Elementary School",0.4061,0.0162,0.0081,0.0869,0.0020,0.3798,0.1010,495
2016,"ALTUS INTERMEDIATE SCHOOL",33I018145,"Elementary School",0.4202,0.0090,0.0135,0.0629,0.0112,0.3640,0.1191,445
