,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
4325,2014,08I064105,CYRIL ES,68,44323.0,23210.0,0.08,0.11,0.24,0.72,0.12,0.79,0.1,192,11.0,43760.64,0.182,18.32,1.0,0.29,1.71,1.0,Elementary School,0.099,0.2031,0.0052,0.0052,0.0,0.6302,0.0573,192.0,0.1953,0.37,0.4347,0.0486,0.19,0.7614,0.0,0.81,0.19,0.0,0.31,0.69,0.0,0.73,0.27,0.0,0.47,0.53,0.027999999999999997,0.6,0.37200000000000005,0.0689,0.47,0.4611,0.027999999999999997,0.6,0.37200000000000005,0.042,0.4,0.5579999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,2014,08I167105,FORT COBB-BROXTON LOWER ES,78,51576.0,25730.0,0.09,0.24,0.34,0.75,0.19,0.67,0.14,177,10.29,46537.33,0.41700000000000004,21.32,0.71,0.29,0.43,0.5,Elementary School,0.0452,0.2486,0.0,0.0113,0.0,0.5989,0.096,177.0,0.38,0.0,0.62,0.0,0.19,0.81,0.3078,0.19,0.5022,0.1053,0.19,0.7047,0.395,0.21,0.395,0.0975,0.25,0.6525,0.0264,0.67,0.3036,0.1491,0.29,0.5609,,,,,,,,,,,,,,,,,,,,,,,,,0.1139,0.33,0.5561,,,,,,,,,,,,,,,,,,
4327,2014,08I161105,HINTON ES,82,56767.0,54278.0,0.05,0.21,0.36,0.54,0.09,0.71,0.2,386,20.12,41865.98,0.348,11.12,1.0,1.0,1.0,0.9,Elementary School,0.2228,0.0259,0.0,0.0052,0.0052,0.6244,0.1166,386.0,0.3626,0.02,0.6174,0.0,0.07,0.93,0.3154,0.17,0.5146,0.0,0.24,0.76,0.2511,0.19,0.5589,0.0432,0.28,0.6768,0.1056,0.34,0.5544,0.7098,0.09,0.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4328,2014,08I011105,HYDRO-EAKLY ES,92,53422.0,42955.0,0.06,0.15,0.24,0.65,0.19,0.65,0.16,226,15.84,37260.88,0.063,11.26,1.4,0.33,0.33,1.33,Elementary School,0.1726,0.0398,0.0,0.0088,0.0,0.7611,0.0177,226.0,0.3,0.0,0.7,0.0,0.04,0.96,0.63,0.0,0.37,0.23,0.08,0.69,0.4608,0.04,0.4992,0.2576,0.08,0.6624,0.2016,0.28,0.5184,0.4368,0.16,0.4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329,2014,09I076105,CALUMET ES,73,69144.0,241969.0,0.08,0.12,0.31,0.69,0.16,0.7,0.14,149,10.75,39530.42,0.221,5.21,0.5,0.38,0.25,0.75,Elementary School,0.0604,0.2617,0.0,0.0134,0.0,0.6309,0.0336,149.0,0.055999999999999994,0.2,0.7440000000000001,0.0,0.0,1.0,0.0448,0.36,0.5952,0.0,0.43,0.57,0.0748,0.32,0.6052,0.037000000000000005,0.26,0.703,0.021,0.58,0.39899999999999997,0.53,0.0,0.47,0.0852,0.29,0.6248,0.0708,0.41,0.5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330,2014,09I034120,LINCOLN ES,73,56232.0,24091.0,0.08,0.14,0.37,0.76,0.09,0.75,0.16,315,17.5,42024.23,0.171,11.26,1.51,0.4,1.51,2.0,Elementary School,0.2317,0.1302,0.0,0.0159,0.0,0.4825,0.1397,315.0,0.1116,0.38,0.5084,0.015,0.25,0.735,0.2158,0.17,0.6142,0.0073,0.27,0.7227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4331,2014,09I034130,WEBSTER ES,80,56232.0,24091.0,0.08,0.14,0.37,0.79,0.09,0.75,0.16,152,10.22,43217.43,0.469,11.95,1.0,0.5,0.51,1.0,Elementary School,0.2763,0.1316,0.0,0.0263,0.0,0.4671,0.0987,152.0,,,,,,,,,,,,,0.387,0.1,0.513,0.0632,0.21,0.7268,0.0378,0.46,0.5022,0.3698,0.14,0.4902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,2014,09I069145,CANYON RIDGE IES,80,78773.0,41668.0,0.05,0.05,0.25,0.38,0.26,0.67,0.08,794,45.17,43235.64,0.111,8.74,6.0,2.0,1.5,2.0,Elementary School,0.1008,0.0529,0.0617,0.0453,0.0025,0.6562,0.0806,794.0,,,,,,,,,,,,,0.3528,0.16,0.4872,0.077,0.23,0.693,0.1216,0.36,0.5184,0.5824,0.09,0.3276,0.3306,0.13,0.5394,0.0962,0.26,0.6438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4333,2014,09I069135,MUSTANG CENTENNIAL ES,68,78773.0,41668.0,0.05,0.05,0.25,0.43,0.26,0.67,0.08,542,32.5,43419.66,0.077,9.85,4.0,2.0,2.83,1.95,Elementary School,0.0959,0.0701,0.0258,0.0166,0.0037,0.6771,0.1107,542.0,0.1575,0.25,0.5925,0.016,0.2,0.784,0.1159,0.39,0.4941,0.0312,0.22,0.7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4334,2014,09I069125,MUSTANG CREEK ES,80,78773.0,41668.0,0.05,0.05,0.25,0.38,0.26,0.67,0.08,700,43.32,42736.75,0.171,8.1,3.52,2.0,2.75,2.0,Elementary School,0.07,0.05,0.0614,0.0243,0.0057,0.6757,0.1129,700.0,0.2044,0.27,0.5256,0.0158,0.21,0.7742,0.2106,0.22,0.5694,0.040999999999999995,0.18,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4335,2014,09I069105,MUSTANG ES,63,78773.0,41668.0,0.05,0.05,0.25,0.44,0.26,0.67,0.08,522,33.58,41548.81,0.134,6.33,2.0,2.0,1.75,2.0,Elementary School,0.1034,0.0479,0.0134,0.0192,0.0,0.7222,0.0939,522.0,0.031,0.38,0.589,0.0062,0.38,0.6138,0.09,0.4,0.51,0.0,0.37,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
