Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2016,70I008105,70I008,ACADEMY ELEMENTARY,57774.88,46316.85,0.04,0.11,0.3,0.853,0.17,0.47,0.36,416,26.32,44734.14,0.152,10.86,1.29,1,0.43,1
2014,07I003105,07I003,ACHILLE ELEMENTARY,53922,79152,0.09,0.11,0.24,0.8,0.15,0.7,0.16,205,12.99,41991.3,0.253,14.53,1.43,0.14,1,1
2015,07I003105,07I003,ACHILLE ELEMENTARY,50408.51,96025.77,0.13,0.14,0.31,0.813,0.15,0.68,0.17,214,12.86,41722.02,0.3,12.38,1.43,0.57,0.29,0.71
2016,07I003105,07I003,ACHILLE ELEMENTARY,53538.68,92130.7,0.12,0.13,0.28,0.799,0.15,0.7,0.15,224,13.24,41030.97,0.297,12.96,1.43,0.57,0.29,1.14
2014,07I003705,07I003,ACHILLE HIGH SCHOOL,53922,79152,0.09,0.11,0.24,0.65,0.15,0.7,0.16,97,8.14,42555.2,0.176,9.24,0.57,0.57,0.43,0.57
2015,07I003705,07I003,ACHILLE HIGH SCHOOL,50408.51,96025.77,0.13,0.14,0.31,0.7,0.15,0.68,0.17,100,6.86,44367.6,0.271,11.13,0.57,0.43,0.18,0.57
2016,07I003705,07I003,ACHILLE HIGH SCHOOL,53538.68,92130.7,0.12,0.13,0.28,0.66,0.15,0.7,0.15,100,5.86,46423.43,0.317,14.12,0.57,0.43,0.37,0.43
2014,62I019105,62I019,ADA EC CENTER,47161,36217,0.09,0.26,0.46,0.73,0.33,0.54,0.14,456,22.84,42861.25,0.781,11.01,4,1,5.37,1
2015,62I019105,62I019,ADA EC CENTER,46854.09,36762.37,0.09,0.26,0.47,0.722,0.33,0.54,0.13,493,23.39,42308.01,0.658,9.91,4,1,5.37,1
2016,62I019105,62I019,ADA EC CENTER,46836.28,38544.84,0.07,0.25,0.44,0.748,0.32,0.55,0.13,420,24,42867.25,0.583,11.33,4,1,3.8,1
