,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory
608,2016,07I004110,WARD ES WEST,91.0,48570.16,24401.83,0.14,0.16,0.27,0.8009999999999999,0.12,0.68,0.21,351.0,17.31,40879.92,0.305,15.13,2.0,0.5,0.57,1.0,0.1083,0.3875,0.0057,0.0285,0.0,0.4672,0.0028,351.0,0.396,0.12,0.484,0.044000000000000004,0.12,0.836,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
609,2016,07I072125,DURANT INTERMEDIATE ES,76.0,46828.37,34806.95,0.08,0.25,0.38,0.721,0.25,0.57,0.18,748.0,41.03,51371.18,0.7559999999999999,15.87,7.0,2.0,2.0,2.0,0.1257,0.2447,0.0134,0.0281,0.0013,0.508,0.0789,748.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.2268,0.16,0.6132,0.017,0.15,0.833,0.1975,0.21,0.5925,0.0902,0.18,0.7298,0.1872,0.28,0.5328,0.4488,0.12,0.4312
610,2016,07I072115,NORTHWEST HEIGHTS ES,99.0,46828.37,34806.95,0.08,0.25,0.38,0.674,0.25,0.57,0.18,632.0,30.0,49695.63,0.633,15.07,3.0,1.2,2.0,2.0,0.1408,0.2136,0.0111,0.0111,0.0032,0.5332,0.087,632.0,0.4368,0.09,0.4732,0.1455,0.03,0.8245,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
611,2016,07I072110,ROBERT E. LEE ES,89.0,46828.37,34806.95,0.08,0.25,0.38,0.982,0.25,0.57,0.18,270.0,9.29,44781.92,0.408,9.81,2.0,1.0,2.0,1.0,0.1815,0.2407,0.0,0.0259,0.0,0.4407,0.1111,270.0,0.285,0.05,0.665,0.05,0.0,0.95,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
612,2016,07I072105,WASHINGTON IRVING ES,95.0,46828.37,34806.95,0.08,0.25,0.38,0.769,0.25,0.57,0.18,610.0,29.0,47557.72,0.655,11.21,3.0,1.2,2.0,2.0,0.1197,0.2377,0.0033,0.0262,0.0016,0.5115,0.1,610.0,0.4136,0.06,0.5264,0.0828,0.08,0.8372,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
613,2016,08I020105,ANADARKO EAST ES,62.0,53555.52,17880.33,0.14,0.31,0.44,0.938,0.18,0.68,0.14,290.0,16.62,43312.65,0.22399999999999998,14.81,1.08,1.0,1.7,1.2,0.1517,0.6828,0.0034,0.0345,0.0,0.1276,0.0,290.0,0.2263,0.27,0.5037,0.0255,0.15,0.8245,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
614,2016,08I020120,MISSION ES,62.0,53555.52,17880.33,0.14,0.31,0.44,0.909,0.18,0.68,0.14,394.0,16.65,44169.51,0.365,13.12,0.79,1.0,1.92,1.2,0.1827,0.6218,0.0025,0.0406,0.0,0.1497,0.0025,394.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.1035,0.31,0.5865,0.013000000000000001,0.35,0.637,0.0885,0.41,0.5015,0.0336,0.44,0.5264,0.0124,0.69,0.2976,0.0528,0.56,0.3872
615,2016,08I056105,APACHE ES,75.0,57878.19,43627.17,0.13,0.17,0.37,0.8440000000000001,0.19,0.68,0.13,270.0,15.43,43816.77,0.19399999999999998,16.78,1.0,0.0,1.0,1.0,0.1222,0.3593,0.0,0.0,0.0037,0.3889,0.1259,270.0,0.2788,0.32,0.4012,0.0,0.18,0.82,0.18600000000000003,0.07,0.7440000000000001,0.0,0.3,0.7,0.3393,0.13,0.5307,0.1053,0.19,0.7047,0.0976,0.39,0.5124,0.43200000000000005,0.1,0.46799999999999997
616,2016,08I033105,CARNEGIE ES,87.0,43842.23,29746.02,0.09,0.23,0.33,0.867,0.13,0.68,0.18,300.0,17.29,45163.54,0.364,18.54,1.0,1.0,1.0,1.0,0.19,0.3133,0.0033,0.0033,0.0,0.3,0.19,300.0,0.16,0.2,0.64,0.1152,0.04,0.8448,0.3007,0.03,0.6693,0.063,0.1,0.8370000000000001,0.6674,0.06,0.2726,0.1786,0.06,0.7614,0.1403,0.39,0.4697,0.2106,0.19,0.5994
617,2016,08I064105,CYRIL ES,71.0,45483.89,18897.38,0.11,0.16,0.16,0.737,0.18,0.74,0.09,243.0,12.93,43456.65,0.07200000000000001,18.15,1.0,0.29,1.29,1.0,0.0988,0.1852,0.0,0.0082,0.0041,0.6379,0.0658,243.0,0.2368,0.26,0.5032,0.0,0.05,0.95,0.1258,0.26,0.6142,0.0,0.48,0.52,0.3431,0.27,0.3869,0.174,0.13,0.696,0.146,0.27,0.584,0.4371,0.07,0.4929
