RecordNumber,YR,SchoolCode,DistrictCode,Site,ReadingRemediation,PTConfAttendence,AvgDaysAbsent,Mobility,SuspRatioLess10,SuspRatioGreat10,AvgVolunteerHrs,FRL,SpecialEd
,2016,01C019105,01C019,PEAVINE  ELEMENTARY,0.463,0.2,10.2129,0.27972,0,0,0.39683,0.9048,0.2222
,2016,01C022105,01C022,MARYETTA ELEMENTARY,0.301,0.8,8.8698,0.04505,136.2,0,2.56975,0.7797,0.2056
,2016,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,0.1481,0.86,9.5314,0.10363,0,0,1.48936,0.7766,0.1862
,2016,01C028105,01C028,ZION ELEMENTARY,0.3913,0.63,6.6397,0.06628,0,0,0.20455,0.8068,0.1591
,2016,01C029105,01C029,DAHLONEGAH ELEMENTARY,0.3333,1,7.8589,0,,,1.492537313,1,0.3507
,2016,01C032105,01C032,GREASY ELEMENTARY,0.6111,,13.5846,,,,,0.8778,0.3111
,2016,01I004105,01I004,WATTS ELEMENTARY,0.4167,0.35,10.1647,0.14583,49.75,0,1.38191,0.8392,0.206
,2016,01I004705,01I004,WATTS HIGH SCHOOL,0,0.4,12.1988,0.10526,16.14286,0,1.41593,0.7345,0.1681
,2016,01I011105,01I011,WESTVILLE ELEMENTARY,0.4667,0.89,8.5829,0.08571,651,0,2.57143,0.8233,0.1475
,2016,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,0,0.52,10.0487,0.12834,44,0,0,0.8068,0.1136
,2016,01I011705,01I011,WESTVILLE HIGH SCHOOL,0,0.58,11.3647,0.08615,27.66667,332,2.87048,0.7139,0.1446
,2016,01I025105,01I025,STILWELL ELEMENTARY,0.6177,0.68,12.006,0.13203,411,205.5,3.04015,0.9659,0.2092
,2016,01I025505,01I025,STILWELL MIDDLE SCHOOL,0,0.75,10.2541,0.08077,32.125,32.125,2.72374,0.8677,0.2685
,2016,01I025705,01I025,STILWELL HIGH SCHOOL,0,0.41,13.8357,0.03877,330,55,0.90909,0.8606,0.2045
,2016,01I030105,01I030,CAVE SPRINGS ELEMENTARY,0.5484,0.45,11.1073,0.13889,0,0,115.53846,0.9487,0.2051
,2016,01I030505,01I030,CAVE SPRINGS MIDDLE SCHOOL,0,0.3,5.4439,0.275,18.5,0,121.78378,0.9189,0.2162
,2016,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,0,0.3,9.1892,0.16239,35.66667,35.66667,43.06542,0.9065,0.2897
,2016,02I001105,02I001,BURLINGTON ELEMENTARY,0.1429,0.93,5.5758,0.03008,32.75,0,0,0.4733,0.1985
,2016,02I001705,02I001,BURLINGTON HIGH SCHOOL,0,0.83,5.6396,0,41,0,0,0.2927,0.2439
,2016,02I046105,02I046,CHEROKEE ELEMENTARY,0.2975,0.85,8.4288,0.09524,0,0,0.18421,0.5702,0.1798
,2016,02I046510,02I046,CHEROKEE MIDDLE SCHOOL,0,0.65,4.3222,0.02353,44.5,0,0,0.4607,0.191
,2016,02I046705,02I046,CHEROKEE HIGH SCHOOL,0,0.55,6.0095,0.04717,52.5,52.5,0,0.4857,0.1905
,2016,02I093105,02I093,TIMBERLAKE ELEMENTARY,0.1563,0.97,10.1646,0.08163,67.66667,0,0.98522,0.5222,0.1773
,2016,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,0,0.6,9.0299,0.04286,12.16667,0,1.36986,0.4795,0.3151
,2016,03C021105,03C021,HARMONY ELEMENTARY,0.1642,0.74,7.4309,0.09569,0,0,1.25,0.855,0.315
,2016,03C022105,03C022,LANE ELEMENTARY,0.7115,0.8,5.5512,0.10227,0,0,1.75097,0.7471,0.3891
,2016,03I007105,03I007,STRINGTOWN ELEMENTARY,0.0893,0.67,6.8872,0.08451,0,0,2.66225,0.8874,0.2185
,2016,03I007705,03I007,STRINGTOWN HIGH SCHOOL,0,0.43,3.9095,0.12903,0,0,0.26214,0.6796,0.301
,2016,03I015120,03I015,ATOKA ELEMENTARY,0.2385,0.88,8.3731,0.13319,8.52727,0,7.46269,0.8593,0.2964
,2016,03I015505,03I015,McCALL MIDDLE SCHOOL,0,0.65,9.8357,0.10695,8,64,0.52083,0.6771,0.2031
,2016,03I015705,03I015,ATOKA HIGH SCHOOL,0,0.3,14.8616,0.05215,9.30556,111.66667,2.53731,0.5672,0.2119
,2016,03I019105,03I019,TUSHKA ELEMENTARY,0.2069,0.8,7.1925,0.07116,134.5,0,3.71747,0.6691,0.2045
,2016,03I019705,03I019,TUSHKA HIGH SCHOOL,0,0.6,9.3196,0.01887,80.5,0,5.52795,0.5155,0.1988
