,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Geography_Advanced,7_Geography_Below_Satisfactory,7_Geography_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,8_Writing_Advanced,8_Writing_Below_Satisfactory,8_Writing_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,ELA_ExamCounty,ELA_GrowthIndex,Math_ExamCounty,Math_GrowthIndex,Science_ExamCounty,Science_GrowthIndex,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,Writing_ExamCounty,Writing_GrowthIndex,Overall_ExamCounty,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,DropOutRate,DropOutRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
3316,2014,PONTOTOC,STONEWALL,MCLISH MS,62I030515,80.0,B-,62I030,49699.0,53667.0,0.06,0.21,0.36,0.82,0.25,0.59,0.16,130.0,4.84,44752.63,1.0,15.82,1.14,0.1,0.45,1.14,Middle School,0.0231,0.4231,0.0077,0.0154,0.0,0.5,0.0308,0.0,0.7,0.0783,0.13,0.7917,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.3649,0.11,0.5251,0.2937,0.11,0.5963,0.245,0.3,0.455,0.0572,0.56,0.3828,0.0747,0.17,0.7553,0.14300000000000002,0.35,0.507,0.0172,0.57,0.4128,50.0,25.0,25.0,8.0,68.0,114.0,73.0,114.0,77.0,57.0,47.0,58.0,71.0,0.17940199335548174,1.3687707641196014,343.0,70.0,24.0,63.0,25.0,68.0,49.0,65.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
3317,2015,POTTAWATOMIE,BETHEL,BETHEL MS,63I003505,78.0,C+,63I003,72417.41,19837.75,0.05,0.11,0.2,0.503,0.16,0.76,0.07,320.0,19.25,43469.2,0.23399999999999999,15.97,2.0,1.0,0.33,1.38,Middle School,0.0156,0.1844,0.0094,0.0063,0.0,0.7719,0.0125,0.08,0.7084,0.0395,0.21,0.7505,0.616,0.12,0.264,0.20800000000000002,0.2,0.5920000000000001,0.243,0.1,0.657,0.4233,0.17,0.4067,0.1782,0.19,0.6318,0.27899999999999997,0.07,0.6509999999999999,0.1292,0.32,0.5508,0.172,0.14,0.688,50.0,25.0,25.0,8.0,78.0,305.0,78.0,305.0,74.0,118.0,60.0,207.0,81.0,0.0,0.0,935.0,75.0,73.0,48.0,73.0,52.0,146.0,50.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
3318,2015,WASHINGTON,DEWEY,DEWEY MS,74I007510,79.0,C+,74I007,52248.27,24474.44,0.07,0.14,0.35,0.513,0.11,0.77,0.13,273.0,15.52,40130.2,0.273,12.21,2.29,1.0,1.42,2.14,Middle School,0.0476,0.2308,0.0,0.0403,0.0,0.6447,0.0366,0.14,0.6536,0.0225,0.25,0.7275,0.273,0.22,0.507,0.315,0.1,0.585,0.3492,0.03,0.6208,0.1113,0.47,0.4187,0.1743,0.17,0.6557,0.12300000000000001,0.18,0.6970000000000001,0.042,0.58,0.37799999999999995,0.0924,0.23,0.6776,50.0,25.0,25.0,8.0,79.0,262.0,77.0,262.0,79.0,82.0,38.0,171.0,60.0,0.0,0.0,777.0,70.0,64.0,61.0,64.0,59.0,128.0,60.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
3320,2014,LOGAN,GUTHRIE,GUTHRIE JHS,42I001610,82.0,B-,42I001,58627.0,36044.0,0.05,0.17,0.26,0.66,0.2,0.67,0.13,508.0,31.8,42680.52,0.28300000000000003,12.57,3.32,1.0,2.17,2.0,Middle School,0.0689,0.0413,0.0,0.063,0.0,0.7028,0.124,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.287,0.18,0.5329999999999999,0.1826,0.17,0.6474,0.1768,0.32,0.5032,0.1518,0.31,0.5382,0.1092,0.16,0.7308,0.0986,0.42,0.4814,0.0,0.75,0.25,50.0,25.0,25.0,10.0,84.0,466.0,74.0,466.0,70.0,127.2373949579832,49.72478991596638,235.0,65.0,0.17940199335548174,1.3687707641196014,1400.0,68.0,106.0,65.0,106.0,82.0,212.0,74.0,0.94,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
3321,2015,PAWNEE,CLEVELAND,CLEVELAND MS,59I006505,61.0,D-,59I006,57592.78,31134.95,0.08,0.13,0.3,0.682,0.16,0.71,0.13,380.0,23.52,45934.45,0.318,13.11,3.0,0.83,1.36,2.0,Middle School,0.0316,0.1947,0.0026,0.0053,0.0026,0.7289,0.0342,0.22,0.6162,0.0462,0.23,0.7238,0.1248,0.52,0.3552,0.069,0.31,0.621,0.135,0.25,0.615,0.1953,0.37,0.4347,0.0938,0.33,0.5762,0.1368,0.24,0.6232,0.156,0.35,0.494,0.1053,0.19,0.7047,50.0,25.0,25.0,2.0,61.0,348.0,67.0,347.0,63.0,106.0,59.0,222.0,50.0,0.0,0.0,1023.0,61.0,84.0,52.0,84.0,33.0,168.0,43.0,0.93,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
3322,2014,OKFUSKEE,WELEETKA,WELEETKA JHS,54I031610,59.0,F,54I031,46510.0,35345.0,0.11,0.28,0.25,0.86,0.12,0.71,0.17,90.0,4.39,39311.11,0.163,9.58,0.8,0.29,0.24,0.0,Middle School,0.0444,0.3,0.0,0.0222,0.0,0.4111,0.2222,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.1587,0.31,0.5313,0.1955,0.15,0.6545,0.048,0.52,0.43200000000000005,0.1083,0.43,0.4617,0.0,0.29,0.71,0.0145,0.71,0.2755,0.0,0.38,0.62,50.0,25.0,25.0,0.0,63.0,52.0,58.0,67.0,54.0,34.0,24.0,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,184.0,48.0,10.0,30.0,13.0,54.0,23.0,43.0,0.94,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
3324,2014,GARVIN,STRATFORD,STRATFORD MS,25I002505,77.0,C+,25I002,46636.0,19351.0,0.09,0.23,0.27,0.7,0.17,0.67,0.16,155.0,9.76,41230.53,0.281,8.78,1.0,0.55,1.5,0.99,Middle School,0.0129,0.2839,0.0,0.0,0.0,0.671,0.0323,0.46,0.4374,0.0432,0.46,0.4968,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.2755,0.05,0.6745,0.1496,0.12,0.7304,0.268,0.33,0.402,0.3686,0.03,0.6014,0.1209,0.07,0.8091,0.0539,0.51,0.4361,0.0836,0.24,0.6764,50.0,25.0,25.0,8.0,82.0,147.0,73.0,147.0,79.0,54.0,44.0,55.0,62.0,0.17940199335548174,1.3687707641196014,403.0,70.0,34.0,56.0,34.0,50.0,68.0,53.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
3325,2015,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,26I128615,86.0,B,26I128,75419.63,65279.89,0.03,0.1,0.17,0.478,0.21,0.64,0.15,113.0,5.95,40494.37,0.262,13.08,0.86,0.29,0.53,0.5,Middle School,0.0265,0.0442,0.0,0.0088,0.0,0.8584,0.0619,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.7031,0.11,0.1869,0.3999,0.07,0.5301,0.1869,0.11,0.7031,0.3956,0.14,0.4644,0.12,0.2,0.68,0.23,0.0,0.77,0.1875,0.25,0.5625,0.3007,0.03,0.6693,50.0,25.0,25.0,8.0,86.0,60.0,90.0,108.0,83.0,73.0,56.0,65.0,82.0,0.0,0.0,306.0,78.0,15.0,80.0,26.0,58.0,41.0,66.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
3329,2015,KINGFISHER,KINGFISHER,KINGFISHER MS,37I007505,80.0,B-,37I007,66305.8,46639.25,0.03,0.06,0.27,0.451,0.22,0.66,0.12,381.0,23.93,43483.2,0.248,16.13,3.0,1.0,0.5,2.64,Middle School,0.1837,0.1155,0.0,0.0105,0.0,0.6063,0.084,0.24,0.684,0.0891,0.01,0.9009,0.368,0.2,0.43200000000000005,0.2852,0.08,0.6348,0.2444,0.06,0.6956,0.5246,0.14,0.3354,0.235,0.06,0.705,0.39,0.0,0.61,0.1488,0.38,0.4712,0.29100000000000004,0.03,0.679,50.0,25.0,25.0,8.0,80.0,361.0,82.0,363.0,75.0,173.0,55.0,282.0,77.0,0.0,0.0,1179.0,75.0,89.0,55.0,89.0,54.0,178.0,54.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
3332,2015,MCCLAIN,PURCELL,PURCELL JHS,47I015610,67.0,D+,47I015,57590.17,28528.03,0.06,0.14,0.23,0.557,0.18,0.64,0.18,314.0,17.97,45378.44,0.28300000000000003,14.97,2.85,0.83,1.56,1.25,Middle School,0.2166,0.1369,0.0064,0.0064,0.0,0.5764,0.0573,0.24,0.532,0.0216,0.28,0.6984,0.51,0.15,0.34,0.231,0.3,0.469,0.166,0.17,0.664,0.4316,0.17,0.3984,0.2075,0.17,0.6225,0.2418,0.07,0.6882,0.1924,0.26,0.5476,0.1064,0.24,0.6536,50.0,25.0,25.0,8.0,67.0,294.0,70.0,294.0,66.0,81.0,60.0,182.0,75.0,0.0,0.0,851.0,69.0,71.0,34.0,71.0,18.0,142.0,26.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
