,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Geography_Advanced,7_Geography_Below_Satisfactory,7_Geography_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,8_Writing_Advanced,8_Writing_Below_Satisfactory,8_Writing_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,ELA_ExamCounty,ELA_GrowthIndex,Math_ExamCounty,Math_GrowthIndex,Science_ExamCounty,Science_GrowthIndex,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,Writing_ExamCounty,Writing_GrowthIndex,Overall_ExamCounty,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,DropOutRate,DropOutRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
630,2016,CANADIAN,EL RENO,LESLIE F ROBLYER LEARNING CTR,09I034510,73.0,C,09I034,0.048252774233389216,-0.6440750165076159,-0.03880740233322218,-0.4470774794331141,0.307937555146503,0.7635915570887479,-0.918326346831495,1.0533116221925154,0.17237416645758824,-0.1773578482272432,-0.36331690871682654,0.024463085309402874,-0.23130864604509602,0.7950265993208354,-0.539692828376056,-1.2932568007354726,-0.6452782820871995,0.46246997442560106,-0.062106214108023146,-0.07372920956673235,-0.06932723672467993,-0.0711418869731383,-0.0577949178317116,-0.06887847329393208,-0.05969980180162629,-0.5854416128699615,1.4927242444820228,-0.9563145091706207,-0.5164556007281275,1.1429868784667883,0.0,4.151782921096045e-16,-9.095617760511345e-16,0.0,0.0,0.0,3.194896056388123e-16,-2.3648535631587035e-16,0.0,0.0,0.0,-6.392787888792521e-16,0.0,0.0,4.324678210558789e-16,3.138013510589991e-16,0.0,-1.3699791345685909e-15,1.6085438377849362e-16,3.5767823672093497e-16,0.0,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,-0.4529101386908044,-0.1432793284338286,0.3864215891444975,-0.1628511117674568,0.04585697419030817,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,-0.3927912711644055,0.39656126131423275,-0.1304887587061231,0.7002134485868382,-0.1402717444184943,-0.9117832032304648,-0.10111304904853588,-0.21641017157141296,0.5311573206635423,1.6093489754821285e-15,-3.622807181555744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
708,2016,COMANCHE,CACHE,CACHE 5TH AND 6TH GRADE MS,16I001530,85.0,B,16I001,2.4421701249941985,0.46776258276444754,-0.03880740233322218,-0.8787942498079481,-0.7745431144708298,-0.7424252947265368,0.7526095575163934,0.33562111250690974,-1.540674311613482,-0.29083393934745483,-0.3179368419131386,0.8583596874983833,0.6187214448653887,-0.04054287097916985,0.29546049764695304,-1.2820429724148739,-0.6242484135085699,-0.5546365678728729,-0.0674849863261557,-0.07170607790323076,-0.06607003742165135,-0.06581267124930339,-0.020606483260393375,-0.06664071451243411,-0.06933623846942089,-1.8987698679833391,-0.24065856649639686,0.14426485080070917,-1.0889946708459946,1.2326056589039163,0.0,4.151782921096045e-16,-9.095617760511345e-16,0.0,0.0,0.0,3.194896056388123e-16,-2.3648535631587035e-16,0.0,0.0,0.0,-6.392787888792521e-16,0.0,0.0,4.324678210558789e-16,3.138013510589991e-16,0.0,-1.3699791345685909e-15,1.6085438377849362e-16,3.5767823672093497e-16,0.0,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,1.2058957199548734,-0.2846369014663618,0.7938886919012312,-0.3104523894791769,1.357958138925897,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,-0.4983552813635523,1.2500092165277616,-0.280594619392227,0.46233702465491955,-0.2904820874302335,0.6791657809193014,-0.24904679574117922,0.638448513283636,0.5311573206635423,1.6093489754821285e-15,-3.622807181555744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1074,2016,TULSA,OWASSO,OWASSO 6TH GRADE CTR,72I011515,87.0,B+,72I011,1.8141537844856088,0.1886279211040543,-0.7094595979947351,-1.5983222004326711,-1.2665797824787086,-1.6154045545923459,1.3095881922990227,-0.812683702990062,-1.3503355918278073,1.1778708971512843,0.867864034131052,1.5945500299680357,0.2960248362790007,0.7982280149158546,0.36794550330178005,0.9495088633842665,0.7146532193308593,0.3066969003798889,-0.06865655311440855,-0.07754292902436746,-0.06498430432064183,-0.06816647726107494,-0.06073084687681567,-0.06468138654706722,-0.06518223841787706,-1.548548999953105,-0.8147901156160313,0.14426485080070917,-1.0889946708459946,1.2326056589039163,0.0,4.151782921096045e-16,-9.095617760511345e-16,0.0,0.0,0.0,3.194896056388123e-16,-2.3648535631587035e-16,0.0,0.0,0.0,-6.392787888792521e-16,0.0,0.0,4.324678210558789e-16,3.138013510589991e-16,0.0,-1.3699791345685909e-15,1.6085438377849362e-16,3.5767823672093497e-16,0.0,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,0.9439790054318716,1.2561606445882503,0.7123952713498845,1.2217894458139171,1.5651320070420427,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,0.6242278514859112,1.327595394274446,1.355559262086306,-0.489168671072755,1.3468106513977236,1.0407450954987936,1.3634310432086332,0.2965050393416164,0.5311573206635423,1.6093489754821285e-15,-3.622807181555744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1297,2016,CADDO,FORT COBB-BROXTON,FORT COBB-BROXTON MS,08I167505,74.0,C,08I167,-0.5854943450558487,-0.6167849733627058,-0.03880740233322218,-0.01536070905828029,-0.2825064464629513,0.3653904911850458,0.1956309227337638,0.04854490863266679,-0.20830327311376054,-1.0041122263887852,-1.117678309062188,0.7006770149239204,1.4215276418364013,3.4938199459220023,-0.9493906864250792,-0.8783451528733208,-0.2877705162504933,-1.0586082780207655,-0.07201472836170823,-0.05642794568575342,-0.06932723672467993,-0.07316417101142089,-0.0871542082827523,-0.06398702821548106,-0.055566888044760336,0.5527762082282992,0.2771586440732256,1.122557615219669,-1.375264205904928,1.0441764282412365,-1.4668487360535023,2.0426053902515973,-1.2361777285061153,-1.433643179210653,0.7309191893062807,0.5477365995675859,-0.569326807735273,-0.03537661321327471,0.6771610089675922,-1.296069599641582,1.3192235151560627,0.02006573725756004,-0.7908427905776217,0.6677312706798603,-0.2607742247702259,0.49425363036616915,-0.7411637614118708,0.5233523183236939,-0.101128875884175,-0.21827442091185079,0.43724866188829464,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,-0.1909934241678026,-0.9596193126967079,0.9568755330039247,-0.9816867714539039,-0.02320098184840704,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,-0.9901290849742117,0.6293197945542861,-1.001102750685526,1.0173820138293963,-1.0114917338865816,0.028323014676215185,-0.9591287798658673,0.5529626447981312,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1300,2016,CANADIAN,PIEDMONT,PIEDMONT MS,09I022510,91.0,A-,09I022,2.6818771714413243,-0.0869374664431162,-1.3801117936562481,-1.8861333806825602,-1.758616450486587,-2.22291643718902,2.6463369157773333,-2.248064722361275,-1.540674311613482,0.45486608801393597,0.3943329022664833,-0.17430757265641397,-0.8609605652380476,-0.5207552102320465,-0.09217670650712295,0.16454088094235797,0.013657600043200102,0.3066969003798889,-0.06831030058184798,-0.08835621894997929,-0.061669961170191696,-0.06920248342822792,-0.0871542082827523,-0.061395215433223814,-0.07753880709911913,-4.860290892392178e-16,-1.5249140310916936e-15,1.4629891593239807e-16,0.0,1.2756004292323807e-15,0.6874822070707545,-1.0238613644333021,0.7251317053363322,2.280041216502219,-1.1384094645203542,-0.9092563975387203,0.5944177161540409,-0.46139075824636766,0.031730473383921286,0.47942385153433276,-0.6653156705025344,0.3321553768050184,3.2696256572094344,-1.3253262032848834,-1.1099548209122718,2.0691634361604487,-0.999323056363181,-0.825374163537039,3.296128708565182,-1.764680411582192,-0.10776207088540497,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,1.2058957199548734,0.5211012648190775,1.2828492152093116,0.49081168952730353,1.7723058751581884,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,0.08868360462194698,1.7155262830078684,0.5750087865185655,0.9380898725187569,0.56571686773668,1.8362195875736766,0.5941755604068878,1.57879306662419,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1301,2016,CANADIAN,YUKON,YUKON MS,09I027520,83.0,B,09I027,1.3102964150171081,-0.1041586408155219,-1.0447856958254915,-1.5983222004326711,-0.5777284472676781,-1.0283132394779129,0.9754010114294448,-0.09499319330445466,-1.3503355918278073,4.6567236334937725,4.170743678886419,0.3388177570958256,-0.679935638470074,-0.29665611858070434,2.744193079986115,3.192274527504006,2.4671422675500074,3.0556335011865756,-0.06711027468132988,-0.09844862288055033,-0.06387952327049178,-0.06993183176990361,-0.06562406195198911,-0.06054961073238127,-0.0750717106218063,-0.5854416128699615,0.028551442181710407,-0.36596542719366226,0.05608346938973985,0.1319032017402199,2.55610270820299,-1.9213638292191266,-1.434438748969721,0.09683452503549356,-0.42935376824128585,0.5661536458793232,1.1895274281726118,-0.7169992452662236,-0.24235646638448602,0.8721543276940762,-0.9058658748247884,0.021217359543712896,1.297165633675201,-0.9164939009331411,0.15524636086266608,0.5982677740367173,-0.39695136814345716,-0.08375969363923483,1.7406460479268209,-1.055910999191619,0.1406232348231359,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,0.5947567194012027,4.744158759166007,0.6309018507985377,4.704476736583313,1.012668358732321,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,3.1706377560458177,1.0172506832877084,5.063174021033074,-0.01341582320891775,5.072027158088856,0.6791657809193014,5.024791273851555,0.38199090782712136,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1302,2016,CHOCTAW,FORT TOWSON,FORT TOWSON JHS,12I002605,54.0,F,12I002,-0.9993604555072824,-0.23659567784334662,0.9671708911590471,1.2797896020662212,0.1111228879433514,1.2690006022742162,-0.6955348929184431,0.7662354183182725,0.17237416645758824,-1.0657135329969,-1.0183683077961465,-0.703653622276058,-0.9632790021069022,-1.004168965079943,-1.037633302004869,-1.1362632042470908,-0.9396964421880165,-1.0677714000234544,-0.07266454475843148,-0.07182234983791477,-0.06932723672467993,-0.07009759275664809,-0.0871542082827523,-0.06400421530289657,-0.04641543615455716,-4.860290892392178e-16,-1.5249140310916936e-15,1.4629891593239807e-16,0.0,1.2756004292323807e-15,-1.6212065852336077,2.9401078550374216,-2.8615903921416277,-1.0840896294754219,2.406869016874988,-2.5289333037320367,-0.5290389162059694,1.0722601638727673,-1.0090420536629359,-1.2480040786787479,1.3793610662366262,-0.1895295188222831,-0.4653543378492005,0.6677312706798603,-0.572400131611344,-1.2943374053599979,1.1520044015644042,-0.23923959914193535,-1.342501401624626,1.5858659015368808,-1.3373719726987605,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,-1.6751881397981458,-1.0161623419097212,-0.754486298574357,-1.0379158296297972,-1.0590703224291351,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,-1.0313247962714398,-0.8448175826327184,-1.0461345088913572,-0.9649215189365924,-1.0565548367901034,-0.1886245740714802,-1.0035089038736602,-0.6438395139989375,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
1303,2016,CLEVELAND,MOORE,BRINK JHS,14I002610,94.0,A,14I002,1.0777368573613408,-0.007089059467550101,-1.0447856958254915,-1.3105110201827819,-0.4793211136661029,-1.9625542017904454,0.6412138305598675,-0.09499319330445466,-1.159996872042133,1.2686517700474538,1.15855953452569,1.1622903212319993,1.5395873766850798,0.865457742411257,0.853279888990623,0.9495088633842665,-0.05644196188556588,0.279207534371822,-0.06720988157425827,-0.1003787369963047,-0.04816496522956445,-0.06952571735237964,-0.07443184908730133,-0.06792630865111345,-0.045867192492932085,-4.860290892392178e-16,-1.5249140310916936e-15,1.4629891593239807e-16,0.0,1.2756004292323807e-15,2.3275343546093725,-1.7717800850881558,-1.257478499299726,3.183555551444388,-1.3962478995309247,-1.5763627417194164,2.5466538314025833,-1.1430133902993167,-1.0999833424340217,1.2103714691032879,-1.086278528066479,-0.2977820137206639,1.513615454739601,-1.17201408990298,0.33754751636471986,2.325807029782345,-1.0853761546802843,-0.9820880365437303,2.737453118082552,-1.8291139945267896,0.4895943254880284,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,1.7297291490008768,1.3975182176207834,1.6903163179660454,1.3588477751176573,1.5651320070420427,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,0.7259297637509429,1.7931124607545528,1.50566512277241,1.968887709557071,1.4970209944094628,0.8961133696669967,1.5113647899012765,1.57879306662419,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1304,2016,CLEVELAND,MOORE,CENTRAL JHS,14I002685,79.0,C+,14I002,1.0777368573613408,-0.007089059467550101,-1.0447856958254915,-1.3105110201827819,-0.4793211136661029,-0.3442242288228347,0.6412138305598675,-0.09499319330445466,-1.159996872042133,0.7401774028304681,0.5396806524638024,0.5985167412000659,-0.34936838089377453,-0.24543346906039742,1.6127966873738122,0.9495088633842665,1.065151028974689,0.3066969003798889,-0.06536952564777199,-0.09575111399588158,-0.06683195538727207,-0.06664976423236299,-0.006905481049907704,-0.06961408063531543,-0.03601989287835861,-4.860290892392178e-16,-1.5249140310916936e-15,1.4629891593239807e-16,0.0,1.2756004292323807e-15,0.5041822611693796,-0.7246938761713607,0.47443801830383925,0.13290639011873615,-0.10705572447807295,0.011595918048130571,0.12822925702924148,0.13502904479996242,-0.3408761958864948,0.007561115252849862,-0.24435281293858943,0.4530757168510819,0.5534245191907582,-0.7120777497572699,0.5556856511535025,-0.017902968359465282,-0.3108982698263537,0.46535584563617793,0.6603853625952614,-0.7981766674132286,0.6866603531576145,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,0.9439790054318716,0.697798231109744,0.7123952713498845,0.6594988640549836,0.5983206225000298,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,0.21484547046970778,0.8620783277943395,0.7551358193418902,0.0658763181017218,0.745969279350767,-0.043992848239683274,0.7716960564380598,0.04004743388510174,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1305,2016,CLEVELAND,MOORE,HIGHLAND EAST JHS,14I002650,84.0,B,14I002,1.0777368573613408,-0.007089059467550101,-1.0447856958254915,-1.3105110201827819,-0.4793211136661029,-1.2069932049475232,0.6412138305598675,-0.09499319330445466,-1.159996872042133,0.9347078447508309,1.0585918511320587,0.8918499946471867,0.0520347175917318,0.5165034425541666,1.3039475328445485,0.9495088633842665,0.013657600043200102,0.3066969003798889,-0.06736166350633961,-0.10158796511701827,-0.0642223863550211,-0.06563033416388446,-0.0577949178317116,-0.06653759198794112,-0.04510808588452814,-4.860290892392178e-16,-1.5249140310916936e-15,1.4629891593239807e-16,0.0,1.2756004292323807e-15,0.5041822611693796,-0.7246938761713607,0.47443801830383925,0.4678594230345595,-0.49381337699392847,0.22646145835172926,1.0778724145056848,-0.9726077322860794,0.2590836953116332,0.4741483675262167,-0.5450405683414072,0.1121955201497989,0.3695235433992003,-0.5587656363753666,0.498034858387896,0.7791619369420187,-0.6551106630947674,0.08899575691932221,1.5737388175751632,-0.9270438333024238,0.08314564341950667,-2.4843975734252457e-16,-4.0863820561926675e-16,-1.0867824383936305e-15,0.0,-0.08389866485355559,0.08389866485355559,0.7174923727594124,1.380506862970208,0.9769794378489971,1.2828492152093116,0.9722730001583905,0.8054944906161754,-1.4774784661103132e-16,0.0,-1.8751664980259663e-16,1.1666104681875023e-15,0.0,3.537764025314573e-17,0.4311229547801549,1.1724230387810772,1.0553475407140982,1.413842720382594,1.0764320339765932,-0.4055721628191756,1.0823569244926108,0.46747677631262624,0.5311573206635423,-0.05785142705429073,0.27665073022789316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
