,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2622,2015,72I003520,CHILDERS MS,75.0,C,78668.01,44028.2,0.06,0.08,0.27,0.439,0.29,0.64,0.07,709.0,36.98,42596.42,0.161,11.05,7.0,2.0,3.69,2.84,0.0776,0.0818,0.0169,0.048,0.0,0.6827,0.0931,709.0
2623,2015,72I003525,OLIVER MS,75.0,C,78668.01,44028.2,0.06,0.08,0.27,0.474,0.29,0.64,0.07,811.0,60.95,27999.9,0.337,11.61,8.18,2.0,4.88,3.0,0.0888,0.0764,0.0123,0.0641,0.0025,0.6831,0.0727,811.0
2624,2015,72I003510,SEQUOYAH MS,71.0,C,78668.01,44028.2,0.06,0.08,0.27,0.605,0.29,0.64,0.07,549.0,30.14,42831.07,0.096,10.16,8.0,2.0,3.0,2.0,0.102,0.0947,0.0219,0.0565,0.0055,0.6066,0.1129,549.0
2625,2015,72I002615,CENTRAL 9TH GRADE CTR,89.0,B,60283.61,30987.13,0.06,0.13,0.32,0.602,0.18,0.67,0.15,500.0,20.57,43806.86,0.19399999999999998,9.63,2.62,1.0,2.0,2.05,0.034,0.19399999999999998,0.01,0.07200000000000001,0.0,0.642,0.048,500.0
2626,2014,72I002520,CLYDE BOYD MS,75.0,C,60469.0,30048.0,0.06,0.12,0.3,0.6,0.18,0.69,0.13,1274.0,54.0,44285.67,0.09300000000000001,12.59,9.0,3.0,6.0,4.0,0.0455,0.1994,0.0094,0.0463,0.0,0.6695,0.0298,1274.0
2627,2015,72I002520,CLYDE BOYD MS,74.0,C,60283.61,30987.13,0.06,0.13,0.32,0.606,0.18,0.67,0.15,1217.0,55.51,44246.52,0.095,13.24,9.0,3.0,5.0,4.0,0.0608,0.1775,0.009000000000000001,0.0362,0.0008,0.6828,0.0329,1217.0
2628,2014,72I001537,EDISON PREPARATORY MS,78.0,C,56448.0,56175.0,0.09,0.23,0.48,0.65,0.25,0.59,0.15,827.0,40.54,47789.6,0.349,14.84,8.0,3.0,1.8,3.5,0.162,0.0762,0.023,0.156,0.0,0.4946,0.0883,827.0
2629,2015,72I001537,EDISON PREPARATORY MS,74.0,C,57115.75,57723.51,0.09,0.23,0.49,0.609,0.26,0.59,0.15,936.0,42.93,46841.41,0.33399999999999996,14.71,8.5,3.0,1.65,3.5,0.1795,0.0684,0.0267,0.141,0.0011,0.5021,0.0812,936.0
2630,2014,72I009620,UNION 8TH GRADE CTR,78.0,C,68895.0,48109.0,0.06,0.12,0.35,0.65,0.33,0.57,0.1,1126.0,53.2,44146.55,0.214,11.21,6.0,2.0,4.54,3.0,0.2611,0.0613,0.0648,0.1554,0.0018,0.4005,0.0551,1205.0
2631,2014,74I030505,CENTRAL MS,83.0,B,66112.0,44351.0,0.06,0.15,0.35,0.55,0.29,0.61,0.1,695.0,38.05,44678.22,0.297,11.87,6.19,2.0,2.5,2.0,0.0878,0.1597,0.0216,0.0863,0.0014,0.6072,0.036000000000000004,695.0
2632,2015,74I030505,CENTRAL MS,82.0,B,67816.34,45108.64,0.06,0.15,0.31,0.541,0.3,0.6,0.1,690.0,40.58,45258.61,0.261,11.43,6.03,2.0,2.5,2.0,0.1029,0.1449,0.0217,0.0739,0.0,0.5855,0.071,690.0
2633,2015,01I025505,STILWELL MS,50.0,F,36671.83,21373.05,0.09,0.33,0.4,0.794,0.12,0.67,0.22,276.0,18.5,44988.81,0.21600000000000003,13.44,3.57,1.0,0.5,1.0,0.1232,0.6341,0.0145,0.0036,0.0,0.2138,0.0109,276.0
2634,2015,14I040510,CURTIS INGE MS,69.0,D,60288.46,24885.44,0.06,0.15,0.41,0.69,0.16,0.72,0.11,606.0,35.35,48553.91,0.214,16.07,5.0,2.0,1.5,2.97,0.0545,0.1419,0.005,0.0281,0.0,0.7673,0.0033,606.0
2635,2015,36I071515,PONCA CITY EAST MS,75.0,C,55886.5,52816.0,0.08,0.19,0.4,0.7340000000000001,0.22,0.66,0.13,357.0,19.51,45317.63,0.205,13.02,3.54,1.0,2.06,2.0,0.07,0.1625,0.0056,0.0224,0.0028,0.6695,0.0672,357.0
2636,2014,63I093505,SHAWNEE MS,66.0,D,41511.0,27265.0,0.09,0.26,0.47,0.75,0.18,0.66,0.16,794.0,49.84,44816.27,0.311,9.09,6.0,3.0,2.0,3.0,0.1121,0.1549,0.0063,0.0605,0.0013,0.5101,0.1549,794.0
2637,2015,63I093505,SHAWNEE MS,60.0,D,43547.55,28777.33,0.08,0.27,0.49,0.747,0.18,0.66,0.15,754.0,48.59,45282.05,0.34,9.67,7.0,3.0,2.0,3.0,0.1194,0.1711,0.0027,0.0517,0.0013,0.4947,0.1592,754.0
2638,2015,72I008505,SPERRY MS,63.0,D,57872.19,24170.36,0.07,0.08,0.12,0.613,0.17,0.72,0.1,269.0,16.83,41850.45,0.02,12.61,2.5,0.83,1.5,1.17,0.0632,0.3271,0.0149,0.0074,0.0,0.5651,0.0223,269.0
2639,2014,72I001664,WILL ROGERS COLLEGE JHS,57.0,F,56448.0,56175.0,0.09,0.23,0.48,1.06,0.25,0.59,0.15,461.0,22.71,43940.25,0.33799999999999997,9.12,1.78,3.0,1.55,1.5,0.5184,0.0542,0.0065,0.1605,0.0,0.2082,0.0521,461.0
2640,2015,72I001664,WILL ROGERS COLLEGE JHS,50.0,F,57115.75,57723.51,0.09,0.23,0.49,1.028,0.26,0.59,0.15,472.0,25.86,43936.67,0.299,8.99,2.77,1.5,1.21,2.45,0.5932,0.036000000000000004,0.0042,0.1314,0.0,0.1801,0.0551,472.0
2641,2015,72I009620,UNION 8TH GRADE CTR,73.0,C,69989.81,48711.63,0.05,0.13,0.37,0.627,0.33,0.57,0.1,1205.0,55.23,44679.64,0.15,11.1,6.35,2.06,4.64,3.0,0.2755,0.0515,0.0705,0.1635,0.0017,0.3718,0.0656,1205.0
2643,2015,72I001530,CLINTON MS,48.0,F,57115.75,57723.51,0.09,0.23,0.49,1.043,0.26,0.59,0.15,327.0,20.47,43381.46,0.267,8.16,4.76,2.0,3.33,3.0,0.1468,0.1162,0.0061,0.2508,0.0061,0.3425,0.1315,327.0
2644,2014,72I003505,CENTENNIAL MS,76.0,C,77858.0,42674.0,0.06,0.08,0.25,0.39,0.29,0.65,0.07,1002.0,44.86,41999.73,0.187,10.24,8.62,3.0,2.17,3.0,0.1397,0.0699,0.0379,0.0459,0.001,0.6387,0.0669,1002.0
2646,2015,72I001658,CENTRAL JHS,34.0,F,57115.75,57723.51,0.09,0.23,0.49,1.168,0.26,0.59,0.15,297.0,15.92,41339.76,0.314,5.08,5.0,2.0,1.05,2.5,0.1044,0.064,0.0,0.5421,0.0135,0.1953,0.0808,297.0
2647,2015,72I001663,MEMORIAL JHS,46.0,F,57115.75,57723.51,0.09,0.23,0.49,1.023,0.26,0.59,0.15,470.0,25.0,44646.68,0.28,12.4,6.0,1.0,1.16,3.0,0.2574,0.0702,0.0213,0.3468,0.0,0.2106,0.0936,470.0
2649,2015,14I002685,CENTRAL JHS,83.0,B,74017.72,43667.52,0.05,0.09,0.28,0.547,0.26,0.66,0.09,611.0,30.03,46337.21,0.26899999999999996,12.25,8.0,2.0,3.0,2.0,0.1506,0.0786,0.0164,0.07200000000000001,0.0065,0.4746,0.2013,611.0
2650,2015,20I099505,CLINTON MS,73.0,C,63335.39,33304.77,0.04,0.13,0.42,0.804,0.21,0.58,0.21,336.0,17.47,43409.24,0.304,11.69,2.84,1.0,1.06,2.0,0.4315,0.0536,0.0089,0.0387,0.003,0.3839,0.0804,336.0
2651,2014,72I003510,SEQUOYAH MS,67.0,D,77858.0,42674.0,0.06,0.08,0.25,0.58,0.29,0.65,0.07,548.0,29.62,41774.0,0.13,11.62,7.09,2.01,3.0,2.0,0.1022,0.0876,0.0182,0.0566,0.0,0.635,0.1004,548.0
2652,2014,55I007610,HARRAH JHS,71.0,C,61134.0,35740.0,0.06,0.14,0.3,0.45,0.17,0.69,0.14,312.0,17.72,40047.86,0.127,11.32,3.0,1.0,0.53,1.0,0.0417,0.2468,0.0032,0.0256,0.0096,0.6378,0.0353,312.0
2653,2014,10I055505,HEALDTON MS,64.0,D,47515.0,34004.0,0.05,0.11,0.47,0.76,0.12,0.74,0.14,114.0,7.14,42295.16,0.34,17.6,0.71,0.14,0.29,0.29,0.114,0.1228,0.0,0.0175,0.0,0.5877,0.1579,114.0
2657,2014,55I089535,JOHN MARSHALL MS,56.0,F,51403.0,48041.0,0.09,0.27,0.47,0.89,0.21,0.56,0.23,224.0,10.99,45854.0,0.34299999999999997,8.87,2.0,1.04,2.23,0.99,0.1339,0.0223,0.0179,0.6473,0.0045,0.1473,0.0268,224.0
2659,2015,72I005505,JENKS MS,82.0,B,100013.78,66258.99,0.05,0.09,0.25,0.358,0.5,0.45,0.05,1658.0,77.12,49300.21,0.336,14.88,17.8,3.5,5.38,4.25,0.1255,0.0778,0.0875,0.0844,0.0024,0.5935,0.028999999999999998,1658.0
2660,2015,72I001515,CARVER MS,95.0,A,57115.75,57723.51,0.09,0.23,0.49,0.579,0.26,0.59,0.15,615.0,32.4,49307.89,0.415,16.83,0.5,3.0,1.26,2.0,0.187,0.0293,0.0228,0.3268,0.0,0.3301,0.1041,615.0
2661,2015,10I019505,ARDMORE MS,63.0,D,51315.94,56276.21,0.07,0.21,0.44,0.889,0.17,0.64,0.19,660.0,32.65,44009.1,0.48100000000000004,11.71,4.75,2.0,1.68,3.0,0.1576,0.1106,0.0106,0.1803,0.0061,0.4015,0.1333,660.0
2662,2015,58I023505,WILL ROGERS MS,69.0,D,47499.4,23904.94,0.09,0.22,0.43,0.703,0.16,0.69,0.15,505.0,28.63,42795.59,0.24,8.58,4.17,2.0,3.0,2.0,0.0673,0.2673,0.0059,0.002,0.0396,0.4515,0.1663,505.0
2663,2014,18I020505,BLUEJACKET MS,79.0,C,54536.0,39130.0,0.04,0.1,0.19,0.69,0.13,0.72,0.15,54.0,4.48,42716.99,0.217,16.36,0.36,0.07,0.17,0.5,0.0,0.537,0.0,0.0,0.0,0.4444,0.0185,54.0
2664,2014,74I030510,MADISON MS,87.0,B,66112.0,44351.0,0.06,0.15,0.35,0.43,0.29,0.61,0.1,625.0,35.29,44300.07,0.213,11.67,4.33,2.0,2.33,2.0,0.1216,0.1376,0.0176,0.0336,0.0016,0.5648,0.1232,625.0
2666,2014,55I004520,CHOCTAW MS,83.0,B,78997.0,34826.0,0.05,0.09,0.27,0.37,0.25,0.66,0.09,653.0,34.39,41476.9,0.145,10.48,6.0,1.5,2.64,2.0,0.0658,0.1118,0.0031,0.0291,0.0015,0.7198,0.0689,653.0
2667,2014,36I071515,PONCA CITY EAST MS,75.0,C,56172.0,51704.0,0.08,0.18,0.37,0.64,0.21,0.65,0.13,383.0,19.67,44918.67,0.203,14.48,3.48,1.0,1.54,2.0,0.1123,0.1958,0.0052,0.0496,0.0,0.6292,0.0078,383.0
2668,2014,09I027520,YUKON MS,81.0,B,75527.0,38164.0,0.05,0.06,0.25,0.41,0.3,0.64,0.06,1763.0,84.16,45415.14,0.214,13.35,12.0,4.07,4.0,4.93,0.0896,0.0556,0.0216,0.0363,0.0017,0.7828,0.0125,1763.0
2669,2015,55I089540,OKLAHOMA CENTENNIAL MS,54.0,F,53011.22,49735.22,0.08,0.27,0.47,0.922,0.22,0.55,0.22,217.0,14.75,49032.47,0.225,10.29,4.17,1.0,0.97,0.0,0.235,0.0507,0.0184,0.5392,0.0046,0.106,0.0461,217.0
2670,2014,69I003505,MARLOW MS,77.0,C,60479.0,30982.0,0.09,0.16,0.26,0.46,0.17,0.7,0.13,293.0,16.49,41801.46,0.069,11.91,3.0,0.9,1.5,2.0,0.0648,0.1433,0.0,0.0137,0.0,0.7645,0.0137,293.0
2671,2014,55I089540,OKLAHOMA CENTENNIAL MS,52.0,F,51403.0,48041.0,0.09,0.27,0.47,0.98,0.21,0.56,0.23,255.0,18.74,47290.35,0.377,10.71,4.71,1.54,3.22,0.14,0.2078,0.0157,0.0078,0.6392,0.0039,0.0863,0.0392,255.0
2673,2015,55I001550,WESTERN OAKS MS,70.0,C,63282.81,50214.98,0.06,0.17,0.4,0.9059999999999999,0.32,0.58,0.11,680.0,35.43,46588.44,0.182,9.02,9.83,2.0,4.71,2.0,0.3029,0.0382,0.0132,0.175,0.0029,0.3809,0.0868,680.0
2675,2015,55I003505,LUTHER MS,70.0,C,69820.62,89123.29,0.02,0.11,0.18,0.604,0.2,0.69,0.11,275.0,14.75,42679.32,0.107,14.58,2.0,0.5,0.43,1.0,0.1127,0.0655,0.0036,0.0618,0.0,0.7091,0.0473,275.0
2676,2014,72I001663,MEMORIAL JHS,47.0,F,56448.0,56175.0,0.09,0.23,0.48,0.93,0.25,0.59,0.15,550.0,27.02,45830.37,0.259,12.66,6.0,2.0,1.24,2.0,0.2582,0.0873,0.0182,0.3418,0.0018,0.2036,0.0891,550.0
2677,2014,55I001550,WESTERN OAKS MS,79.0,C,62910.0,48980.0,0.06,0.16,0.42,0.87,0.32,0.57,0.11,683.0,35.5,46249.66,0.239,10.73,10.0,1.95,5.2,2.0,0.2562,0.0381,0.0117,0.205,0.0015,0.4217,0.0659,683.0
2678,2014,14I002655,HIGHLAND WEST JHS,85.0,B,72627.0,41624.0,0.05,0.09,0.26,0.62,0.26,0.65,0.09,602.0,27.44,42243.58,0.21899999999999997,7.66,7.99,2.0,3.0,2.0,0.1429,0.0714,0.0183,0.0581,0.0,0.4784,0.2309,602.0
2679,2014,72I002615,CENTRAL 9TH GRADE CTR,89.0,B,60469.0,30048.0,0.06,0.12,0.3,0.57,0.18,0.69,0.13,480.0,18.5,44919.41,0.21600000000000003,13.42,2.05,1.0,2.06,2.05,0.0604,0.1917,0.0021,0.0479,0.0021,0.6792,0.0167,480.0
2680,2015,19I033505,SAPULPA MS,73.0,C,61292.85,42647.64,0.08,0.15,0.33,0.72,0.19,0.66,0.15,532.0,26.11,44297.93,0.268,10.47,4.84,1.85,1.78,2.33,0.0489,0.1523,0.0019,0.0489,0.0019,0.6015,0.1447,532.0
2681,2014,19I033505,SAPULPA MS,63.0,D,60659.0,39995.0,0.1,0.15,0.38,0.73,0.2,0.66,0.15,527.0,23.38,43641.31,0.385,10.35,4.96,2.0,3.64,2.33,0.0645,0.1746,0.0019,0.0304,0.0038,0.5882,0.1366,527.0
2682,2014,55I052510,DEL CREST MS,62.0,D,56232.0,34558.0,0.07,0.14,0.45,0.87,0.19,0.7,0.11,534.0,28.91,45232.52,0.365,11.94,6.2,2.0,3.1,2.78,0.1386,0.0412,0.0019,0.3521,0.0056,0.3539,0.1067,534.0
2683,2014,07I072500,DURANT MS,88.0,B,49643.0,33383.0,0.1,0.23,0.41,0.62,0.22,0.59,0.18,472.0,28.29,48111.19,0.753,12.33,4.0,1.6,1.0,2.0,0.0805,0.3072,0.0085,0.0212,0.0021,0.5127,0.0678,472.0
2685,2015,19I018505,RONGEY MS,84.0,B,65458.92,49594.33,0.06,0.1,0.2,0.57,0.2,0.66,0.14,86.0,5.43,39783.75,0.079,9.42,0.29,0.43,0.43,0.57,0.1279,0.1628,0.0,0.0,0.0,0.6395,0.0698,86.0
2686,2014,55I089525,TAFT MS,60.0,D,51403.0,48041.0,0.09,0.27,0.47,0.89,0.21,0.56,0.23,596.0,33.85,49191.54,0.23600000000000002,11.84,11.0,2.04,6.79,4.0,0.4564,0.0604,0.0503,0.2198,0.0034,0.198,0.0117,596.0
2687,2015,41I001610,CHANDLER JHS,89.0,B,52089.57,31190.54,0.09,0.15,0.32,0.41700000000000004,0.14,0.73,0.14,175.0,12.92,44092.01,0.188,14.69,0.99,0.8,0.29,1.0,0.0171,0.1429,0.0114,0.0229,0.0,0.7771,0.0286,175.0
2689,2014,72I001515,CARVER MS,97.0,A,56448.0,56175.0,0.09,0.23,0.48,0.63,0.25,0.59,0.15,630.0,31.93,49178.07,0.389,16.2,0.5,3.0,1.25,2.0,0.17300000000000001,0.0333,0.0206,0.3524,0.0,0.3286,0.0921,630.0
2690,2015,55I089535,JOHN MARSHALL MS,61.0,D,53011.22,49735.22,0.08,0.27,0.47,0.8420000000000001,0.22,0.55,0.22,240.0,12.82,48741.94,0.19,7.4,2.0,1.0,0.77,1.0,0.1042,0.0375,0.0208,0.6708,0.0,0.1375,0.0292,240.0
2692,2015,08I167505,FORT COBB-BROXTON MS,70.0,C,50213.38,26009.6,0.06,0.2,0.34,0.6970000000000001,0.21,0.66,0.13,76.0,4.6,46564.35,0.441,23.36,0.29,0.37,0.57,0.5,0.0526,0.2105,0.0,0.0,0.0,0.6184,0.1184,76.0
2693,2015,56I001505,OKMULGEE MS,67.0,D,42213.17,35826.71,0.17,0.25,0.53,0.917,0.16,0.7,0.14,313.0,17.0,43849.29,0.235,14.71,1.38,0.42,0.5,2.0,0.0575,0.3514,0.0032,0.24600000000000002,0.0,0.3003,0.0415,313.0
2695,2015,24I057510,LONGFELLOW MS,55.0,F,58949.32,34706.02,0.06,0.14,0.34,0.945,0.21,0.64,0.15,490.0,26.88,42940.36,0.248,8.62,4.0,1.08,2.73,2.0,0.3816,0.0245,0.0082,0.0469,0.1653,0.3061,0.0673,490.0
2696,2014,46I016505,SALINA MS,80.0,B,41459.0,19461.0,0.05,0.28,0.42,0.77,0.13,0.68,0.19,185.0,10.18,43522.69,0.22399999999999998,11.24,0.72,0.52,2.13,1.33,0.0162,0.627,0.0,0.0054,0.0,0.3135,0.0378,185.0
2697,2014,55I089503,BELLE ISLE MS,97.0,A,51403.0,48041.0,0.09,0.27,0.47,0.42,0.21,0.56,0.23,450.0,24.43,44313.42,0.287,7.41,0.2,1.0,2.05,2.0,0.2022,0.0444,0.0867,0.2022,0.0,0.4489,0.0156,450.0
2699,2015,66I002510,WELLS MS,72.0,C,65414.3,79320.92,0.07,0.12,0.27,0.667,0.19,0.69,0.13,501.0,30.79,42057.13,0.177,13.43,5.0,1.09,3.25,2.0,0.1437,0.3094,0.018000000000000002,0.012,0.002,0.4731,0.0419,501.0
2700,2014,19I002505,BRISTOW MS,67.0,D,46643.0,23663.0,0.09,0.22,0.32,0.73,0.13,0.71,0.15,382.0,18.66,44699.98,0.28800000000000003,17.44,2.0,1.0,1.5,2.0,0.0393,0.267,0.0052,0.1047,0.0,0.5838,0.0,382.0
2702,2014,55I052520,KERR MS,64.0,D,56232.0,34558.0,0.07,0.14,0.45,0.83,0.19,0.7,0.11,631.0,30.99,43390.58,0.42,8.4,5.83,2.0,2.13,3.0,0.0935,0.0745,0.0428,0.3883,0.0063,0.3281,0.0666,631.0
2703,2015,09I034610,ETTA DALE JHS,76.0,C,59138.17,25086.24,0.08,0.14,0.37,0.6,0.11,0.74,0.15,160.0,13.26,45062.68,0.364,15.15,1.69,0.67,0.53,3.16,0.175,0.1313,0.0063,0.025,0.0,0.55,0.1125,160.0
2705,2014,66I002510,WELLS MS,72.0,C,66319.0,72524.0,0.07,0.1,0.23,0.66,0.18,0.69,0.13,492.0,30.09,42310.57,0.136,13.6,5.0,1.2,2.41,2.0,0.126,0.2907,0.0142,0.0163,0.002,0.5041,0.0467,492.0
2706,2015,19I033610,SAPULPA JHS,67.0,D,61292.85,42647.64,0.08,0.15,0.33,0.706,0.19,0.66,0.15,654.0,30.45,48655.58,0.24600000000000002,17.06,3.85,2.24,2.19,2.83,0.0489,0.1896,0.0076,0.0428,0.0031,0.5917,0.1162,654.0
2709,2015,10I055505,HEALDTON MS,60.0,D,48190.54,37532.22,0.03,0.12,0.46,0.685,0.12,0.75,0.14,111.0,6.29,45415.84,0.409,22.84,0.71,0.14,0.43,0.55,0.0991,0.1892,0.0,0.018000000000000002,0.0,0.5405,0.1532,111.0
2710,2015,62I019610,ADA JHS,79.0,C,46854.09,36762.37,0.09,0.26,0.47,0.57,0.33,0.54,0.13,572.0,40.6,44084.96,0.665,11.98,6.28,2.29,1.28,2.0,0.0892,0.3409,0.0105,0.0437,0.0017,0.4213,0.0927,572.0
2711,2014,72I008505,SPERRY MS,75.0,C,70081.0,23718.0,0.07,0.07,0.13,0.62,0.16,0.73,0.11,279.0,15.18,41676.81,0.1,13.61,2.0,0.83,1.5,1.17,0.0645,0.3118,0.0179,0.0143,0.0,0.5591,0.0323,279.0
2714,2015,68I003510,MULDROW MS,75.0,C,53084.61,19151.52,0.09,0.21,0.27,0.6679999999999999,0.15,0.71,0.14,455.0,25.71,46275.81,0.217,12.74,5.49,1.0,1.86,2.0,0.0681,0.4022,0.0088,0.0418,0.0,0.4637,0.0154,455.0
2715,2015,12I002605,FORT TOWSON JHS,53.0,F,46080.69,36175.76,0.15,0.24,0.34,0.868,0.16,0.66,0.18,76.0,5.45,38933.88,0.08800000000000001,9.28,0.0,0.14,0.14,0.0,0.0,0.2368,0.0,0.0658,0.0,0.6579,0.0395,76.0
2716,2015,34I023510,WAURIKA MS,64.0,D,49359.69,35095.74,0.04,0.23,0.49,0.7070000000000001,0.12,0.71,0.16,82.0,6.16,44389.86,0.49200000000000005,12.22,0.21,0.33,0.08,0.49,0.1585,0.061,0.0,0.0122,0.0,0.7683,0.0,82.0
2717,2015,55I052520,KERR MS,63.0,D,55940.19,34534.37,0.08,0.16,0.46,0.8190000000000001,0.2,0.69,0.11,619.0,31.47,43494.5,0.337,8.76,4.44,2.0,2.4,3.0,0.0905,0.0695,0.0404,0.41200000000000003,0.0081,0.3053,0.0743,619.0
2718,2015,55I089525,TAFT MS,67.0,D,53011.22,49735.22,0.08,0.27,0.47,0.8390000000000001,0.22,0.55,0.22,591.0,33.06,52053.02,0.33299999999999996,10.96,10.83,2.0,5.66,4.0,0.5059,0.0457,0.0338,0.1709,0.0017,0.1743,0.0677,591.0
2719,2014,55I088505,BETHANY MS,98.0,A,46014.0,8086.0,0.09,0.23,0.32,0.44,0.3,0.58,0.12,368.0,17.43,43520.43,0.344,10.95,3.42,1.0,0.92,1.0,0.1332,0.0217,0.0217,0.0217,0.0027,0.6766,0.1223,368.0
2720,2015,55I052525,MONRONEY MS,70.0,C,55940.19,34534.37,0.08,0.16,0.46,0.721,0.2,0.69,0.11,603.0,37.5,47598.9,0.267,13.87,3.0,2.0,1.9,3.0,0.0912,0.0464,0.0116,0.408,0.0017,0.3947,0.0464,603.0
2722,2014,34I023510,WAURIKA MS,67.0,D,46403.0,34691.0,0.05,0.2,0.55,0.68,0.11,0.7,0.19,83.0,4.67,43624.44,0.318,14.14,0.21,0.0,0.0,0.5,0.1566,0.0723,0.0,0.012,0.0,0.759,0.0,83.0
2725,2015,72I010510,BERRYHILL MS,87.0,B,69718.77,30421.9,0.07,0.08,0.23,0.32799999999999996,0.25,0.67,0.07,180.0,9.98,41433.77,0.166,9.47,0.66,1.0,0.84,1.0,0.0222,0.0778,0.0,0.0167,0.0,0.6556,0.2278,180.0
2726,2014,72I005505,JENKS MS,87.0,B,99022.0,65097.0,0.05,0.09,0.24,0.37,0.5,0.45,0.05,1626.0,75.0,48031.43,0.371,15.99,18.0,3.5,3.92,4.25,0.1359,0.0775,0.0713,0.0947,0.0012,0.6039,0.0154,1626.0
2727,2014,48I005505,IDABEL MS,67.0,D,37832.0,18391.0,0.08,0.35,0.55,0.94,0.2,0.61,0.19,234.0,14.56,43930.49,0.157,14.26,2.0,1.0,0.71,1.71,0.1838,0.2479,0.0043,0.312,0.0043,0.2308,0.0171,234.0
2728,2014,58I023505,WILL ROGERS MS,65.0,D,47226.0,23608.0,0.1,0.22,0.42,0.78,0.16,0.7,0.15,545.0,28.49,44099.48,0.21,11.67,4.48,2.0,3.64,2.0,0.0697,0.2826,0.0037,0.0055,0.0312,0.4771,0.1303,545.0
2730,2014,55I089518,JEFFERSON MS,54.0,F,51403.0,48041.0,0.09,0.27,0.47,0.97,0.21,0.56,0.23,925.0,53.74,46279.98,0.276,9.94,11.73,3.42,6.1,3.97,0.6357,0.0627,0.0141,0.1092,0.0011,0.1751,0.0022,925.0
2732,2014,55I052525,MONRONEY MS,68.0,D,56232.0,34558.0,0.07,0.14,0.45,0.72,0.19,0.7,0.11,602.0,31.43,46581.75,0.191,12.77,8.84,2.0,2.4,3.0,0.0914,0.0299,0.0083,0.3688,0.0,0.4003,0.1013,602.0
2736,2015,55I052515,JARMAN MS,64.0,D,55940.19,34534.37,0.08,0.16,0.46,0.797,0.2,0.69,0.11,567.0,37.42,44932.47,0.374,9.38,0.77,3.0,2.8,3.0,0.1111,0.0864,0.0141,0.2981,0.0053,0.44799999999999995,0.037000000000000005,567.0
2737,2015,55I004520,CHOCTAW MS,72.0,C,81424.97,36431.86,0.05,0.08,0.26,0.363,0.26,0.65,0.09,664.0,35.0,41962.37,0.14300000000000002,10.6,6.66,2.0,3.66,2.0,0.0602,0.0858,0.0015,0.0166,0.0,0.7304,0.1054,664.0
2738,2014,72I001661,HALE JHS,34.0,F,56448.0,56175.0,0.09,0.23,0.48,1.07,0.25,0.59,0.15,654.0,33.35,43299.18,0.145,9.66,10.0,2.0,1.4,4.0,0.3257,0.0872,0.0107,0.2278,0.0031,0.2477,0.0979,654.0
2739,2015,20I007615,THOMAS-FAY-CUSTER UNIFIED JHS,75.0,C,62842.23,91757.24,0.03,0.2,0.2,0.589,0.26,0.62,0.13,90.0,5.14,47197.94,0.23600000000000002,17.28,0.0,0.14,0.14,1.0,0.1222,0.1556,0.0,0.0333,0.0,0.6889,0.0,90.0
2741,2015,55I001510,JAMES L. CAPPS MS,72.0,C,63282.81,50214.98,0.06,0.17,0.4,0.912,0.32,0.58,0.11,901.0,56.59,48515.85,0.247,11.34,6.0,3.0,4.75,3.0,0.3319,0.0377,0.04,0.2031,0.0,0.3163,0.071,901.0
2742,2014,55I052515,JARMAN MS,60.0,D,56232.0,34558.0,0.07,0.14,0.45,0.81,0.19,0.7,0.11,561.0,30.74,44608.7,0.40700000000000003,9.28,6.51,2.0,3.14,2.97,0.1034,0.0695,0.016,0.2995,0.0107,0.4403,0.0606,561.0
2743,2014,72I001659,EAST CENTRAL JHS,49.0,F,56448.0,56175.0,0.09,0.23,0.48,1.03,0.25,0.59,0.15,684.0,33.21,43799.52,0.392,9.89,6.0,3.0,1.25,2.0,0.5146,0.0614,0.0292,0.1623,0.0029,0.1477,0.0819,684.0
2744,2015,10I027505,PLAINVIEW MS,88.0,B,81595.83,56470.11,0.06,0.09,0.25,0.301,0.33,0.59,0.08,336.0,19.67,42948.95,0.408,15.18,2.67,1.0,0.5,1.67,0.0714,0.1012,0.0268,0.0208,0.0,0.625,0.1548,336.0
2745,2015,55I052510,DEL CREST MS,67.0,D,55940.19,34534.37,0.08,0.16,0.46,0.8859999999999999,0.2,0.69,0.11,524.0,34.18,46153.06,0.371,12.32,2.0,2.0,4.0,3.0,0.1489,0.042,0.0019,0.33399999999999996,0.0038,0.3588,0.1107,524.0
2746,2014,10I027505,PLAINVIEW MS,92.0,A,79456.0,54680.0,0.06,0.1,0.25,0.34,0.31,0.58,0.11,344.0,17.28,42757.32,0.35100000000000003,13.3,2.85,1.0,0.03,1.67,0.0552,0.0988,0.0262,0.0174,0.0,0.6308,0.1715,344.0
2748,2014,55I001510,JAMES L.CAPPS MS,72.0,C,62910.0,48980.0,0.06,0.16,0.42,0.88,0.32,0.57,0.11,883.0,57.2,47906.64,0.28,11.18,6.0,3.0,4.33,3.0,0.3046,0.0419,0.0385,0.2005,0.0,0.3465,0.068,883.0
