,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2536,2015,09I027520,YUKON MS,79.0,C,75086.45,39897.74,0.05,0.07,0.26,0.419,0.29,0.64,0.07,1801.0,80.47,46893.11,0.22699999999999998,12.15,12.0,4.0,5.41,5.0,0.0994,0.0522,0.0233,0.0378,0.0011,0.7668,0.0194,1801.0
2539,2014,14I002610,BRINK JHS,97.0,A,72627.0,41624.0,0.05,0.09,0.26,0.26,0.26,0.65,0.09,964.0,44.68,45165.78,0.33299999999999996,12.45,7.0,3.0,1.4,3.0,0.1006,0.0602,0.0788,0.0394,0.001,0.5633,0.1566,964.0
2540,2015,14I002610,BRINK JHS,92.0,A,74017.72,43667.52,0.05,0.09,0.28,0.26899999999999996,0.26,0.66,0.09,986.0,44.37,46703.36,0.428,13.31,6.8,3.0,1.4,2.97,0.1146,0.0598,0.0913,0.0436,0.0,0.5335,0.1572,986.0
2541,2014,14I002650,HIGHLAND EAST JHS,85.0,B,72627.0,41624.0,0.05,0.09,0.26,0.44,0.26,0.65,0.09,728.0,39.33,45861.61,0.203,13.15,8.45,2.0,1.5,2.0,0.114,0.0755,0.0247,0.0618,0.0,0.5948,0.1291,728.0
2542,2015,14I002650,HIGHLAND EAST JHS,88.0,B,74017.72,43667.52,0.05,0.09,0.28,0.414,0.26,0.66,0.09,681.0,38.7,46469.42,0.233,13.58,8.0,2.0,1.5,2.0,0.0984,0.047,0.0308,0.0793,0.0015,0.5639,0.1791,681.0
2543,2014,14I002680,WEST JHS,85.0,B,72627.0,41624.0,0.05,0.09,0.26,0.58,0.26,0.65,0.09,621.0,34.35,44951.53,0.261,11.17,10.0,2.0,2.0,2.29,0.1997,0.0837,0.0821,0.095,0.0064,0.4042,0.1288,621.0
2544,2015,14I002680,WEST JHS,82.0,B,74017.72,43667.52,0.05,0.09,0.28,0.5710000000000001,0.26,0.66,0.09,631.0,35.53,45092.62,0.19699999999999998,10.12,8.5,2.0,2.0,2.0,0.2044,0.0586,0.0761,0.0967,0.0016,0.401,0.1616,631.0
2547,2014,18I006505,KETCHUM MS,75.0,C,49920.0,85181.0,0.09,0.24,0.38,0.66,0.15,0.67,0.18,131.0,8.51,46776.86,0.402,16.85,1.0,0.2,0.5,1.0,0.0305,0.4733,0.0076,0.0,0.0,0.4885,0.0,131.0
2548,2015,18I006505,KETCHUM MS,61.0,D,51840.61,93039.12,0.1,0.24,0.4,0.705,0.16,0.68,0.15,129.0,8.76,45761.85,0.531,17.48,1.0,0.32,1.51,1.0,0.0388,0.4419,0.0078,0.0,0.0,0.5116,0.0,129.0
2549,2014,19I018505,RONGEY MS,85.0,B,62525.0,43798.0,0.07,0.12,0.2,0.6,0.17,0.68,0.15,90.0,4.92,41377.95,0.174,12.87,0.72,0.43,0.33,0.86,0.0778,0.1222,0.0,0.0111,0.0,0.7667,0.0222,90.0
