,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
1596,2016,55I089535,JOHN MARSHALL MS,46,53956.08,50805.13,0.08,0.28,0.47,0.882,0.22,0.55,0.23,262,12.71,47825.2,0.184,6.94,2.0,1.0,1.3,1.0,0.1183,0.0344,0.0115,0.6908,0.0115,0.1031,0.0305,262.0,,,,,,,0.0,0.85,0.15,0.027999999999999997,0.44,0.532,0.0,0.84,0.16,0.0168,0.58,0.4032,0.036000000000000004,0.28,0.684,0.008,0.8,0.192,0.3096,0.14,0.5504
1597,2016,37I105610,OKARCHE JHS,85,88254.26,225412.41,0.0,0.08,0.06,0.128,0.24,0.68,0.07,86,5.93,42741.35,0.121,12.41,0.79,0.14,0.14,0.0,0.0814,0.0,0.0,0.0,0.0,0.907,0.0116,86.0,,,,,,,0.2565,0.05,0.6935,0.09,0.0,0.91,0.3528,0.16,0.4872,0.0,0.25,0.75,0.26,0.0,0.74,0.0748,0.32,0.6052,0.1027,0.21,0.6873
1598,2016,62I024510,LATTA MS,79,64620.33,30067.16,0.03,0.16,0.33,0.44,0.31,0.63,0.06,184,10.14,45847.47,0.324,18.73,1.71,0.57,0.57,1.29,0.1033,0.2989,0.0,0.0163,0.0,0.4457,0.1359,184.0,0.1672,0.24,0.5928,0.084,0.16,0.7559999999999999,0.475,0.05,0.475,0.1296,0.19,0.6804,0.063,0.55,0.387,0.2295,0.15,0.6205,0.3096,0.14,0.5504,0.0605,0.45,0.4895,0.96,0.0,0.04
1599,2016,63I002510,DALE MS,82,67048.46,21340.43,0.11,0.19,0.38,0.313,0.19,0.7,0.11,176,10.47,48837.49,0.304,16.46,1.0,0.5,1.04,0.5,0.0227,0.2386,0.0,0.0057,0.0057,0.7216,0.0057,176.0,0.1496,0.12,0.7304,0.018000000000000002,0.1,0.882,0.3384,0.06,0.6016,0.1729,0.09,0.7371,0.4,0.2,0.4,0.1386,0.23,0.6314,0.2418,0.07,0.6882,0.0988,0.24,0.6612,0.64,0.0,0.36
1602,2016,36I087505,TONKAWA MS,68,57888.8,37207.69,0.08,0.18,0.37,0.627,0.21,0.65,0.14,142,8.03,46139.56,0.35700000000000004,12.97,1.71,0.42,1.54,0.67,0.0845,0.331,0.0,0.0,0.0,0.5775,0.006999999999999999,142.0,0.1207,0.29,0.5893,0.0142,0.29,0.6958,0.096,0.36,0.544,0.1848,0.12,0.6952,0.0069,0.77,0.2231,0.0832,0.48,0.4368,0.1539,0.19,0.6561,0.1768,0.32,0.5032,,,
1604,2016,41I103505,PRAGUE MS,77,69584.82,29928.41,0.03,0.09,0.26,0.601,0.14,0.73,0.13,213,10.57,43514.52,0.294,21.74,1.34,0.56,3.98,0.92,0.0516,0.1362,0.0,0.0282,0.0,0.662,0.1221,213.0,0.301,0.14,0.5589999999999999,0.078,0.22,0.7020000000000001,0.1672,0.24,0.5928,0.255,0.15,0.595,0.084,0.3,0.616,0.054000000000000006,0.4,0.546,0.267,0.11,0.623,0.0826,0.41,0.5074,0.74,0.0,0.26
1605,2016,53I003505,OKLAHOMA UNION MS,71,51921.19,30598.16,0.11,0.18,0.35,0.5539999999999999,0.11,0.73,0.16,148,11.17,45599.57,0.257,14.82,1.0,0.5,0.33,1.5,0.027000000000000003,0.3041,0.0068,0.0,0.0,0.5,0.1622,148.0,0.2755,0.05,0.6745,0.0608,0.24,0.6992,0.1258,0.26,0.6142,0.2112,0.12,0.6688,0.0918,0.49,0.4182,0.0576,0.52,0.4224,0.0781,0.29,0.6319,0.04,0.5,0.46,0.67,0.0,0.33
1606,2016,06I080500,GEARY MS,55,61355.33,110914.94,0.09,0.2,0.42,0.877,0.21,0.67,0.12,73,6.11,42079.25,0.33899999999999997,5.25,1.5,0.33,0.33,0.5,0.1644,0.3562,0.0,0.0548,0.0,0.41100000000000003,0.0137,73.0,0.052000000000000005,0.48,0.46799999999999997,0.0,0.62,0.38,0.1426,0.38,0.4774,0.069,0.54,0.391,0.0185,0.63,0.3515,0.1476,0.18,0.6724,0.0265,0.47,0.5035,0.037000000000000005,0.26,0.703,0.25,0.0,0.75
1607,2016,57I038505,HOMINY MS,55,46083.7,36225.45,0.1,0.21,0.5,0.7829999999999999,0.11,0.71,0.18,138,6.86,42434.01,0.156,18.32,1.0,0.0,0.5,0.43,0.0217,0.4928,0.0,0.057999999999999996,0.0145,0.4058,0.0072,138.0,0.0198,0.34,0.6402,0.0183,0.39,0.5917,0.0,0.78,0.22,0.0268,0.33,0.6432,0.1281,0.39,0.4819,0.0084,0.79,0.2016,0.0804,0.33,0.5896,0.0351,0.61,0.3549,,,
1608,2016,01I011610,WESTVILLE JHS,76,47925.28,22296.91,0.09,0.24,0.37,0.807,0.13,0.64,0.22,176,14.07,43038.1,0.249,12.29,1.0,0.5,0.83,1.0,0.0511,0.4943,0.0057,0.0,0.0,0.375,0.0739,176.0,,,,,,,0.1264,0.21,0.6636,0.0711,0.21,0.7189,0.0689,0.47,0.4611,0.2,0.2,0.6,0.1596,0.16,0.6804,0.1278,0.29,0.5822,0.73,0.0,0.27
