,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
622,2016,09I034510,LESLIE F ROBLYER LEARNING CTR,73,60315.5,24895.16,0.07,0.14,0.37,0.79,0.12,0.73,0.15,328,15.57,44190.47,0.233,15.57,1.58,0.0,0.56,2.17,0.2226,0.1585,0.0,0.0244,0.003,0.4878,0.1037,328.0,0.1312,0.18,0.6888,0.0158,0.21,0.7742,,,,,,,,,,,,,,,,,,,,,
696,2016,16I001530,CACHE 5TH AND 6TH GRADE MS,85,93637.81,61263.07,0.07,0.11,0.26,0.495,0.27,0.68,0.06,293,16.26,47028.78,0.341,12.96,4.23,0.01,0.59,1.06,0.1092,0.1672,0.0171,0.0887,0.0068,0.5529,0.057999999999999996,293.0,0.4074,0.03,0.5626,0.068,0.15,0.782,,,,,,,,,,,,,,,,,,,,,
1032,2016,72I011515,OWASSO 6TH GRADE CTR,87,84896.09,52132.65,0.05,0.06,0.21,0.324,0.32,0.6,0.07,746,34.29,49534.53,0.3,15.58,4.46,2.0,2.5,2.0,0.0845,0.1421,0.0228,0.0603,0.0027,0.6099,0.0777,746.0,0.4092,0.07,0.5208,0.068,0.15,0.782,,,,,,,,,,,,,,,,,,,,,
1231,2016,08I167505,FORT COBB-BROXTON MS,74,51494.01,25787.81,0.07,0.17,0.31,0.7120000000000001,0.22,0.66,0.13,73,4.1,46492.08,0.44299999999999995,24.0,0.28,0.37,1.07,0.51,0.0137,0.2329,0.0,0.0,0.0,0.6301,0.1233,73.0,0.0897,0.31,0.6003,0.1144,0.12,0.7656,0.0,0.37,0.63,0.1053,0.19,0.7047,0.0368,0.54,0.4232,0.035,0.5,0.465,0.1932,0.08,0.7268,0.1071,0.37,0.5229,0.36,0.1,0.54
1234,2016,09I022510,PIEDMONT MS,91,96974.43,43118.98,0.03,0.04,0.16,0.205,0.44,0.5,0.06,523,27.09,43513.92,0.153,11.46,3.0,1.3,1.5,2.0,0.0918,0.0956,0.0402,0.0478,0.0,0.7055,0.0191,523.0,,,,,,,0.4324,0.08,0.4876,0.2064,0.14,0.6536,0.3397,0.21,0.4503,0.534,0.11,0.35600000000000004,0.3325,0.05,0.6175,0.4002,0.13,0.4698,1.0,0.0,0.0
1235,2016,09I027520,YUKON MS,83,77882.61,42555.68,0.04,0.06,0.28,0.439,0.29,0.65,0.07,1819,84.51,45260.43,0.17600000000000002,12.16,12.0,4.0,5.0,5.0,0.1171,0.0522,0.0286,0.039,0.0022,0.7301,0.0308,1819.0,0.2378,0.18,0.5822,0.0438,0.27,0.6862,0.1782,0.19,0.6318,0.2581,0.11,0.6319,0.4067,0.17,0.4233,0.2916,0.19,0.5184,0.2024,0.12,0.6776,0.266,0.24,0.494,0.96,0.0,0.04
1236,2016,12I002605,FORT TOWSON JHS,54,45733.17,38223.7,0.1,0.26,0.35,0.889,0.14,0.71,0.15,54,5.61,41712.2,0.14,9.95,0.0,0.14,0.14,0.5,0.0,0.1667,0.0,0.037000000000000005,0.0,0.6296,0.1667,54.0,,,,,,,0.0407,0.63,0.3293,0.1088,0.32,0.5712,0.045,0.55,0.405,0.075,0.5,0.425,0.035,0.3,0.665,0.0,0.65,0.35,,,
1237,2016,14I002610,BRINK JHS,94,74645.48,45730.8,0.04,0.08,0.29,0.256,0.26,0.65,0.08,774,38.71,48063.26,0.45799999999999996,15.79,6.0,2.0,1.4,1.97,0.115,0.0439,0.1111,0.0439,0.0013,0.5155,0.1693,774.0,,,,,,,0.5376,0.04,0.4224,0.376,0.06,0.564,0.4644,0.14,0.3956,0.3182,0.14,0.5418,0.3552,0.04,0.6048,0.35200000000000004,0.12,0.528,0.92,0.0,0.08
1238,2016,14I002685,CENTRAL JHS,79,74645.48,45730.8,0.04,0.08,0.29,0.573,0.26,0.65,0.08,611,29.3,46144.36,0.218,12.32,8.41,2.0,3.0,2.0,0.1538,0.0638,0.0131,0.0786,0.0082,0.4664,0.21600000000000003,611.0,,,,,,,0.1824,0.24,0.5776,0.1659,0.21,0.6241,0.2592,0.28,0.4608,0.2002,0.23,0.5698,0.1479,0.13,0.7221,0.1728,0.28,0.5472,0.79,0.0,0.21
1239,2016,14I002650,HIGHLAND EAST JHS,84,74645.48,45730.8,0.04,0.08,0.29,0.40399999999999997,0.26,0.65,0.08,671,37.19,47142.77,0.26899999999999996,14.7,7.43,2.0,1.5,2.0,0.1118,0.0387,0.0268,0.0909,0.003,0.5559,0.1729,671.0,,,,,,,0.2214,0.18,0.5986,0.2484,0.08,0.6716,0.3388,0.23,0.4312,0.1776,0.26,0.5624,0.2184,0.09,0.6916,0.2516,0.26,0.4884,0.5684,0.02,0.4116
1240,2016,14I002680,WEST JHS,79,74645.48,45730.8,0.04,0.08,0.29,0.5820000000000001,0.26,0.65,0.08,715,33.32,45328.48,0.19899999999999998,11.4,8.04,2.0,2.0,2.0,0.2182,0.0517,0.0671,0.0965,0.0028,0.4042,0.1594,715.0,,,,,,,0.1817,0.21,0.6083,0.1476,0.18,0.6724,0.3198,0.18,0.5002,0.2054,0.21,0.5846,0.153,0.15,0.6970000000000001,0.17,0.32,0.51,0.84,0.0,0.16
1241,2016,16I004505,GERONIMO MS,86,57881.88,55082.85,0.06,0.09,0.42,0.7709999999999999,0.08,0.69,0.23,48,2.45,39068.71,0.297,7.06,0.0,0.5,0.33,0.0,0.0417,0.1458,0.0417,0.0208,0.0,0.5833,0.1667,48.0,,,,,,,0.1826,0.17,0.6474,0.0913,0.17,0.7387,0.2926,0.23,0.4774,0.33,0.0,0.67,0.0736,0.08,0.8464,0.1058,0.54,0.3542,,,
1244,2016,18I020505,BLUEJACKET MS,58,51605.0,38207.27,0.02,0.12,0.26,0.6559999999999999,0.13,0.7,0.17,61,3.78,41406.66,0.285,14.06,0.36,0.1,0.14,0.67,0.0328,0.4426,0.0,0.0,0.0,0.3934,0.1311,61.0,0.0448,0.36,0.5952,0.0,0.57,0.43,0.2926,0.23,0.4774,0.0616,0.23,0.7084,0.0282,0.53,0.4418,0.0348,0.71,0.2552,0.1056,0.12,0.7744,0.0318,0.47,0.4982,,,
1245,2016,20I099505,CLINTON MS,70,62330.6,32998.56,0.04,0.15,0.41,0.84,0.21,0.6,0.19,362,20.01,42836.56,0.28600000000000003,12.21,2.2,1.0,0.9,1.0,0.4972,0.0525,0.011000000000000001,0.0276,0.0028,0.337,0.0718,362.0,,,,,,,0.0441,0.37,0.5859,0.1406,0.26,0.5994,0.0636,0.47,0.4664,0.0585,0.35,0.5915,0.3384,0.06,0.6016,0.084,0.4,0.516,0.513,0.05,0.43700000000000006
1246,2016,20I007615,THOMAS-FAY-CUSTER UNIFIED JHS,88,67156.76,99465.11,0.01,0.19,0.2,0.505,0.25,0.63,0.12,105,6.31,50590.96,0.218,16.99,0.0,0.14,0.14,1.0,0.0762,0.1333,0.0,0.0286,0.0,0.7429,0.019,105.0,,,,,,,0.3626,0.02,0.6174,0.18600000000000003,0.07,0.7440000000000001,0.2492,0.11,0.6408,0.3042,0.22,0.4758,0.28,0.0,0.72,0.1869,0.11,0.7031,0.4418,0.06,0.4982
1248,2016,25I072605,ELMORE CITY JHS,80,63596.6,59418.67,0.04,0.15,0.22,0.557,0.16,0.7,0.14,61,5.08,44051.73,0.23,21.32,0.5,0.5,0.08,0.5,0.08199999999999999,0.0656,0.0,0.0164,0.0,0.7049,0.1311,61.0,,,,,,,0.1978,0.14,0.6622,0.2912,0.09,0.6188,0.0845,0.35,0.5655,0.273,0.22,0.507,0.1632,0.04,0.7968,0.1547,0.09,0.7553,,,
1250,2016,27I090505,POND CREEK-HUNTER MS,69,61026.49,184139.3,0.05,0.1,0.27,0.581,0.21,0.66,0.13,105,5.82,47293.16,0.684,13.91,1.2,0.3,0.33,1.0,0.0667,0.0286,0.0,0.0,0.0,0.8571,0.0476,105.0,0.1615,0.15,0.6885,0.09300000000000001,0.38,0.527,0.14,0.3,0.56,0.07,0.3,0.63,0.094,0.53,0.376,0.16,0.2,0.64,0.16,0.2,0.64,0.1971,0.27,0.5329,,,
1251,2016,33I018625,ALTUS JHS,76,52345.98,30131.43,0.09,0.18,0.36,0.623,0.18,0.62,0.2,493,28.15,46399.19,0.17300000000000001,16.74,4.5,2.0,2.0,2.0,0.3996,0.0101,0.0203,0.0832,0.0101,0.4118,0.0649,493.0,,,,,,,0.24600000000000002,0.18,0.574,0.14400000000000002,0.2,0.6559999999999999,0.204,0.4,0.396,0.2407,0.17,0.5893,0.225,0.1,0.675,0.0671,0.39,0.5429,0.532,0.05,0.418
1252,2016,36I071515,PONCA CITY EAST MS,78,56366.7,54723.53,0.08,0.18,0.39,0.674,0.2,0.66,0.13,359,19.73,45903.55,0.252,13.48,2.45,1.0,1.5,1.5,0.0808,0.1894,0.0028,0.0529,0.0056,0.6156,0.0529,359.0,,,,,,,,,,,,,0.1768,0.32,0.5032,0.14800000000000002,0.26,0.5920000000000001,0.225,0.1,0.675,0.1024,0.36,0.5376,0.7448,0.02,0.2352
1253,2016,37I089505,CASHION MS,78,75044.54,123601.53,0.02,0.04,0.27,0.258,0.23,0.72,0.05,124,6.42,39415.33,0.156,8.96,1.0,0.25,0.25,0.5,0.0323,0.0645,0.0,0.0161,0.0,0.8548,0.0323,124.0,0.071,0.29,0.639,0.0426,0.29,0.6674,0.0372,0.07,0.8928,0.2112,0.04,0.7488,0.1064,0.24,0.6536,0.1474,0.33,0.5226,0.152,0.05,0.7979999999999999,0.1691,0.11,0.7209,0.74,0.0,0.26
1254,2016,38I001505,HOBART MS,88,60297.99,34740.91,0.07,0.23,0.42,0.722,0.17,0.65,0.18,162,11.5,45070.37,0.162,16.72,0.43,0.86,0.43,1.0,0.2099,0.0123,0.0123,0.0741,0.0,0.5741,0.1173,162.0,0.084,0.16,0.7559999999999999,0.0,0.28,0.72,0.2236,0.14,0.6364,0.1806,0.14,0.6794,0.0464,0.42,0.5336,0.2375,0.05,0.7125,0.2632,0.06,0.6768,0.215,0.14,0.645,0.6,0.0,0.4
1255,2016,39I001510,WILBURTON MS,98,54469.02,29782.52,0.08,0.19,0.43,0.6629999999999999,0.13,0.7,0.17,202,11.86,46105.25,0.27699999999999997,13.01,1.57,1.0,0.54,1.0,0.0396,0.3366,0.0,0.0149,0.0,0.5644,0.0446,202.0,0.4508,0.02,0.5292,0.07200000000000001,0.1,0.828,0.3395,0.03,0.6305,0.23399999999999999,0.1,0.6659999999999999,0.2511,0.19,0.5589,0.418,0.05,0.532,0.2112,0.04,0.7488,0.2573,0.17,0.5727,0.6,0.0,0.4
1257,2016,46I016505,SALINA MS,88,43929.3,23450.25,0.07,0.26,0.41,0.807,0.13,0.69,0.18,166,8.66,42853.0,0.215,15.51,1.0,0.5,2.03,1.0,0.0181,0.6566,0.0,0.0,0.0,0.3072,0.0181,166.0,0.3705,0.05,0.5795,0.0,0.34,0.66,0.2697,0.13,0.6003,0.17800000000000002,0.11,0.7120000000000001,0.0741,0.43,0.4959,0.5859,0.07,0.3441,0.083,0.17,0.747,0.10400000000000001,0.2,0.696,,,
1258,2016,47I001505,NEWCASTLE MS,83,84294.47,47116.6,0.03,0.07,0.27,0.31,0.3,0.61,0.09,449,22.52,43680.11,0.193,15.53,3.0,1.5,1.34,2.0,0.1002,0.2138,0.0045,0.0045,0.0,0.5857,0.0913,449.0,0.1092,0.22,0.6708,0.1023,0.07,0.8277,0.2288,0.12,0.6512,0.1274,0.09,0.7826,0.3655,0.15,0.4845,0.1725,0.25,0.5775,0.2024,0.08,0.7176,0.2523,0.13,0.6177,0.48,0.04,0.48
1259,2016,47I010505,WAYNE MS,78,60704.56,40464.88,0.04,0.16,0.33,0.7809999999999999,0.2,0.65,0.15,105,6.0,40071.18,0.214,15.41,0.57,0.43,0.57,1.0,0.1429,0.1905,0.0,0.0,0.0,0.6286,0.0381,105.0,0.168,0.16,0.672,0.152,0.24,0.608,0.2604,0.16,0.5796,0.1716,0.22,0.6084,0.0387,0.57,0.3913,0.1311,0.31,0.5589,0.0702,0.22,0.7098,0.154,0.3,0.546,0.86,0.0,0.14
1261,2016,52I006510,MORRISON MS,78,74864.91,66729.26,0.07,0.1,0.17,0.45399999999999996,0.26,0.65,0.1,86,5.16,41839.41,0.305,15.18,0.29,0.35,0.15,0.35,0.0233,0.0233,0.0116,0.0,0.0,0.6047,0.3372,86.0,,,,,,,0.2822,0.17,0.5478,0.1702,0.26,0.5698,0.2059,0.29,0.5041,0.3198,0.22,0.4602,0.136,0.2,0.664,0.1078,0.23,0.6622,,,
1262,2016,52I001605,PERRY JHS,75,62022.2,48552.24,0.06,0.13,0.19,0.552,0.26,0.63,0.12,183,10.44,42642.08,0.040999999999999995,13.87,1.0,0.5,1.14,1.0,0.08199999999999999,0.1148,0.0055,0.0383,0.0,0.7432,0.0164,183.0,,,,,,,0.0469,0.33,0.6231,0.0972,0.19,0.7128,0.1632,0.32,0.5168,0.0868,0.38,0.5332,0.2288,0.12,0.6512,0.2343,0.29,0.4757,0.66,0.0,0.34
1263,2016,55I006505,DEER CREEK MS,89,142656.63,66279.74,0.04,0.04,0.12,0.109,0.6,0.38,0.02,855,41.22,45988.23,0.39399999999999996,12.47,5.71,2.0,4.0,3.0,0.0643,0.0538,0.0608,0.0515,0.0035,0.7216,0.0444,855.0,,,,,,,0.3913,0.09,0.5187,0.304,0.05,0.6459999999999999,0.506,0.08,0.414,0.1944,0.28,0.5256,0.3196,0.06,0.6204,0.2187,0.19,0.5913,0.95,0.0,0.05
1264,2016,55I052505,CARL ALBERT MS,85,56255.19,35589.64,0.07,0.16,0.45,0.48700000000000004,0.2,0.7,0.1,851,45.54,45621.23,0.242,13.73,7.0,2.0,1.0,4.0,0.0799,0.0752,0.0153,0.2315,0.0094,0.5511,0.0376,851.0,0.3741,0.13,0.4959,0.1056,0.12,0.7744,0.2992,0.12,0.5808,0.2492,0.11,0.6408,0.1575,0.37,0.4725,0.2403,0.11,0.6497,0.1564,0.08,0.7636,0.1925,0.23,0.5775,0.7227,0.01,0.2673
1265,2016,55I052525,MONRONEY MS,73,56255.19,35589.64,0.07,0.16,0.45,0.6990000000000001,0.2,0.7,0.1,568,32.58,45439.81,0.22399999999999998,13.67,9.0,2.0,2.0,3.0,0.1215,0.0511,0.0106,0.3891,0.0018,0.3486,0.0775,568.0,0.138,0.31,0.552,0.0438,0.27,0.6862,0.0682,0.38,0.5518,0.153,0.15,0.6970000000000001,0.2625,0.25,0.4875,0.1898,0.27,0.5402,0.174,0.13,0.696,0.21,0.3,0.49,0.5684,0.02,0.4116
1266,2016,55I089508,CLASSEN MS OF ADVANCED STUDIES,90,53956.08,50805.13,0.08,0.28,0.47,0.376,0.22,0.55,0.23,420,19.88,52289.8,0.5770000000000001,14.19,0.5,1.0,1.0,1.5,0.18100000000000002,0.0333,0.1452,0.1571,0.0024,0.4381,0.0429,420.0,0.5358,0.06,0.4042,0.1183,0.09,0.7917,0.1968,0.18,0.6232,0.27899999999999997,0.07,0.6509999999999999,0.5696,0.11,0.3204,0.1088,0.32,0.5712,0.2945,0.05,0.6555,0.2905,0.17,0.5395,0.6138,0.07,0.3162
1267,2016,55I001530,HEFNER MS,78,63930.75,52049.84,0.06,0.16,0.43,0.6629999999999999,0.32,0.58,0.1,1024,61.8,48198.71,0.28300000000000003,12.47,8.5,3.0,4.37,4.0,0.0781,0.0303,0.0566,0.3438,0.0039,0.4111,0.0762,1024.0,0.28,0.2,0.52,0.0497,0.29,0.6603,0.1014,0.22,0.6786,0.221,0.15,0.629,0.35200000000000004,0.2,0.44799999999999995,0.0708,0.41,0.5192,0.267,0.11,0.623,0.1725,0.31,0.5175,0.6014,0.03,0.3686
1268,2016,55I001550,WESTERN OAKS MS,74,63930.75,52049.84,0.06,0.16,0.43,0.893,0.32,0.58,0.1,673,36.6,47113.99,0.249,9.43,9.9,2.0,5.1,2.0,0.2838,0.0371,0.0134,0.1872,0.0045,0.3774,0.0966,673.0,0.1575,0.25,0.5925,0.0432,0.28,0.6768,0.1386,0.23,0.6314,0.2376,0.12,0.6424,0.1768,0.32,0.5032,0.0854,0.39,0.5246,0.2523,0.13,0.6177,0.1098,0.39,0.5002,0.3936,0.04,0.5664
1269,2016,58I014510,QUAPAW MS,68,49413.22,34452.92,0.12,0.24,0.32,0.777,0.09,0.75,0.16,139,9.0,44620.26,0.27,20.16,1.92,0.0,0.29,1.0,0.0144,0.3885,0.0072,0.0,0.0,0.5827,0.0072,139.0,0.14800000000000002,0.26,0.5920000000000001,0.0546,0.09,0.8554,0.0,0.5,0.5,0.1079,0.17,0.7221,0.0364,0.48,0.4836,0.0084,0.72,0.2716,0.09,0.1,0.81,0.0,0.69,0.31,,,
1270,2016,62I019610,ADA JHS,80,46836.28,38544.84,0.07,0.25,0.44,0.59,0.32,0.55,0.13,532,40.78,44088.94,0.565,12.25,6.0,3.0,1.31,2.0,0.1053,0.3346,0.0113,0.047,0.0,0.43799999999999994,0.0639,532.0,,,,,,,0.2125,0.15,0.6375,0.187,0.15,0.6629999999999999,0.0912,0.52,0.3888,0.192,0.2,0.608,0.2047,0.11,0.6853,0.23199999999999998,0.2,0.568,0.6014,0.03,0.3686
1275,2016,68I001510,TOMMIE SPEAR MS,77,43281.92,27559.91,0.09,0.26,0.38,0.778,0.13,0.69,0.17,401,23.65,44536.62,0.09300000000000001,15.05,3.45,1.0,1.0,2.0,0.0698,0.384,0.0224,0.015,0.0,0.4913,0.0175,401.0,0.0715,0.35,0.5785,0.0936,0.22,0.6864,0.1162,0.17,0.7138,0.3132,0.13,0.5568,0.24,0.25,0.51,0.053,0.47,0.47700000000000004,0.2232,0.07,0.7068,0.2156,0.23,0.5544,0.69,0.0,0.31
1276,2016,71I158505,FREDERICK MS,64,47854.78,23808.22,0.07,0.25,0.42,0.8270000000000001,0.16,0.58,0.25,179,11.1,43815.05,0.258,14.26,1.0,0.5,0.64,1.0,0.4693,0.0168,0.0168,0.095,0.0,0.3911,0.0112,179.0,0.0348,0.42,0.5452,0.0094,0.53,0.4606,0.17,0.32,0.51,0.078,0.22,0.7020000000000001,0.4836,0.07,0.4464,0.0671,0.39,0.5429,0.1411,0.17,0.6889,0.1491,0.29,0.5609,0.5,0.0,0.5
1277,2016,72I004505,BIXBY MS,91,100478.32,65795.62,0.04,0.06,0.19,0.20800000000000002,0.42,0.53,0.05,869,39.45,46578.94,0.426,14.65,6.0,1.96,3.5,3.33,0.0783,0.084,0.0138,0.0184,0.0,0.7307,0.0748,869.0,,,,,,,0.2581,0.11,0.6319,0.3348,0.07,0.5952,0.5192,0.12,0.3608,0.374,0.15,0.47600000000000003,0.3168,0.04,0.6432,0.2905,0.17,0.5395,0.9,0.0,0.1
1278,2016,72I003505,CENTENNIAL MS,75,78767.8,44984.51,0.06,0.08,0.3,0.41600000000000004,0.29,0.64,0.06,1060,49.52,43672.64,0.242,12.5,6.95,3.0,3.07,3.03,0.1755,0.0783,0.0415,0.0557,0.0009,0.5821,0.066,1060.0,0.1407,0.33,0.5293,0.0264,0.34,0.6336,0.1924,0.26,0.5476,0.21,0.16,0.63,0.1943,0.33,0.4757,0.081,0.46,0.45899999999999996,0.1869,0.11,0.7031,0.1564,0.32,0.5236,0.5088,0.04,0.4512
1279,2016,72I003520,CHILDERS MS,75,78767.8,44984.51,0.06,0.08,0.3,0.45899999999999996,0.29,0.64,0.06,775,39.47,42198.48,0.147,9.91,7.0,1.99,3.01,2.92,0.0826,0.0735,0.0194,0.0555,0.0,0.6774,0.0916,775.0,0.091,0.3,0.609,0.0284,0.29,0.6816,0.1008,0.28,0.6192,0.1539,0.19,0.6561,0.182,0.35,0.46799999999999997,0.044000000000000004,0.45,0.506,0.1602,0.11,0.7298,0.24,0.2,0.56,0.5096,0.02,0.4704
1280,2016,72I003525,OLIVER MS,73,78767.8,44984.51,0.06,0.08,0.3,0.51,0.29,0.64,0.06,817,38.61,43647.25,0.295,14.51,8.0,2.0,4.6,3.0,0.1016,0.0857,0.0147,0.0759,0.0012,0.6499,0.071,817.0,0.1156,0.32,0.5644,0.0134,0.33,0.6566,0.126,0.3,0.574,0.16,0.2,0.64,0.1863,0.31,0.5037,0.0812,0.42,0.4988,0.1274,0.09,0.7826,0.18,0.28,0.54,0.5049,0.01,0.4851
1281,2016,72I003530,ONETA RIDGE MS,74,78767.8,44984.51,0.06,0.08,0.3,0.418,0.29,0.64,0.06,814,40.13,43719.26,0.249,11.18,7.68,2.0,9.73,3.08,0.1106,0.086,0.0418,0.0356,0.0012,0.6437,0.0811,814.0,0.1311,0.31,0.5589,0.0272,0.32,0.6528,0.195,0.22,0.585,0.1404,0.22,0.6396,0.1679,0.27,0.5621,0.0288,0.52,0.4512,0.1691,0.11,0.7209,0.2133,0.21,0.5767,0.735,0.02,0.245
1282,2016,72I011510,OWASSO 7TH GRADE CTR,88,84896.09,52132.65,0.05,0.06,0.21,0.31,0.32,0.6,0.07,723,34.98,49615.16,0.16899999999999998,17.94,4.45,2.0,2.96,2.0,0.0871,0.1355,0.028999999999999998,0.0456,0.0,0.6556,0.047,723.0,,,,,,,0.3312,0.08,0.5888,0.2464,0.12,0.6336,,,,,,,,,,,,,1.0,0.0,0.0
1283,2016,72I011610,OWASSO 8TH GRADE CTR,82,84896.09,52132.65,0.05,0.06,0.21,0.284,0.32,0.6,0.07,743,33.47,47978.4,0.243,15.15,4.51,1.81,2.0,2.0,0.0929,0.1602,0.0215,0.0458,0.0013,0.6245,0.0538,743.0,,,,,,,,,,,,,0.285,0.25,0.465,0.1562,0.29,0.5538,0.2112,0.12,0.6688,0.2204,0.24,0.5396,0.7326,0.01,0.2574
1284,2016,72I001515,CARVER MS,94,58190.81,60320.18,0.08,0.23,0.5,0.555,0.26,0.59,0.15,611,31.74,50051.22,0.386,17.22,0.5,3.0,1.33,1.95,0.1997,0.0475,0.0245,0.2995,0.0,0.3339,0.0949,611.0,0.3312,0.08,0.5888,0.132,0.12,0.748,0.1305,0.13,0.7395,0.2726,0.06,0.6674,0.1775,0.29,0.5325,0.1332,0.26,0.6068,0.2813,0.03,0.6887,0.259,0.26,0.48100000000000004,0.8,0.0,0.2
1285,2016,72I001563,MONROE DEMONSTRATION MS,51,58190.81,60320.18,0.08,0.23,0.5,1.034,0.26,0.59,0.15,294,14.5,40746.34,0.379,7.34,3.0,2.0,1.26,1.0,0.1837,0.0408,0.0034,0.6633,0.0034,0.0476,0.0578,294.0,0.0,0.84,0.16,0.0,0.63,0.37,0.0112,0.72,0.2688,0.0135,0.55,0.4365,0.012,0.76,0.228,0.0,0.9,0.1,0.0497,0.29,0.6603,0.0145,0.71,0.2755,0.1323,0.37,0.4977
1286,2016,72I001573,THOREAU DEMONSTRATION ACADEMY,82,58190.81,60320.18,0.08,0.23,0.5,0.46,0.26,0.59,0.15,654,26.55,43974.16,0.207,11.12,5.0,3.0,1.2,2.0,0.1575,0.081,0.0153,0.1376,0.0015,0.4969,0.1101,654.0,0.3956,0.14,0.4644,0.0902,0.18,0.7298,0.2784,0.13,0.5916,0.3102,0.06,0.6298,0.3825,0.15,0.4675,0.0287,0.59,0.3813,0.276,0.08,0.644,0.185,0.26,0.555,0.74,0.0,0.26
1287,2016,72I009510,UNION 6TH-7TH GRADE CTR,66,71735.71,50043.66,0.05,0.12,0.36,0.68,0.33,0.56,0.1,2322,102.77,44063.55,0.281,10.53,13.4,4.0,7.45,6.97,0.3114,0.0551,0.0724,0.1533,0.0004,0.3342,0.0732,2322.0,0.161,0.3,0.539,0.0252,0.37,0.6048,0.0938,0.33,0.5762,0.10800000000000001,0.28,0.612,,,,,,,,,,,,,0.9,0.0,0.1
1288,2016,72I009620,UNION 8TH GRADE CTR,79,71735.71,50043.66,0.05,0.12,0.36,0.655,0.33,0.56,0.1,1173,54.32,46370.94,0.111,13.6,6.0,1.96,5.0,3.0,0.3086,0.0546,0.0648,0.1552,0.0009,0.34700000000000003,0.0691,1173.0,,,,,,,,,,,,,0.2448,0.28,0.4752,0.1564,0.32,0.5236,0.1512,0.16,0.6888,0.1386,0.34,0.5214,0.83,0.0,0.17
1289,2016,74I030505,CENTRAL MS,82,69233.34,47300.97,0.05,0.15,0.32,0.507,0.31,0.59,0.09,605,40.0,44229.1,0.3,11.16,5.47,2.0,2.33,2.0,0.1025,0.1207,0.0231,0.0545,0.0,0.6033,0.0959,605.0,0.6175,0.05,0.3325,0.099,0.1,0.8009999999999999,0.3913,0.09,0.5187,0.2324,0.17,0.5976,0.1072,0.33,0.5628,0.243,0.19,0.5670000000000001,0.3627,0.07,0.5673,0.1738,0.21,0.6162,0.82,0.0,0.18
1290,2016,74I030510,MADISON MS,84,69233.34,47300.97,0.05,0.15,0.32,0.44299999999999995,0.31,0.59,0.09,655,38.91,44629.08,0.257,13.03,4.53,2.0,2.5,2.0,0.1359,0.0809,0.0229,0.028999999999999998,0.0,0.5237,0.2076,655.0,0.272,0.15,0.578,0.1056,0.12,0.7744,0.2904,0.12,0.5896,0.2576,0.08,0.6624,0.374,0.15,0.47600000000000003,0.1968,0.18,0.6232,0.2813,0.03,0.6887,0.1944,0.19,0.6156,0.82,0.0,0.18
1291,2016,76I001505,ALVA MS,75,69748.5,157499.5,0.03,0.17,0.25,0.524,0.3,0.58,0.11,206,17.0,42455.29,0.47100000000000003,12.3,2.0,1.0,1.06,1.0,0.1165,0.034,0.0,0.034,0.0,0.7621,0.0534,206.0,0.2291,0.21,0.5609,0.0445,0.11,0.8455,0.1496,0.32,0.5304,0.1248,0.22,0.6552,0.1924,0.26,0.5476,0.01,0.75,0.24,0.1023,0.07,0.8277,0.3198,0.22,0.4602,0.83,0.0,0.17
1294,2016,01I025505,STILWELL MS,65,38661.98,22851.38,0.09,0.31,0.38,0.868,0.13,0.66,0.2,257,18.79,44999.63,0.175,14.67,3.57,1.0,0.43,1.0,0.1362,0.607,0.0156,0.0039,0.0,0.2179,0.0195,257.0,0.0126,0.37,0.6174,0.0108,0.46,0.5292,0.0244,0.39,0.5856,0.0632,0.21,0.7268,0.0444,0.63,0.3256,0.0704,0.36,0.5696,0.0106,0.47,0.5194,0.0,0.59,0.41,0.73,0.0,0.27
1295,2016,10I019505,ARDMORE MS,62,52524.04,56464.17,0.07,0.2,0.45,0.89,0.17,0.65,0.18,661,34.33,44753.04,0.462,12.96,3.53,2.0,2.47,3.0,0.174,0.115,0.0076,0.1755,0.003,0.3661,0.1589,661.0,0.0522,0.42,0.5278,0.0168,0.44,0.5432,0.0441,0.37,0.5859,0.0455,0.35,0.6045,0.018000000000000002,0.64,0.342,0.0164,0.59,0.3936,0.0729,0.19,0.7371,0.0414,0.54,0.4186,0.27899999999999997,0.07,0.6509999999999999
