RecordNumber,YR,SchoolCode,DistrictCode,Site,ReadingRemediation,PTConfAttendence,AvgDaysAbsent,Mobility,SuspRatioLess10,SuspRatioGreat10,AvgVolunteerHrs,FRL,SpecialEd
,2015,61I017715,61I017,QUINTON HIGH SCHOOL,0,0.5,5.7537,0.08163,11.58333,,0.71942,0.8489,0.223
,2015,61I025105,61I025,INDIANOLA ELEMENTARY,0.3651,0.81,7.3953,0.14483,46,,0.18116,0.8986,0.2609
,2015,61I025715,61I025,INDIANOLA HIGH SCHOOL,0,0.44,7.8272,0.125,6.23077,27,0.24691,0.6296,0.2963
,2015,61I028105,61I028,CROWDER ELEMENTARY,0.1908,0.89,7.5798,0.13372,6.9375,,4.89189,0.6907,0.2072
,2015,61I028705,61I028,CROWDER HIGH SCHOOL,0,0.46,11.7495,0.37063,1.37624,27.8,0.14388,0.518,0.1799
,2015,61I030105,61I030,SAVANNA ELEMENTARY,0.1692,0.77,7.405,0.03315,11.64706,,7.93939,0.6768,0.298
,2015,61I030705,61I030,SAVANNA HIGH SCHOOL,0,0.76,9.0923,0.0618,15.90909,,6.14857,0.52,0.1771
,2015,61I063105,61I063,PITTSBURG ELEMENTARY,0.1351,0.54,9.1164,0.11017,,,1.78095,0.7333,0.2571
,2015,61I063705,61I063,PITTSBURG HIGH SCHOOL,0,0.74,5.3537,0.14286,,,3.73333,0.6333,0.3333
,2015,61I080105,61I080,EDMOND DOYLE ELEMENTARY,0.5283,1,10.0741,0.0989,36.4,,6.02198,0.8242,0.1868
,2015,61I080110,61I080,EMERSON ELEMENTARY,0.5865,0.95,8.1109,0.12355,86.66667,65,7.00385,0.9154,0.1577
,2015,61I080120,61I080,WILLIAM GAY EC CENTER,0.4828,0.9,14.4854,0.12994,,,18.14286,1,0.0857
,2015,61I080125,61I080,JEFFERSON EC CTR,0,0.96,18.1685,0.11111,72,,9.08333,1,0.0972
,2015,61I080130,61I080,WILL ROGERS ELEMENTARY,0.4305,0.91,6.6934,0.07287,125.5,,3.45418,0.6733,0.1394
,2015,61I080135,61I080,WASHINGTON EC CTR,0.3688,0.96,9.5823,0.11429,,,2.54286,0.7143,0.1
,2015,61I080150,61I080,PARKER INTERMEDIATE CENTER,0,0.8,8.4178,0.03917,24.16667,,0.16092,0.7126,0.1632
,2015,61I080510,61I080,PUTERBAUGH MIDDLE SCHOOL,0,0.69,14.5375,0.16788,40.3,,0,0.7022,0.1563
,2015,61I080705,61I080,McALESTER HIGH SCHOOL,0,0.44,13.6307,0.03154,7.96429,89.2,0.28027,0.5796,0.1267
,2015,62I001105,62I001,ALLEN ELEMENTARY,0.3469,0.887,11.0302,0.03448,41,,3.11653,0.6748,0.122
,2015,62I001705,62I001,ALLEN HIGH SCHOOL,0,0.42,10.423,0.02985,27.6,69,10.86957,0.7899,0.1812
,2015,62I009105,62I009,VANOSS ELEMENTARY,0.2323,0.44,8.156,0.08794,56.57143,,2.22222,0.6414,0.2197
,2015,62I009705,62I009,VANOSS HIGH SCHOOL,0,0.13,8.5542,0.06294,13.7,,0.36496,0.635,0.2117
,2015,62I016105,62I016,BYNG ELEMENTARY,0,0.84,8.1048,0.06792,32.875,,1.3308,0.6122,0.1939
,2015,62I016110,62I016,HOMER ELEMENTARY,0.1898,0.97,7.7545,0.06656,33,,6.73401,0.5673,0.1566
,2015,62I016115,62I016,FRANCIS ELEMENTARY,0.1878,0.95,10.6659,0.03831,,,0.41667,0.6594,0.2138
,2015,62I016610,62I016,BYNG JR HIGH SCHOOL,0,0.85,10.7163,0.12813,173.5,24.78571,0.72046,0.5735,0.2507
,2015,62I016705,62I016,BYNG HIGH SCHOOL,0,0.91,12.6481,0.06369,39.75,53,6.68239,0.5157,0.2642
,2015,62I019105,62I019,ADA EC CENTER,0.2519,0.686,10.0887,0.08475,,,0.21095,0.7221,0.1095
,2015,62I019110,62I019,HAYES ELEMENTARY,0.3383,0.83,9.5731,0.11872,,,1.11848,0.6611,0.1588
,2015,62I019125,62I019,WASHINGTON ELEMENTARY,0.4306,0.78,9.3809,0.11765,,,3.15789,0.6289,0.2395
,2015,62I019130,62I019,WILLARD ELEMENTARY,0,0.81,6.7597,0.14213,194,,0.92526,0.6933,0.2706
,2015,62I019610,62I019,ADA JR HIGH SCHOOL,0,0.45,10.7448,0.06998,,71.5,1.06119,0.5699,0.1993
,2015,62I019705,62I019,ADA HIGH SCHOOL,0,0.38,7.4946,0.0393,,484,1.34298,0.4711,0.1446
,2015,62I024105,62I024,LATTA ELEMENTARY,0.1775,0.94,7.6345,0.10448,50.66667,,1.20614,0.5373,0.1382
,2015,62I024510,62I024,LATTA MIDDLE SCHOOL,0,0.7,7.0573,0.05202,16.27273,,5.69832,0.5084,0.1564
,2015,62I024705,62I024,LATTA HIGH SCHOOL,0,0.6,9.2586,0.03318,16.92308,73.33333,13.63636,0.3364,0.1318
,2015,62I030105,62I030,STONEWALL ELEMENTARY,0.4907,0.63,9.0006,0.14634,,,0.9434,0.934,0.1604
,2015,62I030515,62I030,McLISH MIDDLE SCHOOL,0,0.33,2.0177,0.2518,8.75,46.66667,0.35714,0.75,0.2
,2015,62I030705,62I030,STONEWALL HIGH SCHOOL,0,0.75,4.966,0.19048,7.33333,,0.90909,0.6909,0.1636
,2015,62I037105,62I037,ROFF ELEMENTARY,0.5056,0.75,6.3517,0.09504,,,0.04237,0.8475,0.2288
,2015,62I037705,62I037,ROFF HIGH SCHOOL,0,0.81,7.7866,0.03,17,102,0.34314,0.5588,0.2549
,2015,63C010105,63C010,NORTH ROCK CREEK ELEMENTARY,0.3271,0.97,6.6167,0.03608,20.78571,291,2.47423,0.5,0.1615
,2015,63C027105,63C027,GROVE ELEMENTARY,0.199,1,7.6292,0.0432,115.25,461,29.70065,0.2625,0.1345
,2015,63C029105,63C029,PLEASANT GROVE ELEMENTARY,0.1862,0.9,11.3493,0.03774,7.62162,,0.35461,0.7837,0.1454
,2015,63C032105,63C032,SOUTH ROCK CREEK ELEMENTARY,0.2083,0.75,8.7794,0.01966,,,0.57971,0.3696,0.1304
,2015,63I001105,63I001,McLOUD ELEMENTARY,0.4939,0.83,9.8823,0.09283,20.01852,540.5,0.70305,0.716,0.1619
,2015,63I001610,63I001,McLOUD JR HIGH SCHOOL,0,0.6,9.8766,0.11152,6.43902,44,0.83712,0.7121,0.197
,2015,63I001705,63I001,McLOUD HIGH SCHOOL,0,0.75,13.2297,0.04225,16.54839,51.3,1.94932,0.5692,0.193
,2015,63I002105,63I002,DALE ELEMENTARY,0.2864,0.75,6.4147,0.02395,,,1.46199,0.4415,0.1374
,2015,63I002510,63I002,DALE MIDDLE SCHOOL,0,0.65,6.8847,0.03608,32.83333,,3.5533,0.3706,0.1675
,2015,63I002705,63I002,DALE HIGH SCHOOL,0,0.3,6.4799,0.0628,51.5,,0.14563,0.301,0.1699
,2015,63I003105,63I003,BETHEL ELEMENTARY,0.4426,1,6.6769,0.04241,69.11111,,1.28215,0.5322,0.1672
,2015,63I003505,63I003,BETHEL MIDDLE SCHOOL,0,0.85,6.9102,0.04702,24.61538,320,0.54688,0.5031,0.1875
,2015,63I003705,63I003,BETHEL HIGH SCHOOL,0,0.24,8.9689,0.02806,79.8,199.5,0.10025,0.4361,0.1404
,2015,63I004110,63I004,MACOMB ELEMENTARY,0.5417,0.75,9.5509,0.17112,7.625,183,0.43716,0.7923,0.1858
,2015,63I004705,63I004,MACOMB HIGH SCHOOL,0,0.83,14.4052,0.28421,5.14286,,0.62963,0.7315,0.1667
,2015,63I005105,63I005,EARLSBORO ELEMENTARY,0.2778,0.85,7.4817,0.1087,22.25,178,1.01124,0.7697,0.1966
,2015,63I005705,63I005,EARLSBORO HIGH SCHOOL,0,0.45,11.7463,0.01695,15.25,,0.65574,0.6885,0.2131
,2015,63I092105,63I092,BARNARD ELEMENTARY,0.347,0.97,8.7195,0.07233,63.8,,3.99687,0.6301,0.1379
,2015,63I092115,63I092,KROUCH ELEMENTARY,0.2829,0.925,10.5505,0.06849,150,,5.82037,0.6533,0.0867
,2015,63I092120,63I092,CROSS TIMBERS ELEMENTARY,0.3215,0.94,7.6336,0.11268,,,0.30445,0.637,0.1405
,2015,63I092505,63I092,TECUMSEH MIDDLE SCHOOL,0,0.3,9.4849,0.16314,59.5,25.05263,1.35924,0.6828,0.1471
,2015,63I092710,63I092,TECUMSEH HIGH SCHOOL,0,0.98,12.3044,0.01034,45.66667,40.29412,33.57664,0.5197,0.1299
,2015,63I093110,63I093,SHAWNEE EARLY LEARNING CENTER,0.2364,0.92,15.0148,0.18117,112.8,,2.80142,0.9894,0.172
,2015,63I093120,63I093,HORACE MANN ELEMENTARY,0.4969,1,11.648,0.26996,128,,9.76563,1,0.207
,2015,63I093130,63I093,JEFFERSON ELEMENTARY,0.5359,0.78,9.013,0.19892,16.08,,1.18159,1,0.209
,2015,63I093137,63I093,SEQUOYAH ELEMENTARY,0.4126,0.93,8.8687,0.10955,19.57895,,4.36828,0.7984,0.1774
,2015,63I093145,63I093,WILL ROGERS ELEMENTARY,0.3664,0.93,8.0514,0.12304,54.14286,,4.90501,0.7784,0.1346
,2015,63I093505,63I093,SHAWNEE MIDDLE SCHOOL,0,0.82,12.767,0.14738,3.71429,34.27273,0.72281,0.7467,0.1737
,2015,63I093705,63I093,SHAWNEE HIGH SCHOOL,0,0.63,12.0002,0.0885,9.0411,146.66667,0.77879,0.5735,0.1265
,2015,63I112105,63I112,ASHER ELEMENTARY,0.1594,0.82,7.6654,0.08108,37.8,,5.29101,0.7143,0.127
,2015,63I112705,63I112,ASHER HIGH SCHOOL,0,0.74,12.1129,0.12941,42.5,,6.35294,0.7412,0.2118
,2015,63I115105,63I115,WANETTE ELEMENTARY,0.36,0.92,10.5952,0.16794,18.28571,,0.78125,0.8672,0.2813
,2015,63I115705,63I115,WANETTE HIGH SCHOOL,0,0.59,9.4073,0.18033,6.77778,,0.08197,0.623,0.3279
,2015,63I117105,63I117,MAUD ELEMENTARY,0.425,0.72,6.9359,0.16807,25.11111,226,0.64159,0.7788,0.2434
,2015,63I117705,63I117,MAUD HIGH SCHOOL,0,0.47,9.4705,0.14583,12.375,,0.50505,0.7172,0.1212
,2015,64C002105,64C002,ALBION ELEMENTARY,0.2333,0.45,10.5389,0.17073,,,1.28205,0.8974,0.2179
,2015,64C004105,64C004,TUSKAHOMA ELEMENTARY,0.3404,0.8,4.2777,0.10465,,,1.5875,0.85,0.35
,2015,64C015105,64C015,NASHOBA ELEMENTARY,0.625,0.85,3.7271,0.22034,,,2,0.82,0.54
,2015,64I001105,64I001,RATTAN ELEMENTARY,0.2308,0.78,8.1379,0.12759,,,0.87676,0.7077,0.2183
,2015,64I001610,64I001,RATTAN JR HIGH SCHOOL,0,0.72,6.597,0.125,65,,0.67692,0.7231,0.0769
