,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
350,2015,55I089706,CLASSEN HS OF ADVANCED STUDIES,102,53011.22,49735.22,0.08,0.27,0.47,0.294,0.22,0.55,0.22,493,39.52,54905.22,0.444,13.05,3.1,1.94,1.79,2.22,0.1602,0.0446,0.1582,0.1643,0.0,0.4706,0.002,493.0,0.1656,0.08,0.7544,0.3441,0.07,0.5859,0.396,0.12,0.484,0.68,0.0,0.32,0.0736,0.08,0.8464,0.48,0.0,0.52,0.4794,0.06,0.4606
351,2015,74I018705,CANEY VALLEY HS,84,70175.01,42599.51,0.09,0.12,0.21,0.518,0.17,0.71,0.12,222,16.02,43160.22,0.344,14.78,0.71,0.4,0.22,1.0,0.027000000000000003,0.3288,0.0225,0.0045,0.0,0.6036,0.0135,222.0,0.0504,0.37,0.5796,0.0946,0.14,0.7654,0.1224,0.32,0.5576,0.068,0.15,0.782,0.0,0.13,0.87,0.308,0.12,0.5720000000000001,0.1771,0.23,0.5929
352,2014,76I003720,WAYNOKA HS,98,64790.0,201468.0,0.03,0.1,0.4,0.32,0.19,0.68,0.13,74,5.86,43018.79,0.268,5.85,0.57,0.5,0.86,0.5,0.1216,0.0405,0.0,0.0135,0.0,0.8108,0.0135,74.0,0.3348,0.07,0.5952,0.3344,0.12,0.5456,0.0836,0.56,0.3564,0.0,0.0,1.0,0.33,0.0,0.67,0.0,0.0,1.0,0.2368,0.26,0.5032
353,2015,04I075705,BALKO HS,71,69039.46,234901.93,0.01,0.06,0.2,0.29600000000000004,0.24,0.66,0.1,44,6.0,47087.5,0.10400000000000001,7.38,0.5,0.38,0.25,0.5,0.0227,0.0455,0.0,0.0,0.0,0.9318,0.0,44.0,0.0602,0.57,0.3698,,,,0.05,0.5,0.45,0.3916,0.11,0.4984,0.1411,0.17,0.6889,0.42,0.0,0.58,0.33,0.0,0.67
354,2016,69I002705,COMANCHE HS,76,60595.2,30940.43,0.11,0.11,0.33,0.604,0.12,0.71,0.17,308,21.63,43485.53,0.159,12.5,1.77,0.64,0.29,1.0,0.039,0.1494,0.0,0.013000000000000001,0.0,0.7532,0.0455,308.0,0.1968,0.18,0.6232,0.0518,0.63,0.3182,0.0798,0.43,0.4902,0.1805,0.05,0.7695,0.0665,0.05,0.8835,0.494,0.05,0.456,0.0682,0.38,0.5518
355,2015,72I006705,COLLINSVILLE HS,96,71578.51,28322.17,0.07,0.08,0.21,0.327,0.26,0.66,0.09,798,33.53,44687.3,0.311,13.18,4.0,3.0,2.67,4.0,0.0426,0.2506,0.0464,0.0075,0.0,0.5088,0.1441,798.0,0.48,0.04,0.48,0.5978,0.02,0.3822,0.2625,0.25,0.4875,0.34299999999999997,0.02,0.637,0.2058,0.02,0.7742,0.564,0.06,0.376,0.3572,0.06,0.5828
356,2015,48I074705,BROKEN BOW HS,86,42071.44,28246.73,0.08,0.22,0.37,0.684,0.12,0.69,0.18,640,39.66,44673.82,0.272,12.97,4.86,2.0,2.57,2.0,0.0906,0.3203,0.0156,0.0719,0.0172,0.4844,0.0,640.0,0.1176,0.16,0.7224,0.1064,0.24,0.6536,0.0754,0.42,0.5046,0.1748,0.08,0.7452,0.2068,0.06,0.7332,0.3402,0.19,0.4698,0.17,0.32,0.51
357,2016,26I097705,TUTTLE HS,95,81664.29,41140.66,0.03,0.07,0.19,0.20600000000000002,0.18,0.74,0.08,538,32.1,43977.45,0.204,15.55,2.0,1.2,0.58,2.47,0.0465,0.11900000000000001,0.0112,0.0037,0.0019,0.7955,0.0223,538.0,0.2418,0.07,0.6882,0.308,0.12,0.5720000000000001,0.2378,0.18,0.5822,0.24,0.04,0.72,0.384,0.04,0.5760000000000001,0.78,0.0,0.22,0.28800000000000003,0.2,0.512
358,2015,58I026705,AFTON HS,92,44156.64,31023.36,0.09,0.26,0.4,0.6709999999999999,0.12,0.71,0.17,170,8.72,44119.12,0.312,15.02,1.57,0.57,0.43,0.72,0.0176,0.4,0.0118,0.0,0.0,0.5706,0.0,170.0,0.21600000000000003,0.1,0.684,,,,0.2952,0.28,0.4248,0.2752,0.14,0.5848,0.06,0.0,0.94,0.0,0.67,0.33,0.2,0.2,0.6
359,2016,68I007705,CENTRAL HS,93,49928.32,17567.71,0.06,0.21,0.28,0.603,0.16,0.67,0.17,179,12.38,41047.35,0.15,9.08,0.86,0.5,0.5,1.0,0.0223,0.3855,0.0,0.0,0.0056,0.2458,0.3408,179.0,0.1184,0.26,0.6216,0.3384,0.06,0.6016,0.2139,0.31,0.4761,0.2304,0.04,0.7296,0.2058,0.02,0.7742,0.342,0.1,0.5579999999999999,0.304,0.24,0.456
