,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory,5_Writing_Advanced,5_Writing_Below_Satisfactory,5_Writing_Satisfactory,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Geography_Advanced,7_Geography_Below_Satisfactory,7_Geography_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,8_Writing_Advanced,8_Writing_Below_Satisfactory,8_Writing_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,OverallLetterGrade,ELA_ExamCounty,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCounty,Math_GrowthIndex,Math_LetterGrade,Science_ExamCounty,Science_GrowthIndex,Science_LetterGrade,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,SocialStudies_LetterGrade,Writing_ExamCounty,Writing_GrowthIndex,Writing_LetterGrade,Overall_ExamCounty,Overall_GrowthIndex,Overall_LetterGrade,ELA_ExamCount_bq,ELA_GrowthIndex_bq,ELA_LetterGradeas_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,Math_LetterGrade_bq,OverallExamCount_bq,OverallGrowthIndex_bq,OverallLetterGrade_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
0,2016,CIMARRON,KEYES,KEYES HS,13I011705,48.0,F,13I011,50941.04,170144.34,0.01,0.12,0.0,0.542,0.16,0.68,0.16,24.0,3.22,43198.45,0.22399999999999998,3.75,0.0,0.06,0.05,0.3,High School,0.3333,0.0,0.0833,0.0,0.0417,0.5417,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.73,0.27,,,,,,,,,,,,,,,,50.0,50.0,0.0,8.0,93.0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.05,,0.0,0.95,5.0,0.0,1.0,0.95,0.5,1,0.8,1.0,4.0,1.0,F
1,2016,SEMINOLE,KONAWA,KONAWA HS,67I004705,81.0,B-,67I004,50305.37,64482.04,0.05,0.2,0.23,0.635,0.14,0.71,0.15,222.0,11.14,45510.95,0.231,19.44,0.0,0.43,0.29,1.0,High School,0.036,0.4414,0.0045,0.0225,0.0,0.4775,0.018,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.4,0.5579999999999999,0.2162,0.06,0.7238,0.1343,0.21,0.6557,0.043,0.14,0.8170000000000001,0.3705,0.05,0.5795,0.306,0.15,0.544,0.1185,0.21,0.6715,50.0,25.0,25.0,2.0,74.0,C,40.0,85.0,B,56.0,80.0,B,,,,,,,,,,96.0,82.0,B,10.0,70.0,C    ,14.0,57.0,F    ,24.0,63.0,D    ,,0.0,,0.0,0.05,,0.0,0.95,5.0,0.85,1.0,,0.44,0,0.71,0.0,3.0,1.0,B
2,2016,CANADIAN,CALUMET,CALUMET HS,09I076705,85.0,B,09I076,85273.81,281839.77,0.06,0.13,0.33,0.611,0.18,0.7,0.12,72.0,5.28,45927.9,0.243,9.95,0.29,0.29,0.23,0.46,High School,0.0694,0.1389,0.0,0.0,0.0,0.6667,0.125,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.2,0.64,0.0,0.4,0.6,0.0986,0.42,0.4814,0.15,0.0,0.85,0.33,0.0,0.67,0.3036,0.08,0.6164,0.0243,0.73,0.2457,50.0,50.0,0.0,8.0,89.0,B+,13.0,85.0,B,10.0,80.0,B,,,,,,,,,,23.0,83.0,B,,,,,,,,,,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.0,1.0,0.95,0.48,1,0.89,1.0,5.0,1.0,B
3,2016,COMANCHE,INDIAHOMA,INDIAHOMA HS,16I002705,98.0,A+,16I002,65772.66,26046.48,0.06,0.13,0.3,0.635,0.21,0.71,0.08,63.0,4.38,41721.44,0.33,17.33,0.5,0.5,0.53,0.5,High School,0.1111,0.3651,0.0,0.0159,0.0,0.4921,0.0159,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,0.06,0.4,0.54,0.2214,0.18,0.5986,,,,0.82,0.0,0.18,0.68,0.0,0.32,50.0,50.0,0.0,9.0,106.0,A+,13.0,85.0,B,15.0,100.0,A,,,,,,,,,,28.0,93.0,A,,,,,,,,,,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.0,1.0,,0.67,0,0.83,1.0,5.0,1.0,A
4,2016,GRANT,POND CREEK-HUNTER,POND CREEK-HUNTER HS,27I090705,83.0,B,27I090,61026.49,184139.3,0.05,0.1,0.27,0.35200000000000004,0.21,0.66,0.13,88.0,6.98,51046.13,0.655,15.42,0.8,0.5,0.33,1.0,High School,0.0341,0.0568,0.0114,0.0,0.0,0.8636,0.0341,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1476,0.18,0.6724,0.0,0.57,0.43,0.0264,0.56,0.4136,0.1539,0.19,0.6561,,,,,,,0.1062,0.41,0.4838,50.0,25.0,25.0,8.0,83.0,B,18.0,78.0,C,19.0,95.0,A,,,,,,,,,,37.0,86.0,B,,,,,,,,,,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.0,1.0,0.8,0.69,1,0.57,0.0,5.0,1.0,B
5,2016,KINGFISHER,CASHION,CASHION HS,37I089705,83.0,B,37I089,75044.54,123601.53,0.02,0.04,0.27,0.28,0.23,0.72,0.05,150.0,11.2,42968.4,0.395,10.59,0.0,0.25,0.25,0.5,High School,0.0733,0.1,0.0,0.0,0.0,0.8,0.0267,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259,0.26,0.48100000000000004,0.142,0.29,0.568,0.0441,0.37,0.5859,0.1504,0.06,0.7896,0.0679,0.03,0.9021,0.35100000000000003,0.1,0.5489999999999999,0.0414,0.31,0.6486,50.0,25.0,25.0,8.0,88.0,B+,30.0,90.0,A,30.0,83.0,B,,,,,,,,,,60.0,87.0,B,,,,,,,14.0,57.0,F    ,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.91,1.0,0.89,0.5,1,0.76,0.0,5.0,1.0,B
6,2016,KINGFISHER,OKARCHE,OKARCHE HS,37I105705,101.0,A+,37I105,88254.26,225412.41,0.0,0.08,0.06,0.084,0.24,0.68,0.07,83.0,7.04,42158.47,0.142,13.82,0.0,0.43,0.29,0.4,High School,0.0482,0.0361,0.0,0.0,0.0,0.8916,0.0241,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.35,0.611,,,,0.1632,0.04,0.7968,,,,0.27,0.0,0.73,0.03,0.25,0.72,50.0,50.0,0.0,9.0,99.0,A+,19.0,100.0,A,,,,,,,,,,,,,19.0,100.0,A,,,,,,,,,,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.0,1.0,0.83,0.7,1,0.6,0.0,4.0,1.0,A
7,2016,LINCOLN,STROUD,STROUD HS,41I054705,83.0,B,41I054,55994.52,289329.88,0.09,0.14,0.31,0.433,0.11,0.72,0.17,238.0,16.5,46516.03,0.294,15.83,0.86,1.0,1.64,1.0,High School,0.0042,0.1555,0.0084,0.063,0.0,0.7563,0.0126,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144,0.52,0.4656,,,,0.0092,0.54,0.4508,0.126,0.1,0.774,0.0498,0.17,0.7802,0.0,0.36,0.64,0.1512,0.28,0.5688,50.0,25.0,25.0,8.0,78.0,C+,54.0,89.0,B,38.0,66.0,D,,,,,,,,,,92.0,79.0,C,,,A    ,,,,22.0,82.0,B    ,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.92,1.0,,0.62,0,0.57,0.0,4.0,1.0,B
8,2016,OKLAHOMA,DEER CREEK,DEER CREEK HS,55I006705,97.0,A+,55I006,142656.63,66279.74,0.04,0.04,0.12,0.071,0.6,0.38,0.02,1457.0,61.11,44956.45,0.302,10.21,7.12,3.0,3.0,5.0,High School,0.0638,0.0439,0.0453,0.0508,0.0021,0.7509,0.0432,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,0.1,0.486,0.2976,0.07,0.6324,0.414,0.1,0.486,0.3264,0.04,0.6336,0.3936,0.04,0.5664,0.494,0.05,0.456,0.2607,0.21,0.5293,50.0,25.0,25.0,9.0,97.0,A+,321.0,91.0,A,343.0,94.0,A,,,,,,,,,,664.0,93.0,A,79.0,76.0,C    ,85.0,82.0,B    ,164.0,79.0,C    ,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.94,1.0,0.95,0.82,1,0.8,1.0,5.0,1.0,A
9,2016,OKLAHOMA,EDMOND,NORTH HS,55I012715,97.0,A+,55I012,101694.02,77419.43,0.03,0.08,0.22,0.179,0.52,0.44,0.04,2644.0,102.68,47607.43,0.37799999999999995,12.65,15.0,6.0,5.33,6.91,High School,0.0794,0.0208,0.0393,0.056,0.0004,0.736,0.0681,2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,0.08,0.552,0.4888,0.06,0.4512,0.2997,0.19,0.5103,0.3648,0.04,0.5952,0.3201,0.03,0.6499,0.5828,0.06,0.3572,0.3444,0.16,0.4956,50.0,25.0,25.0,10.0,101.0,A+,601.0,93.0,A,637.0,93.0,A,,,,,,,,,,1238.0,93.0,A,150.0,81.0,B    ,158.0,80.0,B    ,308.0,80.0,B    ,,0.0,,0.0,0.95,0.95,1.0,0.95,5.0,0.88,1.0,0.95,0.85,1,0.82,1.0,5.0,1.0,A
